text,x,y,font_size,label_id,region,verified_region,status
cookieredirectcontext,2299.4211964094175,6887.555558241828,98.4px,T-001,R01,R01,closed-by-stage1
cookieslidingexpiration,1639.4211964094166,9426.22233680628,98.4px,T-002,R01,R01,closed-by-stage1
can write to response,2678.976641762609,8793.712860641572,44.17779947916861px,T-003,R01,R01,closed-by-stage1
!!!!,14297.167787432718,6383.147641183777,120.26669921875002px,T-004,R01,R01,closed-by-stage1
!!!,14301.327664050037,8535.782378911303,131.33334350585932px,T-005,R01,R01,closed-by-stage1
a possible place for some,11160.883567980316,7804.645818208247,48.666671752929645px,T-006,R01,R01,closed-by-stage1
problem details returning,11160.883567980316,7865.479157899409,48.666671752929645px,T-007,R01,R01,closed-by-stage1
with pd service and all,11160.883567980316,7926.312497590571,48.666671752929645px,T-008,R01,R01,closed-by-stage1
configred defaults for this shit,11160.883567980316,7987.145837281733,48.666671752929645px,T-009,R01,R01,closed-by-stage1
OnsigningIn,4045.7369323740277,1921.2510748387062,82.81477864583351px,T-010,R01,R01,closed-by-stage1
OnSignedIn,4051.6627678775003,3075.3251715183974,82.81477864583351px,T-011,R01,R01,closed-by-stage1
OnRedirectToLogin (Challenge),3988.6999179426057,6911.150027746695,82.81477864583351px,T-012,R01,R01,closed-by-stage1
OnRedirectToAccDenied (Forbid),3982.9858066144807,7834.95958062058,82.81477864583351px,T-013,R01,R01,closed-by-stage1
OnRedirectToLogOut,3987.9858066144807,8668.293015679174,82.81477864583351px,T-014,R01,R01,closed-by-stage1
OnRedirectToReturnUrl,3990.4100120477196,9193.141509775407,82.81477864583351px,T-015,R01,R01,closed-by-stage1
OnCheckSlidingExp,3984.3494429781167,9618.596055229955,82.81477864583351px,T-016,R01,R01,closed-by-stage1
ONValidatePrincipal,4016.1072123219456,4113.843644825691,82.81477864583351px,T-017,R01,R01,closed-by-stage1
OnSignigOut,4023.5145745181253,5947.917673688538,82.81477864583351px,T-018,R01,R01,closed-by-stage1
SingingOutContext,2642.773743354932,5849.251000240187,82.81477864583351px,T-019,R01,R01,closed-by-stage1
ValidatePrincipalContext,2574.6256856292384,4044.2139247736045,82.81477864583351px,T-020,R01,R01,closed-by-stage1
signedInContext,2633.884854466043,3051.621354786624,82.81477864583351px,T-021,R01,R01,closed-by-stage1
signingInContext,2613.1441589365295,1866.4362148126634,82.81477864583351px,T-022,R01,R01,closed-by-stage1
summary,2698.3293802906956,932.0657585409641,82.81477864583351px,T-023,R01,R01,closed-by-stage1
summary,13087.218133545906,1630.9671018840618,121.92586263020847px,T-024,R01,R01,closed-by-stage1
messagereveivedctx,12814.625834826285,2339.856126406632,121.92586263020847px,T-025,R01,R01,closed-by-stage1
tokenValidatedctx,12801.292501492953,3722.0784164456945,121.92586263020847px,T-026,R01,R01,closed-by-stage1
AuthFailedContext,12912.403748237746,5593.189663190487,121.92586263020847px,T-027,R01,R01,closed-by-stage1
ChallengeContext,12747.562194050151,6906.253213140497,121.92586263020847px,T-028,R01,R01,closed-by-stage1
ForbiddenCOntext,12885.340107461609,8317.364358160028,121.92586263020847px,T-029,R01,R01,closed-by-stage1
OnMessageReceinved,14506.47757365007,2235.411681962187,121.92586263020847px,T-030,R01,R01,closed-by-stage1
OnTokenValidated,14532.874871827156,3770.9672036093234,121.92586263020847px,T-031,R01,R01,closed-by-stage1
OnAuthenticationFailed,14475.0971931663,5634.215134674027,121.92586263020847px,T-032,R01,R01,closed-by-stage1
OnChallenge,14518.430628224894,7054.215134674027,121.92586263020847px,T-033,R01,R01,closed-by-stage1
OnForbidden,14501.763758107707,8370.881699615433,121.92586263020847px,T-034,R01,R01,closed-by-stage1
Cookie,3849.4406270354884,747.4827552857547,281.9257812500004px,T-035,R01,R01,closed-by-stage1
jwt,14658.3293802907,1614.149218501903,281.9257812500004px,T-036,R01,R01,closed-by-stage1
cookie/jwt,8544.99686075945,10374.148913326118,281.9257812500004px,T-037,R01,R01,closed-by-stage1
IApiEndpointMetadata,6823.846774859248,11434.651965644225,109.60000000000001px,T-038,R01,R01,closed-by-stage1
