image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,4c8b5bbbe1cb,image-ed0ef122243ff7ce109db9d697686531b386cfc9,2579.8288060617924,1001.3313913507045,773.0,482.0,1075,671,source/images/4c8b5bbbe1cb.png
S-002,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,ab20ec8a7108,image-266b142cb644db1cc2cf670d1c5f581d79631c20,3970.5270143992057,1002.7097147959539,946.0,357.0,946,357,source/images/ab20ec8a7108.png
S-003,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,74fabfedda18,image-92d1b8e4cfe00d064018f1fb28116bc8c3840246,3960.2179130289805,1376.061743931372,914.0,424.0,914,424,source/images/74fabfedda18.png
S-004,R02,"JwtBearerEvents token extraction, validation, challenge and forbid",recovered_missing,processed,f9c18581d4d2,image-d70e32a080af8b8404114e942162c85952c82e2f,12778.125274040402,1787.668977088626,1118.0,433.0,1118,433,source/images/f9c18581d4d2.png
S-005,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,6aca6b1cbe2c,image-3bda418a402e6c98f3a78365f0cf7ced1c377c37,2583.162088398687,1957.1035965529554,638.0,375.0,638,375,source/images/6aca6b1cbe2c.png
S-006,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,5ac644f355d4,image-cc4b48a378b1671354225bd6ee75470aef19348c,6415.053714456622,1986.0024472997575,1965.0,305.0,503,78,source/images/5ac644f355d4.png
S-007,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,f508f307e87f,image-50b04a40dcb619598d892cfe92304df5bf42c613,3952.401911106732,1988.7703142916762,1010.0,482.0,1060,506,source/images/f508f307e87f.png
S-008,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,55f3883ee16f,image-6fad455082f1147c1e12a856ad705800bcf935bb,2589.6208957848576,2343.2786448655497,794.0,482.0,935,568,source/images/55f3883ee16f.png
S-009,R01,"CookieAuthenticationEvents contexts, renewal, redirects and logout",recovered_missing,processed,f5e821108bb9,image-e92b03f8df0741583f36fffc93315e36a6495eec,6401.8382120190945,2358.7432242376126,1130.0,395.0,243,85,source/images/f5e821108bb9.png
S-010,R02,"JwtBearerEvents token extraction, validation, challenge and forbid",recovered_missing,processed,90a8e22a49af,image-4eac1e524b814921ea9dd748b75b65576c96a77c,13022.275738525841,2362.5117582522726,456.0,318.0,456,318,source/images/90a8e22a49af.png
