source_id,sha256,sha256_12,image_file,pixel_width,pixel_height,placement_count,region_id,title,first_x,first_y,nearest_text_groups,nearest_canvas_text,status,transcript_status
S-001,a069135767561fd52284f5ddd8e3f4793bc90d9c6feb7f4aff2f9fad63a7b0a4,a06913576756,source/images/S-001__a06913576756.png,967,575,1,R01,Policy success requires every requirement; pending requirement means failure,2574.900251358791,520.6783650673151,"[""TG-014"", ""TG-021"", ""TG-013""]","[""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed"", ""requirements vs\npending requirements"", ""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-002,0a92c3d4014fd07a9898b2a95100f39751b33e8387602f8c1f6301fdcce50ebb,0a92c3d4014f,source/images/S-002__0a92c3d4014f.png,986,444,1,R01,Requirements versus PendingRequirements in a multi-requirement policy,3516.278618954406,601.4597876295065,"[""TG-021"", ""TG-014"", ""TG-013""]","[""requirements vs\npending requirements"", ""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed"", ""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-003,e5465384da8ea4d7771bfeec512d020f3c78871eb61ae77d6184e5101aeaa054,e5465384da8e,source/images/S-003__e5465384da8e.png,983,372,1,R01,"Policy example: authenticated user, Admin role, and permission requirement",3499.5968007725896,1045.9446176188558,"[""TG-021"", ""TG-014"", ""TG-013""]","[""requirements vs\npending requirements"", ""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed"", ""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-004,fcdcba7f11bf03d1401c9511d3704a1861dbd0f5410a9f94b3cf6687218e8d11,fcdcba7f11bf,source/images/S-004__fcdcba7f11bf.png,960,606,1,R01,AuthorizationHandlerContext.User and reading ClaimsPrincipal,7827.76254139244,1072.1408675049151,"[""TG-023"", ""TG-024"", ""TG-012""]","[""user"", ""resource"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-005,4e32e1ce50a3ec8c4ccef0af8d30c0452b6675d179f5d1512709c8c18034a230,4e32e1ce50a3,source/images/S-005__4e32e1ce50a3.png,969,163,1,R01,PendingRequirements contains requirements not yet succeeded,3495.283740358882,1482.4647703177234,"[""TG-013"", ""TG-021"", ""TG-014""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""requirements vs\npending requirements"", ""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-006,6c1f61979aa51fc94a0cd54ecd6107d62a1828769c659ae80ef4a73b2c5f704c,6c1f61979aa5,source/images/S-006__6c1f61979aa5.png,914,403,1,R01,Parameterized MinimumAgeRequirement and handler registration,10984.165862077418,1493.8602276272122,"[""TG-003"", ""TG-002"", ""TG-024""]","[""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION"", ""resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-007,917b8dbf4cc7241e2ec48ef6aae5d89d3f398d62ecc049116cffa73163acdc73,917b8dbf4cc7,source/images/S-007__917b8dbf4cc7.png,910,627,1,R01,AuthorizationHandlerContext.Requirements versus typed handler parameter,5760.992608347029,1508.8962841328303,"[""TG-020"", ""TG-034"", ""TG-012""]","[""requirements"", ""Pendingrequirements"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-008,37d31569241c43ec3e7f57cd5f1401d9e25c13063f1c2b6450bb592a6b2a4cfa,37d31569241c,source/images/S-008__37d31569241c.png,1034,456,1,R01,Resource-based authorization and a requirement tied to a domain object,12802.874644212912,1540.0111349593517,"[""TG-002"", ""TG-005"", ""TG-003""]","[""RESOURCE BASED AUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-009,8d5a0c8efcf5f1bc038ab225120305ca3d67254d4b98c04a7810d082b3f94333,8d5a0c8efcf5,source/images/S-009__8d5a0c8efcf5.png,911,507,1,R01,"AddAuthorization named policies with claims, roles, and authenticated user",17185.2079903411,1542.5192934624865,"[""TG-001"", ""TG-005"", ""TG-015""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""IAuthorizationRequirementData""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-010,0bc7ca7a1b04835c0ad0c1f659161fbe672e5d6ccfd5c166bae6319e7e05d23d,0bc7ca7a1b04,source/images/S-010__0bc7ca7a1b04.png,893,338,1,R01,AuthorizationHandlerContext.Resource with a Document example,7826.069985325659,1653.4347278041587,"[""TG-024"", ""TG-023"", ""TG-012""]","[""resource"", ""user"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-011,10d25105b7f525a73f52a83c4625cd81da6e576cb0d3e7732b2e9b49a4b97c0e,10d25105b7f5,source/images/S-011__10d25105b7f5.png,936,154,1,R01,"Manual IAuthorizationService.AuthorizeAsync with user, resource, and policy",6777.372791126094,1662.786689953171,"[""TG-012"", ""TG-020"", ""TG-034""]","[""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource"", ""requirements"", ""Pendingrequirements""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-012,ba4b8bcd14b1af86dd345ba38231bd2ed239fe784a51361314c5113c23b9870f,ba4b8bcd14b1,source/images/S-012__ba4b8bcd14b1.png,665,340,1,R01,Authentication versus authorization; challenge/401 versus forbid/403,14928.517336477707,1686.421477286529,"[""TG-005"", ""TG-001"", ""TG-002""]","[""BASIC,\nGLOBAL AUTHORIZATION"", ""BASIC POLICIES IN ADDAUTHORIZATION"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-013,2307c5de3315beff916b51fcd0d7d4a558aa55eb47d86ce928e758be532fd219,2307c5de3315,source/images/S-013__2307c5de3315.png,902,310,1,R01,Initial Requirements and PendingRequirements before handlers run,3480.541168152442,1754.2174327452212,"[""TG-013"", ""TG-021"", ""TG-014""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""requirements vs\npending requirements"", ""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-014,f6d50d1202a081b72cd51bc53ccace9d5a1a2d9c57bf9ff63e4847644850040c,f6d50d1202a0,source/images/S-014__f6d50d1202a0.png,960,600,1,R01,MinimumAgeHandler using a date-of-birth claim,11008.649297136013,1916.4262168036348,"[""TG-003"", ""TG-002"", ""TG-006""]","[""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION"", ""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-015,c2fe17547122144c8f246eb8d0708c49be5694133d02be8ef11d35a8e8a28ba4,c2fe17547122,source/images/S-015__c2fe17547122.png,914,596,1,R01,Claim issuer meaning and why issuer may matter,20617.325230991148,1941.9924494911465,"[""TG-001"", ""TG-015"", ""TG-016""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""IAuthorizationRequirementData"", ""example""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-016,d3db066d4dd0a85ee288cd0f807b3f51cbfc6ff6cf1e4b3a4bcf46d67f1a9b33,d3db066d4dd0,source/images/S-016__d3db066d4dd0.png,963,525,1,R01,"Typed resource handler AuthorizationHandler<TRequirement,TResource>",12862.710285992736,1998.808056198106,"[""TG-002"", ""TG-005"", ""TG-003""]","[""RESOURCE BASED AUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-017,ce06053a65986d6c029f55f8403d7513bc24a21e987ce3d01467b921a2fbac8c,ce06053a6598,source/images/S-017__ce06053a6598.png,927,580,1,R01,Document-owner authorization handler,7816.469145987026,2009.2784167690024,"[""TG-024"", ""TG-012"", ""TG-025""]","[""resource"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource"", ""succeed(req)""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-018,d6ea2afe3923871a06aa9b39c0b4fb073ffa25e03fc52cced57e9cbd819fbed0,d6ea2afe3923,source/images/S-018__d6ea2afe3923.png,967,553,1,R01,RequireClaim: claim type and optional allowed values,19240.206820831103,2014.674883400592,"[""TG-001"", ""TG-015"", ""TG-016""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""IAuthorizationRequirementData"", ""example""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-019,f36d3a05733956e07ee993cc39dbc0c5a90fc7e01adb7521277afeebdac5a270,f36d3a057339,source/images/S-019__f36d3a057339.png,963,461,1,R01,Authorize and AllowAnonymous attributes,14912.8505367857,2042.7162982187638,"[""TG-005"", ""TG-001"", ""TG-002""]","[""BASIC,\nGLOBAL AUTHORIZATION"", ""BASIC POLICIES IN ADDAUTHORIZATION"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-020,56d37ae8eae7b62bd2e3367359af98144acf774dd525b6b590f2d73b3cc2a670,56d37ae8eae7,source/images/S-020__56d37ae8eae7.png,976,426,1,R01,Built-in requirements: RequireClaim and RequireRole,17191.269026139402,2055.119987906939,"[""TG-001"", ""TG-005"", ""TG-015""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""IAuthorizationRequirementData""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-021,cb0e5c4c52b34c4a245e3dcb3b15c708f7da001d7dd52aab670ee3002d207885,cb0e5c4c52b3,source/images/S-021__cb0e5c4c52b3.png,934,270,1,R02,PendingRequirements lifecycle as handlers call Succeed,5767.885003025853,2123.3858928974714,"[""TG-034"", ""TG-020"", ""TG-012""]","[""Pendingrequirements"", ""requirements"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-022,3dc9924ba9522cb28a346c96e255b99e0eeaf3560c67f80ad20ccdce9d0a027c,3dc9924ba952,source/images/S-022__3dc9924ba952.png,931,501,1,R02,Policy succeeds only when PendingRequirements becomes empty,3481.1823665296142,2126.9500377256754,"[""TG-013"", ""TG-021"", ""TG-014""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""requirements vs\npending requirements"", ""its requirements, not handlers\nif there was no handler tthat ve\ncalled success on requirement\nrequirement is failed and policy is failed""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-023,a4f06df799efa56865d0c36dd958bd4bfb14c7191c239a7df2770273be300348,a4f06df799ef,source/images/S-023__a4f06df799ef.png,955,551,1,R02,Non-generic SuperAdmin handler processes all pending requirements,4642.576337665465,2154.574994855733,"[""TG-013"", ""TG-034"", ""TG-020""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""Pendingrequirements"", ""requirements""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-024,35f5407c018802b65abe0dd9afafc82aae05c725a9cbff5b92c0dee7442cb6bc,35f5407c0188,source/images/S-024__35f5407c0188.png,942,358,1,R02,Snapshot PendingRequirements with ToList because Succeed mutates it,5770.55177141778,2404.941414544597,"[""TG-034"", ""TG-020"", ""TG-012""]","[""Pendingrequirements"", ""requirements"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
