use_id,source_id,sha256_12,region_id,x,y,width,height,opacity,transform,placement_index_for_source,duplicate_of_use_id,status
IU-001,S-001,a06913576756,R01,2574.900251358791,520.6783650673151,811.0,482.0,1.0,translate(2574.900251358791 520.6783650673151) rotate(0 405.56190217391304 241.15625),1,,inventoried-stage0-v002
IU-002,S-002,0a92c3d4014f,R01,3516.278618954406,601.4597876295065,986.0,444.0,1.0,translate(3516.278618954406 601.4597876295065) rotate(0 493 222),1,,inventoried-stage0-v002
IU-003,S-003,e5465384da8e,R01,3499.5968007725896,1045.9446176188558,983.0,372.0,1.0,translate(3499.5968007725896 1045.9446176188558) rotate(0 491.5 186),1,,inventoried-stage0-v002
IU-004,S-004,fcdcba7f11bf,R01,7827.76254139244,1072.1408675049151,764.0,482.0,1.0,translate(7827.76254139244 1072.1408675049151) rotate(0 382.02970297029697 241.15625),1,,inventoried-stage0-v002
IU-005,S-005,4e32e1ce50a3,R01,3495.283740358882,1482.4647703177234,969.0,163.0,1.0,translate(3495.283740358882 1482.4647703177234) rotate(0 484.5 81.5),1,,inventoried-stage0-v002
IU-006,S-006,6c1f61979aa5,R01,10984.165862077418,1493.8602276272122,914.0,403.0,1.0,translate(10984.165862077418 1493.8602276272122) rotate(0 457 201.5),1,,inventoried-stage0-v002
IU-007,S-007,917b8dbf4cc7,R01,5760.992608347029,1508.8962841328303,700.0,482.0,1.0,translate(5760.992608347029 1508.8962841328303) rotate(0 350.0034888357259 241.15625),1,,inventoried-stage0-v002
IU-008,S-008,37d31569241c,R01,12802.874644212912,1540.0111349593517,1034.0,456.0,1.0,translate(12802.874644212912 1540.0111349593517) rotate(0 517 228),1,,inventoried-stage0-v002
IU-009,S-009,8d5a0c8efcf5,R01,17185.2079903411,1542.5192934624865,867.0,482.0,1.0,translate(17185.2079903411 1542.5192934624865) rotate(0 433.3202046351085 241.15625),1,,inventoried-stage0-v002
IU-010,S-010,0bc7ca7a1b04,R01,7826.069985325659,1653.4347278041587,893.0,338.0,1.0,translate(7826.069985325659 1653.4347278041587) rotate(0 446.5 169),1,,inventoried-stage0-v002
IU-011,S-011,10d25105b7f5,R01,6777.372791126094,1662.786689953171,936.0,154.0,1.0,translate(6777.372791126094 1662.786689953171) rotate(0 468 77),1,,inventoried-stage0-v002
IU-012,S-012,ba4b8bcd14b1,R01,14928.517336477707,1686.421477286529,665.0,340.0,1.0,translate(14928.517336477707 1686.421477286529) rotate(0 332.5 170),1,,inventoried-stage0-v002
IU-013,S-013,2307c5de3315,R01,3480.541168152442,1754.2174327452212,902.0,310.0,1.0,translate(3480.541168152442 1754.2174327452212) rotate(0 451 155),1,,inventoried-stage0-v002
