text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,!!!,4841.040457909256,2378.3539496410453,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-002,AuthorizationMiddleware,2906.5654005595316,4003.5105714967185,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-003,Multiple ways to,568.3278917853695,2097.132143205773,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-004,attach authorization info,568.3278917853695,2191.2230522966847,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-005,to endpoint,568.3278917853695,2285.3139613875965,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-006,IAuthorizeData,626.7894302469085,2724.824450898085,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-007,AuthorizationPolicy,655.5074102649378,3368.926999350616,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-008,IAuthorizationRequirementData,564.225390282967,4049.9526716763494,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-009,defaultpolicy,5095.327466500616,1674.5248094206936,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-010,fallbackpolicy,4960.782011955161,2433.3126512175686,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-011,getPolicy,5057.827528922935,3328.312620006409,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-012,InvokeHanldersAfterFailure,6394.9406921387745,1445.1956574113728,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-013,AuthorizationMiddleware,4984.225313810584,4143.853818623745,R01,closed,03-transcript-R01-endpoint-metadata-default-and-fallback-policy.md,10-full-combined-final-transcript.md
T-014,"build or retrieve policy, ordered metadata",4810.891932606541,4746.206759800217,R02,closed,04-transcript-R02-policy-construction-caching-and-no-policy-path.md,10-full-combined-final-transcript.md
T-015,if there is absolutely no policy,4828.931196163526,5373.657752160053,R02,closed,04-transcript-R02-policy-construction-caching-and-no-policy-path.md,10-full-combined-final-transcript.md
T-016,run policy authentication,4906.578254987055,5942.285215108124,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
