label_id,region,semantic_review_status,x,y,text
T-001,R01,processed,229.7136140764743,10.0,basics
T-002,R01,processed,1845.8170066480345,403.3802261930557,how to check that closing
T-003,R01,processed,1845.8170066480345,403.3802261930557,tag name matches opening one
T-004,R01,processed,4437.464323187107,698.192140105466,multiple balancing groups
T-005,R01,processed,2316.138146579704,957.4876491029886,allows to check if html is valid(all tags closed and open and close have the same tagname)
T-006,R01,processed,2013.0184910683863,1140.5645721799106,+ optional tag shit
T-007,R01,processed,435.60086036764187,1180.1390501986398,without $ regex
T-008,R01,processed,435.60086036764187,1180.1390501986398,fill match on first
T-009,R01,processed,435.60086036764187,1180.1390501986398,shit it matches
T-010,R01,processed,435.60086036764187,1180.1390501986398,without asuuring
T-011,R01,processed,435.60086036764187,1180.1390501986398,that the whole string
T-012,R01,processed,435.60086036764187,1180.1390501986398,ahderes to pattern
T-013,R01,processed,435.60086036764187,1180.1390501986398,so you need to consume end
T-014,R01,processed,435.60086036764187,1180.1390501986398,of string finally
T-015,R02,processed,732.7227758815839,1333.0570332893121,need multiple repetitions
T-016,R02,processed,732.7227758815839,1333.0570332893121,or regex will try to match only
T-017,R02,processed,732.7227758815839,1333.0570332893121,one variant
T-018,R02,processed,732.7227758815839,1333.0570332893121,its just chars or its just open
T-019,R02,processed,732.7227758815839,1333.0570332893121,or its just close and pop
T-020,R02,processed,275.8413292061109,1355.808878187001,?:better here
T-021,R02,processed,275.8413292061109,1355.808878187001,need all altern
T-022,R02,processed,275.8413292061109,1355.808878187001,be in group so you can
T-023,R02,processed,275.8413292061109,1355.808878187001,add guard after all
T-024,R02,processed,2410.215099391703,1889.5404874796209,allows to check if there are some script tags
