"month","day","source","sourcePart","conspectName","planName","status","matchedRow","matchedSvg","matchedFolder","score","originalTopicNote"
"02","4","react or client.js.css area.pdf","1","string join","string join","MATCH_EXACT","extra-045","string join.svg","string join","1","string join;parse string to int, convert char;find index array string"
"02","4","react or client.js.css area.pdf","1","parse string to int, convert char","parse string to int, convert char","MATCH_EXACT","98","parse string to int, convert char.svg","parse string to int, convert char","1","string join;parse string to int, convert char;find index array string"
"02","4","react or client.js.css area.pdf","1","find index array string","find index array string","MATCH_EXACT","32","find index array string.svg","find index array string","1","string join;parse string to int, convert char;find index array string"
"02","4","react or client.js.css area.pdf","1","map and weakmap js","map and weakmap js","MATCH_EXACT","38","map and weakmap js.svg","map and weakmap js","1","map and weakmap js;set js;"
"02","4","react or client.js.css area.pdf","1","set js","set js","MATCH_EXACT","24","set js.svg","set js","1","map and weakmap js;set js;"
"02","5","react or client.js.css area.pdf","1","js sorting","js sorting","MATCH_EXACT","216","js sorting.svg","js sorting","1","js sorting;js iterate, index;create array, fixed length;"
"02","5","react or client.js.css area.pdf","1","js iterate, index","js iterate, index","MATCH_EXACT","214","js iterate, index.svg","js iterate, index","1","js sorting;js iterate, index;create array, fixed length;"
"02","5","react or client.js.css area.pdf","1","create array, fixed length","create array, fixed length","MATCH_EXACT","181","create array, fixed length.svg","create array, fixed length","1","js sorting;js iterate, index;create array, fixed length;"
"02","6","react or client.js.css area.pdf","1","interseption observer","interseption observer","MATCH_EXACT","210","interseption observer.svg","interseption observer","1","interseption observer; react render + useEffect; decorator;"
"02","6","react or client.js.css area.pdf","1","react render + useEffect","react render + useEffect","MATCH_EXACT","40","react render + useEffect.svg","react render + useEffect","1","interseption observer; react render + useEffect; decorator;"
"02","6","react or client.js.css area.pdf","1","decorator","decorator","MATCH_EXACT","184","decorator.svg","decorator","1","interseption observer; react render + useEffect; decorator;"
"02","7","asp area note 02.pdf","","middleware, writeasjson","middleware, writeasjson","MATCH_EXACT","93","middleware, writeasjson.svg","middleware-writeasjson","1","middleware, writeasjson"
"02","7","react or client.js.css area.pdf","1","block scroll","block scroll","MATCH_ACCEPTED","extra-028","scroll block.svg","scroll block","1","block scroll;FLAT FLATMAP"
"02","7","react or client.js.css area.pdf","1","FLAT FLATMAP","FLAT FLATMAP","MATCH_EXACT","29","FLAT FLATMAP.svg","FLAT FLATMAP","1","block scroll;FLAT FLATMAP"
"02","8","asp area note 02.pdf","","allocations","allocations","MATCH_EXACT","156","allocations.svg","allocations","1","allocations"
"02","8","asp area note 02.pdf","","filters","filters","MATCH_EXACT","197","filters.svg","filters","1","filters"
"02","9","asp area note 02.pdf","","scopes and idisposable","scopes and idisposable","MATCH_EXACT","102","scopes and idisposable.svg","scopes and idisposable","1","scopes and idisposable"
"02","9","asp area note 02.pdf","","routing,route params tech info, custom constraints,router matching","routing,route params tech info, custom constraints,router matching","MATCH_EXACT","extra-027","routing,route params tech info, custom constraints,router matching.svg","routing-route-params-tech-info-custom-constraints-router-matching","1","routing,route params tech info, custom constraints,router matching"
"02","9","react or client.js.css area.pdf","1","svg * ( fw_react)","svg * ( fw_react)","MATCH_ACCEPTED","extra-055","svg react.svg","svg react","1","svg * ( fw_react)"
"02","10","asp area note 02.pdf","","owned entity","owned entity","MATCH_EXACT","147","owned entity.svg","owned entity","1","owned entity"
"02","10","asp area note 02.pdf","","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory","MATCH_EXACT","165","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory.svg","automatic-problem-details-from-modelstate-apicontroller-filter-invalidmodelstateresponsefactory","1","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory"
"02","10","asp area note 02.pdf","","modelstate","modelstate","MATCH_EXACT","3","modelstate.svg","modelstate","1","modelstate"
"02","10","react or client.js.css area.pdf","1","flex,centering etc","flex,centering etc","MATCH_EXACT","workspace","flex,centering etc.svg","flex,centering etc","1","flex,centering etc;flex item ,flex shrinking"
"02","10","react or client.js.css area.pdf","1","flex item ,flex shrinking","flex item ,flex shrinking","MATCH_EXACT","198","flex item ,flex shrinking.svg","flex item ,flex shrinking","1","flex,centering etc;flex item ,flex shrinking"
"02","11","react or client.js.css area.pdf","1","stacking contexts, zindex","stacking contexts, zindex","MATCH_EXACT","88","stacking contexts, zindex.svg","stacking contexts, zindex","1","stacking contexts, zindex"
"02","12","asp area note 02.pdf","","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata","MATCH_EXACT","155","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata.svg","actiondescriptor-controlleractiondescriptor-endpoint-metadata-route-or-endpoint-name-iapiendpointmetadata-ordered-metadata","1","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata"
"02","12","react or client.js.css area.pdf","1","prog inline styles css","prog inline styles css","MATCH_EXACT","extra-012","prog inline styles css.svg","prog inline styles css","1","prog inline styles css;animation keyframes"
"02","12","react or client.js.css area.pdf","1","animation keyframes","animation keyframes","MATCH_EXACT","70","animation keyframes.svg","animation keyframes","1","prog inline styles css;animation keyframes"
"02","13","asp area note 02.pdf","","fluent validation","fluent validation","MATCH_EXACT","199","fluent validation.svg","fluent-validation","1","fluent validation"
"02","13","asp area note 02.pdf","","ef has conversion, value converte,comparer","ef has conversion, value converte,comparer","MATCH_EXACT","119","ef has conversion, value converte,comparer.svg","ef has conversion, value converte,comparer","1","ef has conversion, value converte,comparer"
"02","13","react or client.js.css area.pdf","1","header max width, sticky,fixed","header max width, sticky,fixed","MATCH_EXACT","135","header max width, sticky,fixed.svg","header max width, sticky,fixed","1","header max width, sticky,fixed"
"02","14","asp area note 02.pdf","","BINDING SOURCE ATTRIBUTES","BINDING SOURCE ATTRIBUTES","MATCH_EXACT","167","BINDING SOURCE ATTRIBUTES.svg","BINDING SOURCE ATTRIBUTES","1","BINDING SOURCE ATTRIBUTES; ROUTE PARAMS,QUERY STRING BASICS;ROUTING,ROUTE DESIGN, RESOURCES,ROUTING ALL GOOD PRACT IN GENERAL EXPLAINED"
"02","14","asp area note 02.pdf","","ROUTE PARAMS,QUERY STRING BASICS","ROUTE PARAMS,QUERY STRING BASICS","MATCH_EXACT","149","ROUTE PARAMS,QUERY STRING BASICS.svg","ROUTE PARAMS,QUERY STRING BASICS","1","BINDING SOURCE ATTRIBUTES; ROUTE PARAMS,QUERY STRING BASICS;ROUTING,ROUTE DESIGN, RESOURCES,ROUTING ALL GOOD PRACT IN GENERAL EXPLAINED"
