"area","part","day","topic","details","block","source"
"02","1","4","string join;parse string to int, convert char;find index array string","","","react or client.js.css area.pdf"
"02","1","4","map and weakmap js;set js;","","","react or client.js.css area.pdf"
"02","1","5","js sorting;js iterate, index;create array, fixed length;","","","react or client.js.css area.pdf"
"02","1","6","interseption observer; react render + useEffect; decorator;","","","react or client.js.css area.pdf"
"02","1","7","middleware, writeasjson","some basics of middleware, what u can capture in ctore from di as services? invoke method arguments di for middleware methods","","asp area note 02.pdf"
"02","1","7","block scroll;FLAT FLATMAP","","","react or client.js.css area.pdf"
"02","1","8","allocations","what they mat cause for asp.net core app server","","asp area note 02.pdf"
"02","1","8","filters","basics of filters, order,ordering,types of filters, what need to register in di and when, what filter classes can use and how they differ, interfaces vs specific filter classes","","asp area note 02.pdf"
"02","1","9","scopes and idisposable","basics, without deep dive into finalizers","","asp area note 02.pdf"
"02","1","9","routing,route params tech info, custom constraints,router matching","","","asp area note 02.pdf"
"02","1","9","svg * ( fw_react)","","","react or client.js.css area.pdf"
"02","1","10","owned entity","","","asp area note 02.pdf"
"02","1","10","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory","","","asp area note 02.pdf"
"02","1","10","modelstate","some basics, methods,properties, prefix explaination","","asp area note 02.pdf"
"02","1","10","flex,centering etc;flex item ,flex shrinking","","","react or client.js.css area.pdf"
"02","1","11","stacking contexts, zindex","","","react or client.js.css area.pdf"
"02","1","12","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata","iendpointnamemetadata iroutenamemetadata","iendpointnamemetadata iroutenamemetadata","asp area note 02.pdf"
"02","1","12","prog inline styles css;animation keyframes","","","react or client.js.css area.pdf"
"02","1","13","fluent validation","","","asp area note 02.pdf"
"02","1","13","ef has conversion, value converte,comparer","here without QUERING WITH LIST OF PRIMITIVES","","asp area note 02.pdf"
"02","1","13","header max width, sticky,fixed","","","react or client.js.css area.pdf"
"02","1","14","BINDING SOURCE ATTRIBUTES; ROUTE PARAMS,QUERY STRING BASICS;ROUTING,ROUTE DESIGN, RESOURCES,ROUTING ALL GOOD PRACT IN GENERAL EXPLAINED","","","asp area note 02.pdf"
"02","1","14","REST API BASICS","","FULL OVERVIEW OF METHODS; some basic things;some general base things;method safety/ idempotency","asp area note 02.pdf"
"02","1","14","CREATION REQUEST,POST REQUEST,LOCACTION HEADER,CREATED AT","","","asp area note 02.pdf"
"02","1","14","scroll block","","","react or client.js.css area.pdf"
"02","1","15","HEAD REQUEST; ROUTE NESTING","","","asp area note 02.pdf"
"02","1","15","ETAG, e tag;last modified header, implementation, expirational model","","","asp area note 02.pdf"
"02","1","15","PUT,PATCH","","","asp area note 02.pdf"
"02","1","15","BEM","","","react or client.js.css area.pdf"
"02","1","16","options requ;IVALIDATABLE OBJECT, VALIDATION ATTRIBUTES;FILTERING AND SEARCHING","","","asp area note 02.pdf"
"02","1","16","REST API BASICS","","Validation;PATCH VALIDATION PROBLEM DET LOWER;PROBLEM DETAILS,","asp area note 02.pdf"
"02","1","16","SORTING,MAPPING SERVICE","","","asp area note 02.pdf"
"02","1","17","PAGING;data shaping,expando;root document","","","asp area note 02.pdf"
"02","1","17","hateoas","","","asp area note 02.pdf"
"02","1","18","CONTENT NEGOTIATION RES API,FORMATTERS, XML,JSON","","","asp area note 02.pdf"
"02","1","18","FULL CONTENT NEG + VALIDATION FLOW","","","asp area note 02.pdf"
"02","1","19","vary header;cache control headers and response caching","","","asp area note 02.pdf"
"02","1","19","streaming","","streaming objects;""ASYNCENUMERABLE, WHY"" ;NDJSON,FLUSHASYNC FOR STREAMING OBJECTS,EXPLAINATION OF PLAIN ARRAY STREAMING VS NDJSON STREAMING BENEFITS AND USECASES WITH PLAIN ARRAY,","asp area note 02.pdf"
"02","1","19","async processing of multiple calls,parallelism","","Sumary -whole block with border","asp area note 02.pdf"
"02","1","19","""cancellation,async""; valuetask;membernotnull attribute,NULL","","","asp area note 02.pdf"
"02","1","20","problem details; FILTER,MIDDLEWARE CANCELLATION,REQUEST ABORTED; QS PREFERENCE WITH MULTIPLE ACCEPT HEADER VALUES HELPER","","","asp area note 02.pdf"
"02","1","21","httpclient,summary,theory,base usage,jsonoptions wrapper,handlers","","","asp area note 02.pdf"
"02","1","21","MEDIA TYPES OF REQUESTS","","","asp area note 02.pdf"
"02","1","22","statuscodepages; EXCEPTION HANDLERS ,","","","asp area note 02.pdf"
"02","1","22","ALL ABOUT REQ RES ,,,,,,,TYPES OF REQUEST CONTENT httpclient part, server part, pipereader pipewriter stream reader stream writer","","httpclient part - types, contenttype headers on content type not requestmessage, when reading response","asp area note 02.pdf"
"02","1","23","""when need to add content type, encoding"";compression,decompression,request,response;","","everything but only high level of block: handling multiple encodings (rarely implemented) is needed","asp area note 02.pdf"
"02","1","23","ALL ABOUT REQ RES ,,,,,,,TYPES OF REQUEST CONTENT httpclient part, server part, pipereader pipewriter stream reader stream writer","","httpclient part - sending json ;memorystream + stream content vs jsoncontent.create; new buffering sheet when you generally buffer full bytes of response using httpclient when you dont buffer full response and process as stream; buffering; using delegate handler to fix streaming issues + retries; jsoncontent.create/content-length issue transfer-encoding: chuncked;","asp area note 02.pdf"
"02","1","23","httpcontent,custom one, readasstream buffering, compression directly to network","","","asp area note 02.pdf"
"02","1","23","streaming","","streaming bytes;different types of byte streams and usecases","asp area note 02.pdf"
"02","1","24","httpcontext items and features;Lazy;link generator;jsonconverter;","","","asp area note 02.pdf"
"02","1","25","problem2; event source browser","","","asp area note 02.pdf"
"02","1","25","streaming","","SSE; sse examples body + event heartbeat; sse writer возможно стоит распределить лучше по дням из за неравномерности","asp area note 02.pdf"
"03","1","1","STRINGREADER; SYSTEM.TEXT.JSON SER SER;CUSTOM ROUTE CONSTRAINT;","","","area 03 asp.pdf"
"03","2","1","FETCH,FETCH AXIOS COMP, getch reader, httpclient comparison","","","react or client.js.css area.pdf"
"03","1","2","shared polly,cheat sheet,production ready verions, exceptions from pipeline and handling","","","area 03 asp.pdf"
"03","2","2","react root error, trigger useeffect on route change;axios","","","react or client.js.css area.pdf"
"03","1","3","outputcache, response cache comparison","","","area 03 asp.pdf"
"03","2","3","Rhf react hook form;zod","","","react or client.js.css area.pdf"
"03","1","4","imemorycache; idistributedcache;hybrydcache","","","area 03 asp.pdf"
"03","1","4","options pattern","","","area 03 asp.pdf"
"03","2","4","react router","","","react or client.js.css area.pdf"
"03","1","5","base mvc razor views example,tempdata viewdata viewbag, cache tag helper; tag helpers razor,partial;injecting into razor;viewcomponent;view discovery conventions;editor,display templates;return url implementation razor;istringlocalizer iviewlocalizer;jquery dynamic form validation;RAZOR PARTIAL UPDATES FOR VIEWCOMPONENT HTMX,AJAX","","","area 03 asp.pdf"
"03","2","5",";default values of funcs, how to call, rest params in funcs;never type, exhaustion check with discriminated union;type narrowing;index sign, keyof, type assertions, records to solve index sign issues;type aliases, unions,iterfaces","","","react or client.js.css area.pdf"
"03","1","6","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","","so rep shit","area 03 asp.pdf"
"03","1","6","explicit interface inplementation;lazy loading","","","area 03 asp.pdf"
"03","2","6","redux;zustand;useReducer;react state and rerenders, store subscriptions","","","react or client.js.css area.pdf"
"03","1","7","filters","","exception filter; result after exec vs resource after action","area 03 asp.pdf"
"03","1","7","ef has conversion, value converte,comparer","","QUERING WITH LIST OF PRIMITIVES","area 03 asp.pdf"
"03","1","7","cookie auth, antiforgery;jwt auth;antiforgerytoken;cors vs anti forgery;usesyncexternalstore","","","area 03 asp.pdf"
"03","2","7","usecontext;utility types;ctor type and instance type","","","react or client.js.css area.pdf"
"03","1","8","authenticaiton ticket, properties, context.User (claimsprincipal); AUTH EVENTS; AUTHORIZATION","","","area 03 asp.pdf"
"03","2","8","xhr;iframe,cross window communication,target;memory vs localstorage vs sessionstorage, session storage and local storage api methods","","","react or client.js.css area.pdf"
"03","1","9","authentication,, oidc, flows , handlers , forwarding auth events; authorization flow,autorization options, framework, authorizationmiddlewareresulthandler","","","area 03 asp.pdf"
"03","2","9","react query,rquery","","","react or client.js.css area.pdf"
"03","1","10","hashing;url save base 64 for db, hex string; adddataprotection, encryption, password recovery;account activation;content disposition header;donwloading files, blob,window.location,signed uri, showsavefilepicker createwritable","","","area 03 asp.pdf"
"03","2","10","promise.all;textdecoder, encoder, streaming and processing chunks, textdecoderstream of transformstream;uintarray,blob, arraybuffer,dataview,endianness;semaphoreslim for ts js, pending promise without resolve","","","react or client.js.css area.pdf"
"03","1","11","google recapcha and recapchas;mfa;identity;totp, summary,theory;creating base32 secret;","","","area 03 asp.pdf"
"03","2","11","pipethrough,transformstream,pipeto,writablestream, readablestream;js yield, asyncenumerable, finally of generator","","","react or client.js.css area.pdf"
"03","1","12","manual account lockout,ratelimiter middleware, idatabase vs idist cache; redis,multiplexer,redis lock; working with bytes, streams to bytes, to array readexactly,readatleast;event source browser;","","","area 03 asp.pdf"
"03","2","12","SVH DVH LVH;react strict mode;","","","react or client.js.css area.pdf"
"03","1","13","OIDC,OAUTH, IDENTITY SERVER,BFF,authtoken, authproperties; produces, consumes, input output formatters 406 415, vary accept,;windows auth","","","area 03 asp.pdf"
"03","2","13","useTransition full flow, usedebounce, useDefferedvalue;usetransition,cancelling queries of rquery,cant cancel suspence query, batching transitions","","","react or client.js.css area.pdf"
"03","1","14","websockets;useRef to avoid including into deps array, to avoid rerenders or bad recreations","","","area 03 asp.pdf"
"03","1","15","processing data as stream in dif situations, httpclient,endpoint,browser,websockets;","","","area 03 asp.pdf"
"03","1","16","randomnumbergenerator;encoding, utf8, chunk processing,;returning iqueryable,problems when returning ienumerable without tolist, async enumerable problems,yield;hexadecimal base16 how to convert to bytes easily;decoding, bytes memory, start of x byte character","","","area 03 asp.pdf"
"03","1","16","ETAG, e tag","","e tag for aggregate;etag flow, can browser store for later use or it needs to get etag on each response from server?;if match at client","area 03 asp.pdf"
"03","1","17","changetracker;","","","area 03 asp.pdf"
"03","1","18","partially initialized antipattern and possible partial inits inside repositories;","","","area 03 asp.pdf"
"03","1","18","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","","entities shit;nullable relationships;some onmodel creat hshit","area 03 asp.pdf"
"03","1","19","linq to sql;assplitquery;returning most specific passing most generic;encapsulating dbcontext;abstraction and encapsulation; linq join groupjoin groupby selectmany,selectmany second callback;query syntax","","","area 03 asp.pdf"
"03","1","20","transaction, isolation;ef core retry, savepoints","","","area 03 asp.pdf"
"03","1","20","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","","transactions;transaction patterns","area 03 asp.pdf"
"03","1","21","returning iqueryable,problems when returning ienumerable without tolist, async enumerable problems,yield;hashcode;equality;records;ref in out","","","area 03 asp.pdf"
"03","1","22","channel; lock, monitor ; semaphoreslim vs channel","","","area 03 asp.pdf"
"03","1","23","primary httphandler optoins, socket;","","","area 03 asp.pdf"
"03","1","24","dbcontext interseptors savechanges , dbcommand;dbset fromsql fromsqlraw fromsqlinterpolated and LINQ executeupdateasync and executedelete async,database.executesql executeraw,fromsqlquery","","","area 03 asp.pdf"
"03","1","25","span,memory,stackalloc,stackoverflow,calculate bytes, unmanaged types","","","area 03 asp.pdf"
"04","3","1","pseudoel, pseudo with parents stacking context, darp popup on full screen pseudo el; useref, when need to have ref from obj created in useeffect + when need to access someting inside effect without incl into dep array","","","react or client.js.css area.pdf"
"04","1","1","interlocked,interlocked.read; objectpool,arraypool,memorypool;dbcontextpool, queryfilter;query filters ef core;","","","topic nots asp 4.pdf"
"04","3","2","persistance, zustand,rquery,redux","","","react or client.js.css area.pdf"
"04","1","2","stored procedures;rawconnections,dbconnection,sqlconnection,commands","","","topic nots asp 4.pdf"
"04","3","3","inset vs size,margins,formula;","","","react or client.js.css area.pdf"
"04","1","3","REFLECTION;time;problem2; jsondocument, jsonnode, jsonelement, utf8jsonwriter","","without utf8jsonwriter part","topic nots asp 4.pdf"
"04","3","4","set js;splice;not","","","react or client.js.css area.pdf"
"04","1","4","return new ();headers;basic auth;server resources,multipleinstances,microservices; ascii;","","","topic nots asp 4.pdf"
"04","1","5","CORS","","","topic nots asp 4.pdf"
"04","1","6","ef core context.database, transaction object, savechanges, dbconnection,dbtransaction","","","topic nots asp 4.pdf"
"04","1","7","filters","","what wasnt covered before","topic nots asp 4.pdf"
"04","1","7","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","","db exceptions concur;different sql server error codes, what can do with each;db/sql shit","topic nots asp 4.pdf"
"04","1","8","server browser threads,memory, webworkers , runtime vs compiler , es;pointers; redis, idatabase,iserver;implicit operators explicit operators;","","","topic nots asp 4.pdf"
"04","1","9","proxy, server, vite dev server proxy; sheet hashset; sheet dict; cache control header,directives, PUBLIC PRIVATE CACHE , RESPONSE CACHE TYPES , E TAG CACHE FLOWS;outputcache layers, to use or not,locking, outputcache vs cdn","","","topic nots asp 4.pdf"
"04","1","10","SQL SERVER MARS;","","","topic nots asp 4.pdf"
"04","1","11","ALL ABOUT REQ RES ,,,,,,,TYPES OF REQUEST CONTENT httpclient part, server part, pipereader pipewriter stream reader stream writer","","server - trying to inprove performance /memory through streams/pipes in server endpoint for plain json;writing;async enumerable type of optimisation without some ndjson or someting just a very big amount of objects;reading;stream reader;pipereader;sequencereader;stream writer;pipewriter;IBufferwriter, arraybufferwriter note: some duplication in server writing to the left bottom of it, but it shows logical branching to stream writer and pipewriter","topic nots asp 4.pdf"
"04","1","11","jsondocument, jsonnode, jsonelement, utf8jsonwriter","","utf8jsonwriter","topic nots asp 4.pdf"
"04","1","12","sql syntax. sql server","","","topic nots asp 4.pdf"
"04","1","13","onmodelcreating","","","topic nots asp 4.pdf"
"04","1","14","binary primitives;utf8 string literal;implicit operators explicit operators;actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata;apibehavioroptions;xss, csp","","","topic nots asp 4.pdf"
"04","1","15","cookies, general theo, plain cookie options,;cookies vs tokens sheet jswt in cookies;usecookiepolicy;cookies auth ON REDIRECT probmem details returning","","","topic nots asp 4.pdf"
"04","1","16","principles,practises,patterns;events,delegaates,action;conventions;claimstransformation;ef migrations, dotnet-counters;keyless entity type;composite key;alternate key;ef core performance, diagnostics , compiled linq, batching, n + 1","","","topic nots asp 4.pdf"
"04","1","17","indexes, onmodel indexes;views, idexed views;searching impl, ef core, full text search,sql server;","","","topic nots asp 4.pdf"
"04","1","17","computed columns;sqlserver,efcore, bulk,sqlbulkcopy;","","","topic nots asp 4.pdf"
"04","1","17","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","","db invariant handling strategies;uniqueindex on computed column;handle invariants with triggers note: make sure that at this point there is no unnoticed and unprocessed data left in all given conspects, at this point we should have all conspects fully processed into questions and everything, this part was the last one when big conspect could have some unprocessed area","topic nots asp 4.pdf"
