image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,edfccb1c009d,image-0aef57a9ccd17d494055318e425d3343ff02dca6,2705.082299230418,737.1948653926574,1388.0,323.0,1388,323,source/images/edfccb1c009d.png
S-002,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,41cf42da653f,image-dcdf6871c51330f3bddbc2b2bc6ea07264cfa819,4928.913667150372,836.318422541086,769.0,80.0,354,37,source/images/41cf42da653f.png
S-003,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,e93762804203,image-036a499dc34ece95dbc78a0f7f12c903cd07be7a,4910.878608521689,1062.8446313734876,868.0,290.0,868,290,source/images/e93762804203.png
S-004,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,473e3f396348,image-15cbb9e2211afb04575f90194714025a38b09c3a,2698.1510367564483,1189.2770282968104,1288.0,369.0,1475,423,source/images/473e3f396348.png
S-005,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,6f503e024cab,image-3e41d30af6e243bd77626667849f759d0f3ad077,4873.481388181918,1488.57898496698,1090.0,259.0,1090,259,source/images/6f503e024cab.png
S-006,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,7226478dd05c,image-1ebc791c5fe6829b94624c0526f32aa3c989c6bd,2853.402704876208,1671.9930407099364,694.0,369.0,1493,795,source/images/7226478dd05c.png
S-007,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,20bc45b19d2f,image-480e268e246767d724bc6bbc2c2a4967b033b913,4692.354381924311,1848.595718532988,1250.0,281.0,1250,281,source/images/20bc45b19d2f.png
S-008,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,e49c1f65e506,image-23896ae30560c5eccf067ea430e3f95685ed92ae,3025.6835982135526,2107.2124993605958,702.0,148.0,702,148,source/images/e49c1f65e506.png
S-009,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,c0f3a4d86eba,image-5d6bcd150d8338888f3deec747ebc8987e5dd7dc,2858.227465055571,2351.3580416702007,766.0,369.0,1526,736,source/images/c0f3a4d86eba.png
S-010,R01,"content negotiation basics, formatter ordering, XML support, System.Text.Json and Newtonsoft.Json",processed,87a68083111a,image-1d0871a9079b29e2e3406ea11d5929e6b54c78de,4991.75438154925,2505.5453422609844,764.0,260.0,764,260,source/images/87a68083111a.png
