source_id,image_use_id,fileId_short,symbol_id,x,y,width,height,rotation,opacity,candidate_region,nearest_labels
S-001,IU-001,b2cb443f87,image-b2cb443f87d701031cd799d2a25f69b16565a9fa,11712.050319488168,8365.719439392731,762.0,276.0,0.0,1.0,R02,How works
S-002,IU-002,8177a56db8,image-8177a56db8e5677e44735637bd9999d22706ee65,11619.989808289187,7279.9520782816235,1268.0,482.0,0.0,1.0,R02,When getting cors even when using proxi and it tels that it is from redirect | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified | !!! | iif you want to include credentials in your fetchs from spa
S-003,IU-003,7574a8b9ad,image-7574a8b9adf4c882407f34c2a6239933ab18b73d,11577.054665560627,7793.8913982390095,1320.0,482.0,0.0,1.0,R02,When getting cors even when using proxi and it tels that it is from redirect | How works | !!! | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified
S-004,IU-004,7e221f7688,image-7e221f768884ec140c888dd2a0743497d3c6ec58,11695.978735553694,6761.335903410352,740.0,482.0,0.0,1.0,R02,When getting cors even when using proxi and it tels that it is from redirect | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified | !!! | iif you want to include credentials in your fetchs from spa | What to do IN ASP MANUALLY
S-005,IU-005,22d71ffd1a,image-22d71ffd1a6e49e795a50021b1e7adc5ccf5d8df,11735.086013412705,3914.7219132053965,813.0,482.0,0.0,1.0,R02,USECASES ____________ THEORY | PROXY FOR CORS | in asp project file | What to do IN ASP MANUALLY | why cors
S-006,IU-006,b43cc00e40,image-b43cc00e40803eabab017c988d1ddad195290d8c,11747.46933656888,4501.388600217115,919.0,482.0,0.0,1.0,R02,What to do IN ASP MANUALLY | in asp project file | USECASES ____________ THEORY | PROXY FOR CORS | iif you want to include credentials in your fetchs from spa
S-007,IU-007,ddf0fc9f41,image-ddf0fc9f413b9d8ed478906a231ba0ac1dcd205d,11750.040599065096,5672.81195091187,507.0,327.0,0.0,1.0,R02,iif you want to include credentials in your fetchs from spa | What to do IN ASP MANUALLY | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified | When getting cors even when using proxi and it tels that it is from redirect | !!! | in asp project file
S-008,IU-008,89ca6d51f5,image-89ca6d51f5b64ba37f3ed35dc2257b59c2d6a167,11717.727334263669,6120.334004508119,576.0,320.0,0.0,1.0,R02,iif you want to include credentials in your fetchs from spa | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified | When getting cors even when using proxi and it tels that it is from redirect | !!! | What to do IN ASP MANUALLY
S-009,IU-009,c37e8a8410,image-c37e8a8410a6b3a679d090f1ee3c9a6ebe7840e3,11693.185426337855,5011.783386056992,761.0,299.0,0.0,1.0,R02,What to do IN ASP MANUALLY | in asp project file | iif you want to include credentials in your fetchs from spa | And you probably cant do put or other non get post requests when you allow credentials and this need to be specified | When getting cors even when using proxi and it tels that it is from redirect | !!!
S-010,IU-010,af2426983c,image-af2426983c5bb668802d0d691c32263f55d54c14,11047.469205882797,10567.71977164831,289.0,159.0,0.0,1.0,R05,https://developer.mozilla.org/en- US/docs/Web/HTTP/Headers/Access-Control-Allow-Credentials | Preflight requests give information to server about requests about to happen | How works
S-011,IU-011,c5d23e659e,image-c5d23e659e49e2f08a2b52f9acc388fc8d325bbc,11062.182428696744,10881.815116447298,264.0,70.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen | https://developer.mozilla.org/en- US/docs/Web/HTTP/Headers/Access-Control-Allow-Credentials
