source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,EXHAND-R01,processed-in-exhand-r01-v001,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,EXHAND-R02,processed-in-exhand-r02-v001,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,EXHAND-R03,processed-in-exhand-r03-v001,yes-for-exhand-r03-stage1,no-for-stage1-semantic-transcript,no,yes
