source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,37c92f6208aa5d673c4eb73ed2b14e8800ce9e74,37c92f6208,S-001__37c92f6208.png,6433.799,539.324,994.0,408.0,PLAIN USEEXCEPTIONHANDLER WITH ADDPROBLEMDETAILS | HASSTARTED EXPLAINATION | from anywhere(where they werent handled) | add exception handler middleware so youll return problemdetails with 500 status code on exception | WIHTOUT PROBLEMDETAILSFACTORY AND | IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | EXCEPTIONHANDLER MIVVLEWARE | ausing Microsoft.AspNetCore.Diagnostics; | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.WebUtilities; | if (app.Environment.IsDevelopment()) | {,processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-002,IU-002,38ac32e966d6025d9f64d6b427ce8a32c6b4d398,38ac32e966,S-002__38ac32e966.png,4002.938,766.687,616.0,482.0,HASSTARTED EXPLAINATION | IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | WIHTOUT PROBLEMDETAILSFACTORY AND | from anywhere(where they werent handled) | add exception handler middleware so youll return problemdetails with 500 status code on exception | EXCEPTIONHANDLER MIVVLEWARE | ausing Microsoft.AspNetCore.Diagnostics; | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.WebUtilities; | PLAIN USEEXCEPTIONHANDLER WITH ADDPROBLEMDETAILS | if (app.Environment.IsDevelopment()) | {,processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-003,IU-003,617dbd951b03ae602a80b751dae65be58b4a672d,617dbd951b,S-003__617dbd951b.png,2315.912,920.294,1390.0,606.0,IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | WIHTOUT PROBLEMDETAILSFACTORY AND | from anywhere(where they werent handled) | add exception handler middleware so youll return problemdetails with 500 status code on exception | ausing Microsoft.AspNetCore.Diagnostics; | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.WebUtilities; | if (app.Environment.IsDevelopment()) | { | app.UseDeveloperExceptionPage(); | } | else,processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-004,IU-004,7a3afbd1c5fd87c30d131e7d91a0231621b1d9ce,7a3afbd1c5,S-004__7a3afbd1c5.png,6459.384,974.296,857.0,401.0,PLAIN USEEXCEPTIONHANDLER WITH ADDPROBLEMDETAILS | HASSTARTED EXPLAINATION | IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | WIHTOUT PROBLEMDETAILSFACTORY AND | from anywhere(where they werent handled) | add exception handler middleware so youll return problemdetails with 500 status code on exception | ausing Microsoft.AspNetCore.Diagnostics; | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.WebUtilities; | if (app.Environment.IsDevelopment()) | { | app.UseDeveloperExceptionPage();,processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-005,IU-005,966d0bb9d4740476e9705241cc0af21e487df781,966d0bb9d4,S-005__966d0bb9d4.png,10.0,1119.387,803.0,454.0,{ | app.UseDeveloperExceptionPage(); | if (app.Environment.IsDevelopment()) | } | else | using Microsoft.AspNetCore.WebUtilities; | using Microsoft.AspNetCore.Mvc; | app.UseExceptionHandler(errorApp => | ausing Microsoft.AspNetCore.Diagnostics; | errorApp.Run(async context =>,processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-006,IU-006,c2fa9a8507c3fd292cb63526348d1d05836f3a43,c2fa9a8507,S-006__c2fa9a8507.png,3970.905,1264.449,738.0,328.0,"HASSTARTED EXPLAINATION | { | app.UseExceptionHandler(errorApp => | errorApp.Run(async context => | IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | else | // If the response already started, we can't write our problem details | } | if (context.Response.HasStarted) | WIHTOUT PROBLEMDETAILSFACTORY AND",processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-007,IU-007,12e63656152ff4e14c207759bfb471d31bceed9a,12e6365615,S-007__12e6365615.png,4760.265,1280.371,743.0,320.0,"HASSTARTED EXPLAINATION | errorApp.Run(async context => | { | app.UseExceptionHandler(errorApp => | // If the response already started, we can't write our problem details | PLAIN USEEXCEPTIONHANDLER WITH ADDPROBLEMDETAILS | IPROBLEMDETAILS SERVICE BUT WITH EXCEPTIONHANDLERFEATURE | if (context.Response.HasStarted) | else",processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-008,IU-008,6defc373d3248066a1b16b3dc87beedbff32e336,6defc373d3,S-008__6defc373d3.png,2269.716,1608.915,1556.0,777.0,"var problemDetailsFactory = context.RequestServices.GetRequiredService<ProblemDetailsFactory>(); | // You can map exception types to status codes if you want | // Resolve ProblemDetailsFactory from DI | var statusCode = StatusCodes.Status500InternalServerError; | var ex = exceptionHandlerFeature?.Error; | // Create ProblemDetails using the factory (consistent defaults) | var exceptionHandlerFeature = context.Features.Get<IExceptionHandlerFeature>(); | var problem = problemDetailsFactory.CreateProblemDetails( | context, | } | statusCode: statusCode, | return;",processed-in-exhand-r01-v001,EXHAND-R01,yes-for-exhand-r01-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R01-global-exception-middleware-useexceptionhandler
S-009,IU-009,711e76bae221db4593ad08e3b63ec39e6b9f1da7,711e76bae2,S-009__711e76bae2.png,3985.285,1780.254,746.0,402.0,"HASSTARTED EXPLAINATION | statusCode: statusCode, | context, | title: ""An unexpected error occurred."", | var problem = problemDetailsFactory.CreateProblemDetails( | type: ""https://httpstatuses.com/500"", | // Create ProblemDetails using the factory (consistent defaults) | detail: app.Environment.IsDevelopment() ? ex?.ToString() : null, | instance: context.Request.Path | var statusCode = StatusCodes.Status500InternalServerError; | ); | // You can map exception types to status codes if you want",processed-in-exhand-r02-v001,EXHAND-R02,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R02-iexceptionhandler-problemdetails-status-mapping
S-010,IU-010,92fd6d15a5a1101cda985355e6f0d7f5dca50120,92fd6d15a5,S-010__92fd6d15a5.png,3974.258,2200.098,758.0,482.0,"WITH PROBLEMDETAILS SERVICE | }); | } | await context.Response.WriteAsJsonAsync(problem); | context.Response.ContentType = ""application/problem+json""; | HASSTARTED EXPLAINATION | context.Response.StatusCode = statusCode; | context.Response.Clear(); | problem.Extensions[""traceId""] = context.TraceIdentifier; | // Optionally attach extra info (extensions) | );",processed-in-exhand-r02-v001,EXHAND-R02,yes-for-exhand-r02-stage1,no-for-stage1-semantic-transcript,Included in Exception Handlers Stage1 EXHAND-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EXHAND-R02-iexceptionhandler-problemdetails-status-mapping
