source_id,sha256,width,height,region_file,near_literal_transcript,visible_code_preserved,recall_questions,status
S-001,6e22ba58f0c6648d2dff890afe2ae074e24ca0729265ce0359b901cb6815709f,994,405,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-002,e927bff84a0e2a14c879e261275d7d7dc8880d3997df3f42d80e7cbb7b332583,930,406,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-003,de4725080a0103e13f797f52f7db07af6de7b67e5fe478a7eb0391d0026d34b0,870,454,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-004,3181aa80966ce914c78cc51892dc9a4a8145eff7649eed9071d817ec751f36a7,825,578,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-005,163eb54fd7df61ee460f488849ec761205ddd879e09b124d9ae851ce3125084f,787,293,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-006,3afeb31a961bbff8ab93e5a573eccf334be3f297a7a60b053a6bab475abba73f,850,470,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-007,951a7b75aa25bcc77db9e01a8a6cc2d48c9b6a98ba8c457f03a8ce1d89128d6e,963,180,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-008,700a5d93613f4744fe8f6c29f3398b84cd958705e282b87f39cfb19576ddced8,839,449,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-009,45d1da06c56ec9bec1319be07a5ee1f153cf70cdfa5fcf466742192a8fc7c406,769,536,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-010,de20ebde3212e373d612e039a63d89140e76d314f935797ad202e8cdeda8a230,567,249,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-011,cba845bb228ecbe3eadfdf3c0158aabf1cad1b76686a5fb8a4b50c5293f55125,975,490,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
