image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,ad638f36b56d,image-24bb4dd0bc6b0674a587d7993a8f398855ee7bd3,2701.2244476542273,352.6873827356567,1147.0,369.0,1316,424,source/images/ad638f36b56d.png
S-002,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,a26fc846a946,image-3abd395240dd736fe3e52f92980b1ac1aa65d9cd,390.0662952559246,416.11981614317756,1192.0,182.0,1192,182,source/images/a26fc846a946.png
S-003,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,d01ebbd99516,image-4eadba6e8378aae7476710f10e94c3326fd2a99a,251.60549084009972,801.2820770464559,1378.0,369.0,1488,399,source/images/d01ebbd99516.png
S-004,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,ab64a8882694,image-54ae596ac099ed2089d8e63f7cb6540eaacdd5d9,2771.3580419983086,900.835531943444,890.0,369.0,964,400,source/images/ab64a8882694.png
S-005,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,8be49038f23d,image-2d7f3e086e5fcba04d3e9fa19e737c27ad34cac1,231.2001842815148,1241.2821111138283,1381.0,369.0,1424,381,source/images/8be49038f23d.png
S-006,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,ed5cdef60863,image-6b2afdeba0678b2503e4f2ece494ff71b6c57746,2719.888647585738,1356.6114391184774,939.0,290.0,939,290,source/images/ed5cdef60863.png
S-007,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,b1a7ee0e703f,image-ab8d2130517db01a1013abd97decbd2cc24f8001,459.71860555397643,1633.504320249539,818.0,453.0,1457,806,source/images/b1a7ee0e703f.png
S-008,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,de2d6d466bd5,image-7c547ec0c10c0bd746fb19aec92d82db405198ca,2724.940856688485,1901.7404835302978,906.0,270.0,906,270,source/images/de2d6d466bd5.png
S-009,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,2933e8bb67f8,image-1e1beacbdd40ec0e30238065fdf6348235a70d27,2682.233958606099,2338.2657118283923,850.0,102.0,850,102,source/images/2933e8bb67f8.png
S-010,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,3bddbcfef1b6,image-97d265baaaefe1714dccd5b19e8b36ab7022b1eb,401.0677898724866,2400.494225728001,748.0,341.0,748,341,source/images/3bddbcfef1b6.png
S-011,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,fe89b4221f96,image-c522dd80dc4c5184bc5e7c1cc574c94a9be2fcec,2686.592334848996,2481.290989158816,813.0,121.0,813,121,source/images/fe89b4221f96.png
S-012,R02,"reusable PagedList<T>, count, Skip/Take, total pages and HasPrevious/HasNext",processed,05c88200ccb3,image-65da9df8ed714c2d695faf0ec44514bebb0d3b90,2451.61268175063,2706.503167687765,1262.0,363.0,1262,363,source/images/05c88200ccb3.png
S-013,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,4b09c04b69c5,image-aab56e5a59a882b548b2308da69c78a478850de7,268.3456829388929,2919.3831488432143,1049.0,141.0,1049,141,source/images/4b09c04b69c5.png
S-014,R01,"paging motivation, pageNumber/pageSize parameters, defaults, maximum page size and querying the data store",processed,41317c2a26cc,image-9767b45357e2b9bc62219514510c83c6fd32a231,86.26807739174728,3118.1973383302093,1363.0,343.0,1363,343,source/images/41317c2a26cc.png
