text_id,text,x,y,font_size,sha256,region_id,node_kind,coverage_status,assignment_count
T-001,put/patch,2997.3674390596098,155.26709916178336,164.88887532552027px,532fecef3d0034424d47a58ebb2b1cadee42a1172c662d431fbf055a5282143d,R01,semantic,processed-semantic-transcript,1
T-002,put and patch idempotency,2892.481451837197,1283.518005002222,101.066650390625px,15ac0c04b0adb2a55ccfb7b53b0f77ed1b259a4c33de4097421c18c4e8fafedc,R01,semantic,processed-semantic-transcript,1
T-003,status codes for put and patch,3117.0452836454438,3531.4815103625733,70.42427201704561px,2e7df3bb5020a57c27fcbfeae316f2334b16733e617db35f7f0e789ac3c4a4db,R01,semantic,processed-semantic-transcript,1
T-004,!!!,2684.7366774123666,4184.946051669864,100.59255642361094px,e84c538e7fe250730ef62de220c40dfa808d3008c0cdb437181564b88b8714b8,R01,semantic,processed-semantic-transcript,1
T-005,put,3189.459612206287,4409.21365217833,84.8205003004812px,373cb2c6d4fe2778441d4f0266505b699fa518d002e5793b87f9b48836de3f62,R01,semantic,processed-semantic-transcript,1
T-006,upsert,4739.236727098994,4546.069926112726,169.33331298828116px,4e3b92fce522aba8776072e73c107121ae9661c7787db93111edeaba3d275062,R01,semantic,processed-semantic-transcript,1
T-007,about formats and theory in general,2141.4333716532924,5756.0911619291865,128.19046456473183px,b73c561c71246435f6708215223b7109a531be62af2df5ecc1545212c18dd0e6,R01,semantic,processed-semantic-transcript,1
T-008,"client cant know what id will be assigned to resource, then it cant do put request with id of resource",4795.462500079977,5845.142319156978,20px,92ec9f1fdb972191fde222687cfa200c3d07e16a3d952a7e89a32697ceea5ec3,R01,semantic,processed-semantic-transcript,1
T-009,"that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here",4795.462500079977,5870.142319156978,20px,012df53ba9022b58c4a97d0c4d208cd9af852d7087854906f9933a826154dd01,R01,semantic,processed-semantic-transcript,1
T-010,some additional notes,4743.030756467604,6686.123388411794,81.71428571428585px,689dfa8087344e53d1c4b510abcad49de575fef7d125c7265817940beaa83504,R01,semantic,processed-semantic-transcript,1
T-011,IF CLIENT CREATES IDS AND API ALLOWS UPSERT,4809.186105772875,7609.556903140538,20px,7c37f5ef0ddcbcbc1ceec8c8d17c84c49b006ac6522757af64f4a9779fe0fe4b,R01,semantic,processed-semantic-transcript,1
T-012,THERE IS A POSSIBLE SITUATION WHEN  CLIENT SEND PUT REQUEST,4809.186105772875,7634.556903140538,20px,fa1e7470a0d6b7ace1c7de9ac5d810d8145a2de0bf2996258cfc2c508e57f7ff,R01,semantic,processed-semantic-transcript,1
T-013,"BUT HE DOESNT WANT TO  OVERWRITE EXISTING ID, SO HE SENDS WITH",4809.186105772875,7659.556903140538,20px,7a132793e82e5684a895f246df3b8bf485b918aceed833541abf2cb513c7ac10,R01,semantic,processed-semantic-transcript,1
T-014,IF-NONE-MATCH:* SO IF THE RESOURCE EXISTS IN ANY VERSION - THERE WOULD BE,4809.186105772875,7684.556903140538,20px,dd868ba5ab85740789cf56b5acfd4069eaef071b438e25cb8b659d3434d0d06c,R01,semantic,processed-semantic-transcript,1
T-015,NO UPDATE,4809.186105772875,7709.556903140538,20px,389f366470a473bd856d2f2c2495c4070be5f4e5a6e8293dd5b7e7c2103c914f,R01,semantic,processed-semantic-transcript,1
T-016,but framework will,2446.849556719778,10157.445804589097,20px,2817bc5198fc291fdecaef332e95432d5bdba6c1d09748a0f29ff5f63867f29e,R01,semantic,processed-semantic-transcript,1
T-017,set null to this,2446.849556719778,10182.445804589097,20px,75830dbbc5ee70d38ef1bebb01b35981848607d423738b5a10bba05a08e58e30,R01,semantic,processed-semantic-transcript,1
T-018,MANUAL PATCH,3007.497092194989,10867.694485778498,20px,ee7283393bac246c0ad17319f7d3a608c9a04d347a8e7899146728873908f093,R02,semantic,processed-semantic-transcript,1
T-019,JSONEL                   JSONDOC              OPTIONAL WITH JSONCONVERTER,3007.497092194989,10892.694485778498,20px,c7f8e2ca01cdd93ff914970618ac252c5d6087925b3203708954af592c219b7a,R02,semantic,processed-semantic-transcript,1
T-020,patch with convetion of optional,4158.135102939682,12692.594363238803,97.86660156250004px,caabc4fc12874b86bc34e6441a1c6f464d15eab72c04addfcf0dc15634b58b94,R03,semantic,processed-semantic-transcript,1
T-021,via json manipulations,406.71686954768575,12709.955322343147,20px,c38caf258e383be8ae670f59c7c5cf777487d28540a67464b9c1a16500b790b2,R02,semantic,processed-semantic-transcript,1
T-022,jsonel<--patch via jsonpatch document newtonsoft,2992.010617472949,12786.102467503584,29.2121027166198px,9241939fc04ae7eb29400f61db6b9a41d1aa3707e0468d95065ebf6b94c29f9c,R02,semantic,processed-semantic-transcript,1
T-023,,2992.010617472949,12822.617595899359,29.2121027166198px,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,R02,empty-structural,reviewed-empty-structural,1
T-024,.net 10 text.json<-- lower,2992.010617472949,12859.132724295134,29.2121027166198px,df692b7b152de4a71b0f1356b62e44cf066d356f23ee3e10bab0cc8db568f0f3,R02,semantic,processed-semantic-transcript,1
T-025,public readonly struct Optional<T>,5725.340584638747,12992.906339978876,20px,cc8bcf54d9922005702cecf7fad38fe610467287581e54b0920600517bde56fa,R03,semantic,processed-semantic-transcript,1
T-026,{,5725.340584638747,13017.906339978876,20px,021fb596db81e6d02bf3d2586ee3981fe519f275c0ac9ca76bbcf2ebb4097d96,R03,semantic,processed-semantic-transcript,1
T-027,public bool IsSet { get; },5725.340584638747,13042.906339978876,20px,55d9008c1c5ec996b794f0c6afea30e47392ed2b0ace3069be9d5c6bf1aecabf,R03,semantic,processed-semantic-transcript,1
T-028,public T? Value { get; },5725.340584638747,13067.906339978876,20px,23393aa2a5200d6bc0b7797462b9fa5909b305d1ba4697542abbed1e6ca44c24,R03,semantic,processed-semantic-transcript,1
T-029,,5725.340584638747,13092.906339978876,20px,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,R03,empty-structural,reviewed-empty-structural,1
T-030,public Optional(T? value),5725.340584638747,13117.906339978876,20px,941862183d426d80fba98901fbf8217171fa11aed86d4eecf15a66f1cc242701,R03,semantic,processed-semantic-transcript,1
T-031,{,5725.340584638747,13142.906339978876,20px,021fb596db81e6d02bf3d2586ee3981fe519f275c0ac9ca76bbcf2ebb4097d96,R03,semantic,processed-semantic-transcript,1
T-032,IsSet = true;,5725.340584638747,13167.906339978876,20px,1e28c1f290f500b42767bdd3f0140bfd8fe746fcf9878a569d77f3edd051b900,R03,semantic,processed-semantic-transcript,1
T-033,Value = value;,5725.340584638747,13192.906339978876,20px,c66991f50dd0b1402616a9bb9654080762f0b8b8b5d79825b1f5ff1e4ff37fb7,R03,semantic,processed-semantic-transcript,1
T-034,},5725.340584638747,13217.906339978876,20px,d10b36aa74a59bcf4a88185837f658afaf3646eff2bb16c3928d0e9335e945d2,R03,semantic,processed-semantic-transcript,1
T-035,,5725.340584638747,13242.906339978876,20px,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,R03,empty-structural,reviewed-empty-structural,1
T-036,"public override string ToString() => IsSet ? $""Set({Value})"" : ""Unset"";",5725.340584638747,13267.906339978876,20px,cb32aa7db44963fc9f94b0852a48671e158edaa7ad4718cec4a8ef20b828942f,R03,semantic,processed-semantic-transcript,1
T-037,},5725.340584638747,13292.906339978876,20px,d10b36aa74a59bcf4a88185837f658afaf3646eff2bb16c3928d0e9335e945d2,R03,semantic,processed-semantic-transcript,1
T-038,doesnt wokr with,2793.9373356200404,13432.359375212855,20px,bd2d4e37330b2d20259b68e152e33dd981a73987a2e4721b54445e13e9438de1,R04,semantic,processed-semantic-transcript,1
T-039,typed things,2793.9373356200404,13457.359375212855,20px,1f20edcbd3cbd4bc6b83d01216d806d9cbbc7c2523b3c52f329ca8c0f2c23886,R04,semantic,processed-semantic-transcript,1
T-040,public sealed class OptionalJsonConverterFactory : JsonConverterFactory,5716.006966474684,13494.239897107782,20px,59e5511d2ab45c4e7b577d631c29fc5e4e8cd88f6de1b085a7faf3651292c84f,R03,semantic,processed-semantic-transcript,1
