source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,12146b1298,1115.0397600446431,10.0,994.0,409.0,R01,pending-transcript,
S-002,IU-002,6b406c9592,10.0,1198.3176516578314,999.0,393.0,R02,pending-transcript,
S-003,IU-003,9665f02a1c,83.38734863281297,1606.9946332659038,826.0,482.0,R02,pending-transcript,
S-004,IU-004,81313a6009,2011.0715157645095,1559.7223554338718,974.0,434.0,R03,pending-transcript,
S-005,IU-005,295292ca18,1103.0631917317717,437.0953143891834,957.0,311.0,R01,pending-transcript,
S-006,IU-006,e164b777bb,2121.879830079151,3998.604929606121,885.0,482.0,R03,pending-transcript,
S-007,IU-007,1c1740524f,2084.5800218661548,3817.2611033121757,970.0,155.0,R03,pending-transcript,
S-008,IU-008,d0254b0a3c,2095.413304336858,3419.2611033121757,925.0,371.0,R03,pending-transcript,
S-009,IU-009,332f339168,2089.413304336858,3116.094385782879,987.0,284.0,R03,pending-transcript,
S-010,IU-010,0c5820a20b,2112.913304336858,2853.9277445475273,730.0,245.0,R03,pending-transcript,
S-011,IU-011,4c940ec7fd,2049.0800218661548,2389.594385782879,941.0,457.0,R03,pending-transcript,
S-012,IU-012,7dff2e989d,2033.2467393954516,2032.4277445475273,1026.0,308.0,R03,pending-transcript,
