idx,text,x,y,font_size,region,status
1,<!-- include htmx -->,3280.5866798776037,3511.2353882283114,20px,R03,closed-by-stage1-final-coverage
2,"<script src=""https://unpkg.com/htmx.org@1.9.12""></script>",3094.16681903776,3546.2353882283114,20px,R03,closed-by-stage1-final-coverage
3,"<div id=""cartSummary""",3273.756678046549,3616.2353882283114,20px,R03,closed-by-stage1-final-coverage
4,"hx-get=""/widgets/cart-summary""",3221.5067238229162,3651.2353882283114,20px,R03,closed-by-stage1-final-coverage
5,"hx-trigger=""load, every 5s""",3249.6567024606115,3686.2353882283114,20px,R03,closed-by-stage1-final-coverage
6,"hx-swap=""innerHTML"">",3272.656694831217,3721.2353882283114,20px,R03,closed-by-stage1-final-coverage
7,"@await Component.InvokeAsync(""CartSummary"")",3147.896768988932,3756.2353882283114,20px,R03,closed-by-stage1-final-coverage
8,</div>,3348.9466270821936,3791.2353882283114,20px,R03,closed-by-stage1-final-coverage
9,AJAX,335.827349336261,1005.0263529067956,103.5555826822918px,R02,closed-by-stage1-final-coverage
10,HTMX,2439.002223778225,1128.2008713103482,135.55558268229183px,R03,closed-by-stage1-final-coverage
