image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-759954f948336248bb10ca48663777c1e30cb33d,1b5081316873.png,1b5081316873ba4904866149913d755eda3c5fa589e99b3a7c264a5b821d86f1,1b5081316873,image/png,37925,985,330,RGBA,1,extracted
image-997c8c46c6db95192739b57bfefe82726e7aa2a9,ef7062c02506.png,ef7062c025062bf0c085bd14d8103d9aae653ac72083005cf69207a442016cd6,ef7062c02506,image/png,36315,1010,243,RGBA,1,extracted
image-303a03bed93bc67cc11ef25945491384b522a69c,309b6c543c9a.png,309b6c543c9aa84f8c5dadde290f09f55f0f2178280e6c39304c8d8da4a4e117,309b6c543c9a,image/png,65857,1294,718,RGBA,1,extracted
image-c3a054fc7240e24565c3bfa230d1f341f3b1fb57,c656bf34d012.png,c656bf34d012c970d400309a44894d11b54cff7a4bad86a95d2d1fcc3211b23c,c656bf34d012,image/png,52418,1279,484,RGBA,1,extracted
image-3ace22f02b3db52346998013ec855c7b99127be0,7e98e0e31056.png,7e98e0e310563342774b868686adc18b73cb8e907a80f36e3fa58b344f39dbfc,7e98e0e31056,image/png,38333,984,245,RGBA,1,extracted
image-913f05e502ab84ce79fd2c796bf1a1cc64efd5df,0d3062d04d2b.png,0d3062d04d2b85846db426838288740f29fe5fd9232cbff25adece4c9ccd0065,0d3062d04d2b,image/png,27191,849,212,RGBA,1,extracted
image-fc0834627e81924ecd25c8196d32761a603504c5,59036bafb649.png,59036bafb64907bcda825d42caa9bdf62af60b71b609ae4f5bd1e0043d40f93b,59036bafb649,image/png,36565,806,333,RGBA,1,extracted
image-b1c1a39b5255da6bf3e956c7a17d013cb0f48d5f,977214372299.png,977214372299dcb975717fb85e452947530b7dc673770e13182c65256d218a50,977214372299,image/png,25415,1397,174,RGBA,1,extracted
image-0b9124d432aa7cc924b8a4493b74c453c7090160,600f17318678.png,600f17318678c30dbd0cf88636674335a8209d36b83f236b0594612b69fd0eca,600f17318678,image/png,59856,1015,459,RGBA,1,extracted
image-37f14472e00a28115cffbdfa9278ce15222c18a3,5f3d951be9d7.png,5f3d951be9d70559543347c783d9ac9f529de267a4397a2cd8d5c2e4442d4a67,5f3d951be9d7,image/png,37424,1348,241,RGBA,1,extracted
image-b2c94f477333b23b141484f1695c706e6ff9e894,a4dc5e49f40f.png,a4dc5e49f40f50bffd936f71c1144a8a0b34c1b5a88363da31c9737beb01d5b8,a4dc5e49f40f,image/png,49917,1148,287,RGBA,1,extracted
