use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-ad12bac4dd7b8e65e9a7e915a39316ff055e4286,b96b7a471362.png,b96b7a471362,R01,4291.25888055312,14491.07681288848,970.0,469.0,1.0,,T-016|T-017|T-009,"registering, using form context for registering|deep inputs|so we control the items order here",pending_transcript
IU-002,image-48bfb88a0dc1523d6bf5598a249452a458ea0812,ff7ec74a7769.png,ff7ec74a7769,R01,4266.3900611333365,14972.150723071858,866.0,375.0,1.0,,T-017|T-016|T-018,"deep inputs|registering, using form context for registering|fieldsarrayu usecases",pending_transcript
IU-003,image-420142c1d739b89744adef99f03ce288b37a5d5f,94b0e0d1820e.png,94b0e0d1820e,R01,4271.4271433816,15353.761834182971,930.0,394.0,1.0,,T-017|T-016|T-018,"deep inputs|registering, using form context for registering|fieldsarrayu usecases",pending_transcript
IU-004,image-2ee534a8982c347133cd84dc8c6cd99c449f3709,07195edde361.png,07195edde361,R01,4257.549064473046,15764.42044420901,851.0,482.0,1.0,,T-017|T-016|T-018,"deep inputs|registering, using form context for registering|fieldsarrayu usecases",pending_transcript
IU-005,image-e3e30bc8a153bdbe5af091499410d349a7cce643,ce003b4681fd.png,ce003b4681fd,R01,4279.385717408289,16259.235236418213,683.0,482.0,1.0,,T-017|T-016|T-018,"deep inputs|registering, using form context for registering|fieldsarrayu usecases",pending_transcript
IU-006,image-4e02b8a7db180cd85dd87685ded2226d579cb904,b0f92818411d.png,b0f92818411d,R01,4248.315896636809,16773.039611960754,834.0,391.0,1.0,,T-017|T-016|T-018,"deep inputs|registering, using form context for registering|fieldsarrayu usecases",pending_transcript
IU-007,image-e704ac0b3c51071be0f123b91ea2d4bf2e81a352,ee514955076d.png,ee514955076d,R01,4227.0197811854205,17191.910027542348,924.0,214.0,1.0,,T-017|T-016|T-007,"deep inputs|registering, using form context for registering|some patterns",pending_transcript
IU-008,image-e5d365513b6d5fa95b50a756c90dcf7ade870219,965b79752c43.png,965b79752c43,R01,4213.766598904359,17411.827806405192,1039.0,513.0,1.0,,T-017|T-016|T-007,"deep inputs|registering, using form context for registering|some patterns",pending_transcript
IU-009,image-43473438d9a38539ba7d321cb49331c3ed3e072e,ffde10b27d54.png,ffde10b27d54,R01,4209.0382544927115,17946.910027542348,957.0,304.0,1.0,,T-007|T-017|T-016,"some patterns|deep inputs|registering, using form context for registering",pending_transcript
IU-010,image-5a16bc1fb661f34dd6ac10cd577ecc4219567bfa,19f2eb976112.png,19f2eb976112,R01,4202.7418677739615,18265.095235333145,617.0,278.0,1.0,,T-007|T-017|T-016,"some patterns|deep inputs|registering, using form context for registering",pending_transcript
