image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-1a214c7350a7cceee89799de57f1f592624deb0d,7367e55ad168.png,7367e55ad16865d13d4fce8298c90e2995a6536435bc100ebe34aceb51adc423,7367e55ad168,image/png,59756,896,647,RGBA,1,extracted
image-dddab2667cb3bda71efd4e2c5379c0f9cddd5807,06cfd3292d30.png,06cfd3292d308e6af30406d0f2f694760cc402c2214ab5bf7e94d06992b9ee06,06cfd3292d30,image/png,21544,859,239,RGBA,1,extracted
image-f2a11d8151e019aa8192d37d531c6d4e3de945b3,53fd26c98e80.png,53fd26c98e80fe393f1f95316dd4d138e535fc8b579b5352f8af3ca434d8f4d8,53fd26c98e80,image/png,34975,814,442,RGBA,1,extracted
image-56a9d59438cde577dd61cfd8f23620f78975004a,269a6ec2068a.png,269a6ec2068a73f384363377028a49dded487bc27030b6c48a8f2d457d28b9c5,269a6ec2068a,image/png,25454,740,288,RGBA,1,extracted
image-5069688f7df9826a3fde650927a0f6d36673085d,6ff7ed15cdbc.png,6ff7ed15cdbcc7e0badd3cd6319a53bb76c3fc78122cedb0255a7e0552e02ebf,6ff7ed15cdbc,image/png,44766,732,508,RGBA,1,extracted
image-a1987082390442f92af5b5d7142bb6ac62b888e8,0a25d90402fe.png,0a25d90402fe1bd71fd8cc96632cb5abf8b58ebdcee2f8d0e86276a44dbf287d,0a25d90402fe,image/png,25671,719,341,RGBA,1,extracted
image-94e0889329b24e43962f98a35c5e9bbcd18a6c97,b4724e96e58f.png,b4724e96e58f18e29e9be4d93d33240b581b84097c2631d8159283e1e391b2ac,b4724e96e58f,image/png,59098,728,596,RGBA,1,extracted
image-2179ff6a938f9bfb65d4a6ac02600bcb3afea8f1,8065c5b01bf9.png,8065c5b01bf961b3a4edc360f65600d8bfd6d8f0e1aef1e058fb9c29025c4c2e,8065c5b01bf9,image/png,41669,926,401,RGBA,1,extracted
image-d5d135857f89b85f8b615217a21e37479c2d3574,e7a07ebe84b4.png,e7a07ebe84b48da2c11aabbe7b2f6108086c9b0bc5f8af85ebb59e772f7c5cca,e7a07ebe84b4,image/png,27797,906,286,RGBA,1,extracted
image-d98e1e046ad9b1a4cc93372a5383cd28c92effb6,4242ed0489ab.png,4242ed0489abf78642c409e3003594032cdebb8851ae627d5c326a2eb223edee,4242ed0489ab,image/png,45825,895,366,RGBA,1,extracted
image-9e457ec52b6f00984ff4b8928f86538c654c9d12,7fe3bceebe52.png,7fe3bceebe525401dbebd434f539cdf25264e69104d9054383e4b05c42f3fcae,7fe3bceebe52,image/png,40842,980,333,RGBA,1,extracted
image-a639ac08404a47672d26b1c0985c5df066c4e48d,56439429de2b.png,56439429de2b1cbfc45ac29ca1dc62b5d6e81d07bef2c092a340b1ab3274933a,56439429de2b,image/png,30102,881,266,RGBA,1,extracted
image-b3cbaf540fb370aebaa18af94b4bf56832e1dc87,76e4eb8a1254.png,76e4eb8a1254f8cfe0fe4a4b1d0a61e5bf047b9b9075da8e40ce74c675897f2e,76e4eb8a1254,image/png,42469,728,437,RGBA,1,extracted
image-77860a470497d6e4e84f4b8ae4f21b0918b27e05,ce9dad3fbacc.png,ce9dad3fbacc74006e1b8e4f4bba87e93b3dcbbf64c2db97dcdb26e84ef72c3f,ce9dad3fbacc,image/png,11333,919,113,RGBA,1,extracted
image-2fcc914e01ec05f8dafde9ffe19c5a93684033e3,ec94f970eaef.png,ec94f970eaef6d3fb8aed02dfc2819e6b9601b0b5cabbf77317c0f435cdef6a5,ec94f970eaef,image/png,64719,1208,628,RGBA,1,extracted
image-e950cd40b9dae3cf2575ce24b08793a9252784b4,bb781978bcc4.png,bb781978bcc400f8ce5aeaa58848fd788fd7c927b2824d6e72c785de4bb1467c,bb781978bcc4,image/png,43277,1041,393,RGBA,1,extracted
