use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-80db190fb853ddf9837bb3c975c2cbc18cfdb1b4,d2e8730bbd2e.png,d2e8730bbd2e,R01,199.62117982658947,3282.4003892603014,785.0,320.0,1.0,,T-002|T-030|T-001,"so we need to apply sorting to entity model manually|}|sorting applyed to outter facing model, we cant expose entity model,",pending_transcript
IU-002,image-114ee4187b4c311f90f14394cc2bd2f8c6431a82,ba208891228d.png,ba208891228d,R01,202.86979616576264,3647.9107042017076,773.0,482.0,1.0,,T-030|T-029|T-002,}|}|so we need to apply sorting to entity model manually,pending_transcript
IU-003,image-ff148291b12109a5ecf148dc67bed0e2b2cd3de8,2e0335aad939.png,2e0335aad939,R01,170.82482701626031,4155.2336717310045,830.0,401.0,1.0,,T-030|T-029|T-028,}|}|ordered = desc ? ordered.ThenByDescending(keySelector) : ordered.ThenBy(keySelector);,pending_transcript
IU-004,image-e7d42d7379d2d2121281e132c7dfe9e8a8a304e9,46372c896655.png,46372c896655,R01,159.79311998565026,476.6794439755122,1166.0,175.0,1.0,,T-003|T-004|T-005,basics|if (string.IsNullOrWhiteSpace(orderBy))|return query.OrderBy(a => a.LastName).ThenBy(a => a.FirstName);,pending_transcript
IU-005,image-d7c132735a07e15efa1e4e2a69cf2ec7f1e7a5d1,ea38cf986d04.png,ea38cf986d04,R01,218.26686875349515,816.9529481929585,838.0,369.0,1.0,,T-001|T-002|T-003,"sorting applyed to outter facing model, we cant expose entity model,|so we need to apply sorting to entity model manually|basics",pending_transcript
IU-006,image-3f7a5383d16fc315c195fb6065a985ed7033868e,60d2513d98ab.png,60d2513d98ab,R01,154.82749688582408,1833.619539757734,801.0,369.0,1.0,,T-002|T-001|T-030,"so we need to apply sorting to entity model manually|sorting applyed to outter facing model, we cant expose entity model,|}",pending_transcript
IU-007,image-d45492a30c1bacf04d5b2a619d6a4e04e1ec6a08,4751c0160259.png,4751c0160259,R01,148.50015258789062,1294.9269682850663,980.0,363.0,1.0,,T-001|T-002|T-011,"sorting applyed to outter facing model, we cant expose entity model,|so we need to apply sorting to entity model manually|var parts = clause.Split(' ', StringSplitOptions.RemoveEmptyEntries | StringSplitOptions.TrimEntries);",pending_transcript
IU-008,image-cf39babe56508aa57447bac9b649db25dbe0d7d1,f86a985d9b4a.png,f86a985d9b4a,R01,25.0,2259.5936272693307,1152.0,317.0,1.0,,T-002|T-001|T-030,"so we need to apply sorting to entity model manually|sorting applyed to outter facing model, we cant expose entity model,|}",pending_transcript
IU-009,image-4a0d8a613c01ed0a4ec9aa730735baba69d247fa,96fa6726cf6b.png,96fa6726cf6b,R01,10.0,2638.315773594959,1157.0,329.0,1.0,,T-002|T-001|T-030,"so we need to apply sorting to entity model manually|sorting applyed to outter facing model, we cant expose entity model,|}",pending_transcript
IU-010,image-45c4cecabd4c58921205746f9b73022e9232534d,647d5511db25.png,647d5511db25,R02,2762.4250872787998,374.44521952751074,722.0,114.0,1.0,,T-031|T-032|T-033,public class AuthorsResourceParameters|{|public string? MainCategory { get; set; },pending_transcript
IU-011,image-af15cf122b4b98bbc7f9c7e465419dcd2ce0bd85,e8da6603f86f.png,e8da6603f86f,R02,2835.406613971508,585.130495135144,499.0,303.0,1.0,,T-036|T-035|T-037,"public string? OrderBy { get; set; } = ""name"";|// Sorting|// Paging (often present with sorting)",pending_transcript
IU-012,image-a8ecd1dcdff41ff1b43e233136ff9ffe7c1e5ef5,331aaa9347d4.png,331aaa9347d4,R02,2792.239947304841,948.5563984554492,612.0,228.0,1.0,,T-041|T-040|T-039,these are in foreach loop too|}|public int PageSize { get; set; } = 10;,pending_transcript
IU-013,image-daebdf491dbe39e1b0cee8a160dbe366d4c8524a,c554174783bb.png,c554174783bb,R02,2625.906613971508,1230.5194518408707,998.0,470.0,1.0,,T-041|T-040|T-039,these are in foreach loop too|}|public int PageSize { get; set; } = 10;,pending_transcript
IU-014,image-2a94921226883e3e69efea45a9b27c5e0c4055d1,1394cf20f2b0.png,1394cf20f2b0,R02,2643.4806428343545,1790.1490362592622,951.0,210.0,1.0,,T-041|T-040|T-039,these are in foreach loop too|}|public int PageSize { get; set; } = 10;,pending_transcript
IU-015,image-a7517497a74ed084202dc1b4c3afef448bc2d53d,3289ed83a7be.png,3289ed83a7be,R03,4578.927179736579,506.11381095938304,616.0,87.0,1.0,,T-042|T-142|T-141,using dynamic sorting helper (System.Linq.Dynamic.Core)|dynamic linq|mappingservice,pending_transcript
IU-016,image-a07bd873849689b77865cfdf32574f055bb82af2,af190eac04fb.png,af190eac04fb,R03,4479.4689589615855,773.7733106190735,949.0,375.0,1.0,,T-042|T-142|T-141,using dynamic sorting helper (System.Linq.Dynamic.Core)|dynamic linq|mappingservice,pending_transcript
IU-017,image-774f6bc325bff4fc6f94aebcdd2132f31226a53e,5a199751fa4e.png,5a199751fa4e,R03,4552.665954023815,1798.4919987912454,810.0,399.0,1.0,,T-042|T-142|T-041,using dynamic sorting helper (System.Linq.Dynamic.Core)|dynamic linq|these are in foreach loop too,pending_transcript
IU-018,image-4731988429f67ee6f7b2a5913427410723c358fa,f2dbda5cf670.png,f2dbda5cf670,R03,4526.499328047253,1313.9918767209329,657.0,448.0,1.0,,T-042|T-142|T-041,using dynamic sorting helper (System.Linq.Dynamic.Core)|dynamic linq|these are in foreach loop too,pending_transcript
IU-019,image-e096e76cd93c9ff2ce68a4b422f6bb305f3974aa,146c4d7504c7.png,146c4d7504c7,R03,4512.706215032337,2257.9920736980293,870.0,420.0,1.0,,T-042|T-041|T-142,using dynamic sorting helper (System.Linq.Dynamic.Core)|these are in foreach loop too|dynamic linq,pending_transcript
IU-020,image-34ced442e9bcb6d23999148cef52d6b0b52efa52,b6e4d5df63c0.png,b6e4d5df63c0,R03,4488.978942305063,2686.9012200936286,852.0,464.0,1.0,,T-041|T-042|T-136,these are in foreach loop too|using dynamic sorting helper (System.Linq.Dynamic.Core)|TRANSLATE DTOS,pending_transcript
IU-021,image-9c28a5c8fe2476f722c30c0c5db06327e7503366,92bab4e610d9.png,92bab4e610d9,R04,7238.117220271878,943.6608376449967,932.0,297.0,1.0,,T-073|T-077|T-076,propertymappingservice|public bool Revert { get; }|public IEnumerable<string> DestinationProperties { get; },pending_transcript
IU-022,image-b1e03ff90c0cc0d8fb2ff50b2fb0bb795a15f9b2,8ad8c82278dc.png,8ad8c82278dc,R04,7269.986029338087,1454.3833133834432,848.0,228.0,1.0,,T-073|T-084|T-088,"propertymappingservice|}|public PropertyMapping(Dictionary<string, PropertyMappingValue> mappingDictionary)",pending_transcript
IU-023,image-3e02698ac4bad19839d84fe2b9a578b4db2411af,f8da29644c4e.png,f8da29644c4e,R04,7348.547882367786,1327.296928212063,381.0,98.0,1.0,,T-073|T-084|T-083,propertymappingservice|}|},pending_transcript
IU-024,image-20b842e1d7491eb9970590921a569b718d0613fb,6b805d7fac84.png,6b805d7fac84,R04,7475.601406799403,3167.760236090975,968.0,201.0,1.0,,T-043|T-044|T-134,controller behavior|repository|},pending_transcript
IU-025,image-5be18dab03046251a077b4e222151c829e8aed83,456f2603c4d2.png,456f2603c4d2,R04,7462.010497708495,3522.7298960696735,857.0,325.0,1.0,,T-044|T-045|T-043,repository|iqueryable extension|controller behavior,pending_transcript
IU-026,image-86a42437ae5f94ea8ee34588992ae4b4c712779c,76f2a619fda5.png,76f2a619fda5,R04,7397.505084836669,4393.164721620104,850.0,482.0,1.0,,T-135|T-061|T-062,"NO REVERSE()|if (!mappingDictionary.TryGetValue(propertyName, out var mappingValue))|throw new ArgumentException($""No mapping exists for '{propertyName}'."");",pending_transcript
IU-027,image-73f244cf2dbd726d3ba45a9ee0a255e1694adc2b,85eed4c25c7d.png,85eed4c25c7d,R04,7283.37402309912,4033.5178488395704,1127.0,341.0,1.0,,T-045|T-135|T-048,"iqueryable extension|NO REVERSE()|string? orderBy,",pending_transcript
IU-028,image-e950cd40b9dae3cf2575ce24b08793a9252784b4,bb781978bcc4.png,bb781978bcc4,R04,7333.507510706471,2062.4465841495494,1041.0,393.0,1.0,,T-073|T-098|T-097,"propertymappingservice|}|bool ValidMappingExistsFor<TSource, TDestination>(string? fields);",pending_transcript
IU-029,image-2fcc914e01ec05f8dafde9ffe19c5a93684033e3,ec94f970eaef.png,ec94f970eaef,R04,7307.703130113997,2496.5781759464535,928.0,482.0,1.0,,T-043|T-044|T-119,controller behavior|repository|},pending_transcript
IU-030,image-77860a470497d6e4e84f4b8ae4f21b0918b27e05,ce9dad3fbacc.png,ce9dad3fbacc,R04,7302.386150621244,1865.2075125251295,919.0,113.0,1.0,,T-073|T-095|T-096,"propertymappingservice|{|Dictionary<string, PropertyMappingValue> GetPropertyMapping<TSource, TDestination>();",pending_transcript
IU-031,image-b3cbaf540fb370aebaa18af94b4bf56832e1dc87,76e4eb8a1254.png,76e4eb8a1254,R04,6380.096457365781,785.4507284098308,728.0,437.0,1.0,,T-141|T-073|T-074,mappingservice|propertymappingservice|public class PropertyMappingValue,pending_transcript
IU-032,image-a639ac08404a47672d26b1c0985c5df066c4e48d,56439429de2b.png,56439429de2b,R04,6300.840395973107,1257.753727277248,881.0,266.0,1.0,,T-073|T-141|T-084,propertymappingservice|mappingservice|},pending_transcript
IU-033,image-9e457ec52b6f00984ff4b8928f86538c654c9d12,7fe3bceebe52.png,7fe3bceebe52,R04,6200.666532026416,423.2782715142257,980.0,333.0,1.0,,T-141|T-073|T-074,mappingservice|propertymappingservice|public class PropertyMappingValue,pending_transcript
IU-034,image-d98e1e046ad9b1a4cc93372a5383cd28c92effb6,4242ed0489ab.png,4242ed0489ab,R04,6298.6742755643745,1559.8741238230887,895.0,366.0,1.0,,T-073|T-141|T-043,propertymappingservice|mappingservice|controller behavior,pending_transcript
IU-035,image-d5d135857f89b85f8b615217a21e37479c2d3574,e7a07ebe84b4.png,e7a07ebe84b4,R04,6267.948105966921,1958.5234963511994,906.0,286.0,1.0,,T-073|T-043|T-044,propertymappingservice|controller behavior|repository,pending_transcript
IU-036,image-2179ff6a938f9bfb65d4a6ac02600bcb3afea8f1,8065c5b01bf9.png,8065c5b01bf9,R04,6232.722036783323,2272.8343639496543,926.0,401.0,1.0,,T-073|T-043|T-044,propertymappingservice|controller behavior|repository,pending_transcript
IU-037,image-94e0889329b24e43962f98a35c5e9bbcd18a6c97,b4724e96e58f.png,b4724e96e58f,R04,6326.799116794201,2718.0735084557837,589.0,482.0,1.0,,T-043|T-044|T-045,controller behavior|repository|iqueryable extension,pending_transcript
IU-038,image-a1987082390442f92af5b5d7142bb6ac62b888e8,0a25d90402fe.png,0a25d90402fe,R04,6251.148390498509,3416.898993171826,719.0,341.0,1.0,,T-136|T-044|T-137,TRANSLATE DTOS|repository|DESCENDING,pending_transcript
IU-039,image-5069688f7df9826a3fde650927a0f6d36673085d,6ff7ed15cdbc.png,6ff7ed15cdbc,R04,6297.441066224835,3837.671227407309,695.0,482.0,1.0,,T-136|T-137|T-138,TRANSLATE DTOS|DESCENDING|INTO ENTITYS,pending_transcript
IU-040,image-56a9d59438cde577dd61cfd8f23620f78975004a,269a6ec2068a.png,269a6ec2068a,R04,6242.55303614583,4367.208458852621,740.0,288.0,1.0,,T-136|T-137|T-138,TRANSLATE DTOS|DESCENDING|INTO ENTITYS,pending_transcript
IU-041,image-f2a11d8151e019aa8192d37d531c6d4e3de945b3,53fd26c98e80.png,53fd26c98e80,R04,6235.791247641366,4698.779854726645,814.0,442.0,1.0,,T-140|T-139|T-138,(BY REVERT FLAG)|DESC|INTO ENTITYS,pending_transcript
IU-042,image-dddab2667cb3bda71efd4e2c5379c0f9cddd5807,06cfd3292d30.png,06cfd3292d30,R04,6206.386384011344,5153.613213491293,859.0,239.0,1.0,,T-140|T-139|T-138,(BY REVERT FLAG)|DESC|INTO ENTITYS,pending_transcript
IU-043,image-1a214c7350a7cceee89799de57f1f592624deb0d,7367e55ad168.png,7367e55ad168,R04,7446.005143095445,5105.271839762749,668.0,482.0,1.0,,T-072|T-071|T-070,"}|return source.OrderBy(finalOrder);|var finalOrder = orderByString.ToString().TrimEnd(',');",pending_transcript
