text_id,text,x,y,region_id,status
T-001,"safary, bottom end isnt visible, but we set 100vh, so",561.1469147770056,1825.9982969436214,R01,pending_transcript
T-002,vh computed incorrectly,561.1469147770056,1850.9982969436214,R01,pending_transcript
T-003,we can access variable set via js inline style,465.38461538461524,5067.72475767592,R02,pending_transcript
T-004,can have fallbacks on vars,10.0,5480.032449983612,R02,pending_transcript
T-005,"we solved problem this problem before dynamic units with js, computing actual vh and",475.4830166115921,5657.474098107831,R02,pending_transcript
T-006,added into variable via inline style,475.4830166115921,5682.474098107831,R02,pending_transcript
T-007,svh,585.7394487780584,5857.063843262579,R03,pending_transcript
T-008,"min height, that is possible in this page",560.4060747546209,5964.3971562508605,R03,pending_transcript
T-009,because of some appearing shit like this panel,560.4060747546209,5989.3971562508605,R03,pending_transcript
T-010,lvh,678.0057495808223,7291.240773667681,R03,pending_transcript
T-011,"dvh will chalnge your els size after screen resize,",509.7917823550147,8532.379688514646,R04,pending_transcript
T-012,"but you can put some transition, so it look normal",509.7917823550147,8557.379688514646,R04,pending_transcript
