source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,d0c86db280,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,359e73b57f,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,9eeba9e782,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,00ef2dce40,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,328101fe64,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,e9734aa47c,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,594356ce9a,AEM01,AEM01B,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,41e1101f92,AEM02,AEM02A,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-009,IU-009,94a3be02eb,AEM02,AEM02A,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-010,IU-010,9f4be0682e,AEM02,AEM02A,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-011,IU-011,4782a5027c,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-012,IU-012,68da5af80d,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-013,IU-013,1958f75494,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-014,IU-014,3b923bdd2b,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-015,IU-015,6f047fa761,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-016,IU-016,0e39a18bcf,AEM02,AEM02B,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-017,IU-017,59eda18afc,AEM01,AEM01C,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,7f2d2bfae3,AEM01,AEM01C,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,6563e25856,AEM01,AEM01C,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,47c47bc723,AEM01,AEM01C,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,583fdaf3ba,AEM01,AEM01A,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-022,IU-022,65c618d162,AEM01,AEM01A,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,e7412fd3ac,AEM01,AEM01A,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,ab056deb4b,AEM01,AEM01A,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-025,IU-025,9e9acbd845,AEM01,AEM01A,processed-in-aem01-v001,yes-for-aem01-v001-boundary,ok-processed,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-026,IU-026,e9e89f5a7b,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-027,IU-027,e5c3a0ddfd,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-028,IU-028,6c889635cf,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-029,IU-029,c815d9e470,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-030,IU-030,44490a213d,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-031,IU-031,e9cc148aaa,AEM02,AEM02C,processed-in-aem02-v001,yes-for-aem02-v001-boundary,ok-processed,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-032,IU-032,59cf456c4c,AEM03,AEM03A,processed-in-aem03-v001,yes-for-aem03-v001-boundary,ok-processed,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-033,IU-033,f1b376a0b4,AEM03,AEM03A,processed-in-aem03-v001,yes-for-aem03-v001-boundary,ok-processed,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-034,IU-034,d861e75fdb,AEM03,AEM03A,processed-in-aem03-v001,yes-for-aem03-v001-boundary,ok-processed,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-035,IU-035,b557687361,AEM03,AEM03B,processed-in-aem03-v001,yes-for-aem03-v001-boundary,ok-processed,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-036,IU-036,f607ed2bf0,AEM03,AEM03B,processed-in-aem03-v001,yes-for-aem03-v001-boundary,ok-processed,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
