idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-927ac801b84dd114fa42cbcaf5c9a1ad96232be4,34a237dbf7,894.9909879926622,188.7041065514568,656.0,482.0,0.0,327.91368140243907,241.15625
2,image-2d4366bc70f0c64cd8bf01538a8d794aac28b73c,b62445d810,809.4046693951013,1202.693669539738,1131.0,481.0,0.0,565.5,240.5
3,image-20b2835bc01d8b53e45cda90c1f7bf12a4bbaf7a,2001d25c1c,833.2380434185388,1734.5271045983318,1094.0,388.0,0.0,547.0,194.0
4,image-2c939fd4f4cf16b43bbc6785d2bb2d0ea34ba07e,c884a7aef6,801.2380434185388,3018.5270435631755,1102.0,388.0,0.0,551.0,194.0
5,image-bd70536b3b941eac530fa99219b98f50225f8b46,6f0ca8790e,852.4075983687399,4884.704472762394,690.0,482.0,0.0,345.163697002924,241.15625
6,image-cf5ee354bcb71ebc88a8a24545f54182dc825efa,987ffc172e,897.1044523532469,3511.3707935631755,550.0,482.0,0.0,275.1335910652921,241.15625
7,image-96464d2ef71da14b6b90186856bdd372dde017e5,d96dfd76c8,821.2141258885626,3936.704167586613,753.0,482.0,0.0,376.3571694831014,241.15625
8,image-adc4d873aef040c76af7e12f0b43153597f2a678,982f2e2516,838.0714174419763,4494.0270435631755,735.0,333.0,0.0,367.5,166.5
9,image-de5e76a0ace32b93a0a3b618e2832a455d9db7e7,15a2f13f58,842.9047914654138,5432.860417586613,656.0,482.0,0.0,328.0,241.0
10,image-b78555cbd498d74eb1d78f3dbe2fe99f601185da,bb5db927b1,759.9046693951013,5927.193852645207,918.0,456.0,0.0,459.0,228.0
11,image-43051f3c3a3972c883df114c09f8095f55c91c91,3da1a70c51,794.2380434185388,6537.6937916100505,620.0,355.0,0.0,310.0,177.5
12,image-1404b105082d0e53b5814d16d9f26618f2816272,7d96868e12,790.2380434185388,6915.5270435631755,644.0,426.0,0.0,322.0,213.0
13,image-3ef5bf7253b984eb48554924a5de9a0a31e97de5,f38a249ba8,877.0714174419763,7382.360417586613,497.0,295.0,0.0,248.5,147.5
14,image-aa217fecb7ffb83a1f432457df1eda1769e949f9,826f34f2e0,834.7381654888513,7745.5270435631755,427.0,86.0,0.0,213.5,43.0
15,image-a89972cfcb2a1a24ae77ae64a61c2f271c2a2f10,b7efa0508b,654.0716615826013,6394.02713511591,1015.0,117.0,0.0,507.49999999999994,58.5
16,image-0c2b1221890251160b60fe476228408da1a69c23,52075f94e1,645.5712953716638,7915.6937916100505,1000.0,327.0,0.0,500.0,163.5
17,image-34093cd5e2f2f7435c7a4bda7deebbb64f2f7ced,79e54d4b38,672.0363896870422,8285.263937066466,959.0,364.0,0.0,479.5,182.0
18,image-60d5182a51922604d7924d5d7c00e767101e37ac,e7ba2cd693,678.0714440985785,8732.704167586613,815.0,482.0,0.0,407.4997292027729,241.15625
19,image-32f7a9a32a50bfa59ca9aa015d947e35df498dbb,3c4502a042,730.1913475606857,9248.704167586613,633.0,482.0,0.0,316.7133218344156,241.15625
20,image-003a7bfb69d1872be454c10b92b0c533760adaf2,5492f68b2d,652.4047914654138,9769.19379161005,765.0,476.0,0.0,382.5,238.0
21,image-ae46d2f9195685dec5f34db1d6f8176fc4e272f9,4dd15fe209,688.6239462248709,10322.290201457912,708.0,431.0,0.0,354.0,215.5
22,image-7e50f8ec6d3f3b9d57385358cf9363ed11ccc5f4,11ee25c02e,681.6205232408201,10823.019915299401,682.0,482.0,0.0,340.793018738574,241.15625
23,image-8898d80df0e2ba50bcb892bc116d8b2a1fd466cd,b3e53dfc7a,619.0274335809568,11351.579675142122,818.0,476.0,0.0,409.0,238.0
24,image-9d1d46088ed18f005c4911de7cb17a4a2250ac09,cea5b472db,681.0714367162359,11871.35156427658,593.0,422.0,0.0,296.5,211.0
25,image-58e4beb7922707ad61c992802775176a7f2db78f,2c270c4903,654.5187858630293,12352.465700018767,628.0,415.0,0.0,314.0,207.5
26,image-63b6f8f51aff4ffdf1879dc971dbce1aef87ea12,03dbf1f18b,652.002914072727,12805.067887180006,581.0,482.0,0.0,290.4168254573171,241.15625
27,image-a2b105e6cf214285050eac9611857de5da254fed,e9031f3b70,681.3969862693348,13292.70415094066,529.0,482.0,0.0,264.2956802848576,241.15625
28,image-c7cdf4c4a62c4887c49a7864c4a27755b02a3fc8,e7fe429cc1,573.2397962945893,13797.007565593032,740.0,401.0,0.0,370.1893004115226,200.66666666666674
29,image-5437315d72f23cca4918e888f039edf05abdff3f,402e13745e,570.8008371886904,14214.78535693418,673.0,524.0,0.0,336.51739788199654,261.99999999999955
30,image-44a9403a5b6673fe8c1afec0c4c4df25425c0a27,7f49bb0f55,590.095844752987,14816.56318896543,595.0,401.0,0.0,297.3333333333333,200.66666666666652
31,image-8789e3404772ec59a21cdf83a09eb70ac5ea37b4,40686cfa6d,553.8180941019455,15251.490342560963,646.0,278.0,0.0,322.94441731770826,138.86971584546473
32,image-d2f717bb719fa37826a594316f39224fc9f1f2d1,41da975e84,550.055332205638,15591.67427294981,646.0,401.0,0.0,323.1515151515151,200.66666666666652
33,image-5c8cb742d49557583d26331115e782b5727f4421,90e90b84f7,521.227185011036,16054.785356934188,729.0,401.0,0.0,364.4242424242424,200.66666666666652
34,image-9fe5582b9964b8e7990bf6cf30f4e675296c073b,917a5bfe1b,454.09576337277804,16504.28535693419,904.0,249.0,0.0,452.0,124.5
35,image-986e0c21806bb5342e2c8c94eff07fae39c25a98,f6c4054a9b,456.02050469691176,16845.742453902036,790.0,285.0,0.0,395.0,142.5
36,image-a9c2e0d5c914b96825141a9d95081eea24137109,d569315d96,510.480979195519,18447.14154207775,703.0,482.0,0.0,351.51588983050846,241.15625
37,image-f916568755d9a3fcb28d0db537553d664752eac2,383343f1d4,465.16204234252245,18993.40381412967,772.0,482.0,0.0,386.0299673507463,241.15625
38,image-26789465683d367d1abd0d0bbdb88187a7d73b94,2d943e4dce,478.75754816740164,19521.377647776397,776.0,482.0,0.0,388.1921650179856,241.15625
39,image-3f84a99b18e15e25bceb7043f4436d77ab1865a9,1cbbd1d5ee,436.6430330173016,20062.12796810965,884.0,216.0,0.0,442.0,108.0
40,image-bd4a7f2f36fc375ccb16acc1a3b8f4af882a024e,8d767ce567,396.1651858564169,17172.40978942893,838.0,420.0,0.0,419.0,210.0
41,image-2ac2fe4806aae24903b855296a6f1683e5236b16,4cb7ab519d,509.27981717798,17637.382232204996,655.0,482.0,0.0,327.6014903846154,241.15625
