source_id,image_use_id,region,symbol_id,file_sha256,file_id,image_file,x,y,width,height,theme
S-001,IU-001,R01,image-2c57469382c4842075d447b8e0177c034e675a9f,aa8b150f3a6968fd5d07d90bfeec6d159cfed4aa7d5fb17a01477b30e3d41932,aa8b150f3a,source/images/aa8b150f3a.png,3419.483,182.796,1093.0,177.0,alternate key concept / readonly key
S-002,IU-002,R01,image-3ba2ed8745c4829f9674c08cfb67fa090d505e1a,b28b2967b0455bd11eed958e2aa0e6ae01bfde52223ff539cff0f2055fbf6c36,b28b2967b0,source/images/b28b2967b0.png,4798.835,198.574,994.0,445.0,alternate key concept / readonly key
S-003,IU-003,R01,image-5ad8561a1595e5dfe01949a3c7b8863d47df13c0,a62399fe79bc1ef63239e643c0ba21416f674a6c25bb2be8a8dd814048c2d372,a62399fe79,source/images/a62399fe79.png,3428.335,392.407,1043.0,220.0,alternate key concept / readonly key
S-004,IU-004,R01,image-5db8d8ee3682bfa290e12263e021053a85c291fa,5c9b02a38e779b12a252a5e04b5accad68260b15ef3cf7001abadb29a86fcdba,5c9b02a38e,source/images/5c9b02a38e.png,3407.669,638.907,1103.0,471.0,alternate key concept / readonly key
S-005,IU-005,R01,image-124b5bc3360c340e34319d91df499651e273e98b,7afb669a651341890e286990592bd2c4748fb00d43708196f9694af802cadfb4,7afb669a65,source/images/7afb669a65.png,4757.669,663.574,1087.0,435.0,alternate key concept / readonly key
S-006,IU-006,R01,image-79aa6bb133af99bf8e546674bc433fa95ebc24a6,ad4804dd8fbe575ff3295aaf769eed7e22bab5f2b85b0876cab597d36001db1f,ad4804dd8f,source/images/ad4804dd8f.png,1529.457,965.479,1019.0,482.0,alternate key concept / readonly key
S-007,IU-007,R01,image-8d6f5a90463cbc7004b4091051ef043d6827ee5c,2752b7bc7c6278b3f00c7a585cf3be2c4d42d720bdf485675d42a82369f195f3,2752b7bc7c,source/images/2752b7bc7c.png,3359.011,1215.288,1111.0,303.0,alternate key concept / readonly key
S-008,IU-008,R01,image-72328a33ba301fa7f9346dc9bef8716418b483fe,f777190ccdd6e6f9af43f50ba74aac0f9faf022120b83ae0fe7805c42ae00baa,f777190ccd,source/images/f777190ccd.png,1501.299,1456.301,1121.0,394.0,alternate key concept / readonly key
S-009,IU-009,R02,image-441caff87900d7d2c406523caeddb5255d105b27,8f6d6125ad9985e4e3f9125d7cfb49d3a95b5ca269e0d77551c8e71568e4c56b,8f6d6125ad,source/images/8f6d6125ad.png,3355.011,1533.288,1135.0,387.0,relationship target / foreign key to non-PK
S-010,IU-010,R02,image-3c9656657c95c24c9a3de9bcb99225cde4c514d9,381d0809486d734cdaad59f0cdea0a9b6d260b560db656b213d68c064fccc7e0,381d080948,source/images/381d080948.png,5116.21,1690.633,1163.0,244.0,relationship target / foreign key to non-PK
