image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,CSS animation versus transition and keyframe fundamentals,processed,ed4bdc4c48c3,image-42e70cec2a70addebd8f710d8cdc5b7b71a253a4,487.6499506731716,10.0,706.0,482.0,714,488,source/images/ed4bdc4c48c3.png
S-002,R01,CSS animation versus transition and keyframe fundamentals,processed,22fb1c59240a,image-28c067710a1217f0cc943ae1e0f8891b4590d2d5,455.70852109844736,541.8518066406214,747.0,708.0,787,746,source/images/22fb1c59240a.png
S-003,R01,CSS animation versus transition and keyframe fundamentals,processed,33252289accd,image-e900ca01cc875273afe1e1e36043434e61efe041,341.45476945734845,1342.9852669574284,958.0,482.0,1081,544,source/images/33252289accd.png
S-004,R02,"animation shorthand, direction, fill mode and play state",processed,da7618715488,image-66b95739ac552cf9be1f20dc320cd565d439eced,333.5077012627644,1961.7071242017482,1043.0,398.0,1043,398,source/images/da7618715488.png
S-005,R02,"animation shorthand, direction, fill mode and play state",processed,52d02c46c260,image-4182590f54689656f76c5903b83b1394482b9b65,158.95316805635684,2542.5716041804517,1347.0,618.0,1078,495,source/images/52d02c46c260.png
S-006,R02,"animation shorthand, direction, fill mode and play state",processed,de5cc9749d0c,image-62fc7d5455992664dc00fb24a2f90a3b7d0ec464,160.49126941499662,3327.497894059834,1283.0,480.0,1003,375,source/images/de5cc9749d0c.png
S-007,R02,"animation shorthand, direction, fill mode and play state",processed,da0388707078,image-344e5afdfab5fc0e05f1601ee0265f1e1652450e,223.45268038574795,3864.053044560831,1044.0,557.0,1051,560,source/images/da0388707078.png
S-008,R03,"from/to, percentage keyframes, multiple animations and animation events",processed,cfb5ba342d36,image-758d3cd516c7d41de17435aa40f664df8b65099f,214.82857074159438,4471.4493188797605,988.0,314.0,988,314,source/images/cfb5ba342d36.png
S-009,R03,"from/to, percentage keyframes, multiple animations and animation events",processed,78a995b9a478,image-9887f0cab3804e0d0da8417e74e8a369c35c4598,41.48002115885356,4892.070537474392,1125.0,331.0,1125,331,source/images/78a995b9a478.png
S-010,R03,"from/to, percentage keyframes, multiple animations and animation events",processed,f3338b4bb153,image-dfdc07b1add9b393f108c0e9d67a9a110bd350b0,69.81360880533794,5278.570613768337,1125.0,358.0,1125,358,source/images/f3338b4bb153.png
S-011,R03,"from/to, percentage keyframes, multiple animations and animation events",processed,1804180a7b32,image-e8c4e1dc47d57beb0523f89a6cfabd34bc875099,75.03550211588481,5748.007072537639,1123.0,335.0,1123,335,source/images/1804180a7b32.png
S-012,R04,animation performance and prefers-reduced-motion,processed,565d35d44b64,image-9d69bc58aa7e81c26d7ee36f258e7cc0c208d774,81.25796847873198,6158.951516982084,1011.0,354.0,1011,354,source/images/565d35d44b64.png
S-013,R04,animation performance and prefers-reduced-motion,processed,a35b78ad0158,image-5627a5a711540031076133fce7e76ff15c2e8817,13.538367638221189,6578.129321152206,1012.0,346.0,1012,346,source/images/a35b78ad0158.png
S-014,R04,animation performance and prefers-reduced-motion,processed,13e44f4d05ac,image-fdb964557398c3cf44e93d665ca7a837d32797b0,10.0,6985.934743208178,1030.0,373.0,1030,373,source/images/13e44f4d05ac.png
