image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,26b7dbdc8ec2,image-e9ed5eccc8d25f7f1ae42db3f3b4ef358e781565,2689.4547688990924,272.4815455704879,1015.0,447.0,1015,447,source/images/26b7dbdc8ec2.png
S-002,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,98fd5133576d,image-5cdd01508c03e8b5f7fbfe1c9e257f87746eff65,5938.253535878939,278.5713218528672,831.0,373.0,831,373,source/images/98fd5133576d.png
S-003,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,eeddac8de553,image-54a56717a4da5340f52a3f8767f3ec344a2cac22,4557.084471407366,444.72676433939705,856.0,198.0,856,198,source/images/eeddac8de553.png
S-004,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,647c094e37c0,image-28456e60bcb1f8e8bfeacfd12129bb347a5f3cd2,7530.772441075588,505.76495817203613,833.0,351.0,833,351,source/images/647c094e37c0.png
S-005,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,316318548a3a,image-2b838fe4fda7eeab97c2050e9ab04a077bf49a56,5936.913897256691,653.0059809437716,863.0,482.0,864,483,source/images/316318548a3a.png
S-006,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,640e628f5e80,image-b0ea0869b093463b5e81e4d76201dae689660ce2,4600.936278047991,661.8379093589283,852.0,346.0,852,346,source/images/640e628f5e80.png
S-007,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,e7bd34f909a6,image-547c922399ec0775db5f44b41b72cdb17883c91a,8596.767900429873,756.9157302549756,845.0,480.0,845,480,source/images/e7bd34f909a6.png
S-008,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,768eb9788d8a,image-21b94d916f17e3d1272891112bfeada460c9dd39,2741.198201343129,777.4919215470504,869.0,482.0,1016,564,source/images/768eb9788d8a.png
S-009,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,e460793258e0,image-8a62fd218971d2988a024fd4857d92392d656ecf,7503.772563145901,886.5984542657861,943.0,456.0,943,456,source/images/e460793258e0.png
S-010,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,be42ed362822,image-9c3e8a35c62d6f92537440ba202eadedf6421c3b,4630.08434255537,992.134292686831,790.0,330.0,790,330,source/images/be42ed362822.png
S-011,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,4938bece7ef3,image-4b98f70fdae3ee6f19899168e2e43c5ebb23f438,5937.132286766722,1153.5865473500362,889.0,446.0,889,446,source/images/4938bece7ef3.png
S-012,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,76160fc62fed,image-87db58a210fdbeb23290890e71150a8b12ce7e1e,8635.434404336123,1259.749043243257,829.0,269.0,829,269,source/images/76160fc62fed.png
S-013,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,2471ba74641a,image-82edfe9f0c470c17177b5adf4920abd50f8368ce,2700.832502970811,1289.492043617363,998.0,482.0,999,483,source/images/2471ba74641a.png
S-014,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,7afe9b6136cc,image-ad42bf54112fe5f4b66528da4b5c1d771d68443a,4640.751009222036,1326.3565064319519,862.0,326.0,862,326,source/images/7afe9b6136cc.png
S-015,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,9628ae879457,image-6eec28e84f046969ea8d8d642e74514f54ae67a5,4652.708634353794,1668.020517100511,922.0,395.0,922,395,source/images/9628ae879457.png
S-016,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,ba7b3581eaae,image-8bec6d8164ea37d446ce571314ee939c85a7c1fe,2744.3510506994817,1828.158547523613,921.0,482.0,976,511,source/images/ba7b3581eaae.png
S-017,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,5895073f717b,image-e6c2d14c1dd2a16830e59c378148ed23c439dfd8,4670.3276819728435,2070.0125927027293,822.0,398.0,822,398,source/images/5895073f717b.png
S-018,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,43b2714033d7,image-9218ab026995e76512c2e09710383a8a410e456a,4688.399110544271,2509.3934869549594,843.0,304.0,843,304,source/images/43b2714033d7.png
S-019,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,937a175d10d8,image-d07d66390cd3dd1734a56165c3f00f2a94047a27,4745.42286193936,2841.9410769382193,668.0,237.0,668,237,source/images/937a175d10d8.png
S-020,R01,"CSRF model, token pair, forms and AJAX",recovered_missing,processed,36085f542ff7,image-aec47dc376f382dcba942171d440ac8f03683096,4753.184824829985,3084.2983069884394,782.0,198.0,782,198,source/images/36085f542ff7.png
S-021,R02,"login/logout lifecycle, refetch, CORS and cross-tab mismatch",recovered_missing,processed,ab4b7924ed07,image-f5ebc3b45aaf82e14a50dd103f34ce1f5888eed9,2400.0852559219256,4365.39416265571,886.0,374.0,886,374,source/images/ab4b7924ed07.png
S-022,R02,"login/logout lifecycle, refetch, CORS and cross-tab mismatch",recovered_missing,processed,47d55aa07331,image-0231bafb071e1982a758c3cab245ee63658906fc,1125.319407255074,4396.379560950521,978.0,310.0,978,310,source/images/47d55aa07331.png
S-023,R02,"login/logout lifecycle, refetch, CORS and cross-tab mismatch",recovered_missing,processed,a831d7afe569,image-ecef09ab541c864441cff08de75b0eaf4d5190ce,3830.2519225885917,4400.7274400401475,959.0,392.0,959,392,source/images/a831d7afe569.png
