use_id,region,symbol_id,x,y,width,height,sha256
I001,R01,image-a11b29e6653265df21640fdf6d98b97b1c79123f,1506.7448665715533,244.38177280645868,659.0,482.0,dee51f787241f07f241b4b260987297a8b43aa76c7d3ea2b36d6bd898ca10521
I002,R01,image-6299a4965f080d3ad7a7bca7bc35149f0c986eb8,1532.97390721913,738.8452688288507,792.0,222.0,8c34f7dfeca245c3625c8b456fb260f13b97a344a8958efdd6ccb586a9801c40
I003,R01,image-f8ae7a736db9245eb84ec666af65da26ad283b77,1517.2164054435611,977.1938461548107,872.0,235.0,c63a44a5a0aaea179a950338f8cae60d8b9f82511252885ef92133eb765c963d
I004,R01,image-b0a7cc15796df3ef0fec383d2e4d3bc3199e94f7,1565.6405775848966,1531.2847385998157,940.0,457.0,6e4eb845b2cbae3253540de8c4138e4756090f939f8fa3c750918d8025a1ac06
I005,R01,image-1a0e262eaaff3f826561ac790a44b693199717a4,1583.5106106974795,1994.6284885998157,728.0,482.0,a1b4bf89b3daa20ec1b8c8184df3037da48abfe0b0a6731b802876f4dcd712bf
I006,R01,image-30e38a7fbbc082472f0886c7d193a318f5702218,1572.4739516083341,2500.618051588097,881.0,337.0,9c9ec5b94a8f24010d4ec3dbc0da9950da1db2e5557ac108b035cda8ff01271a
I007,R01,image-91e594c22090766118ec70f659d16ead7c25aefc,1590.8072035614591,3026.9514256115344,991.0,455.0,3724e3c53b7755a2be6a5dec4b93bc1d7c1ba0d4fdf3ef0d825a5cd050d03119
I008,R01,image-51c8691f4edbd6fd7c84b8516ced43a755c7fb4d,1580.3072035614591,3489.7847385998157,972.0,284.0,7ee87ef68a8479b89525f7c1a6f94fa0fff1bf12308900050c52b553a7869e25
I009,R02,image-56b903b00c61b7292a9bc9174e081ce5b9da1aab,1630.431417397937,3973.2951756115344,704.0,482.0,54e159018d9396b2a4ee47ee31327ba1690f916bd6ff31cdc8b4ce80834a7777
I010,R02,image-115b2b0d1667188739899e602ad22ef4b2d6be89,1626.5184416378497,4469.295175611534,930.0,482.0,720d4e130c7d7515a56552b33d88facb9e998c4285a01de94e3d2ac03ceea783
I011,R02,image-4977a3dfd5dde1dc79510f847e500933f9faf153,1657.1405775848966,5106.118051588097,941.0,350.0,fe8abc0a2ac73336fa336aec478e392ce517a946fc560830e8724a925db39ad6
I012,R02,image-3fa63e1ed828e635721b1e328810f2dbd50a1710,1667.4739516083341,5462.118051588097,955.0,430.0,1c47cf47f2c925845ac48fc3822b350fea5e48df020fed4cb8aa3b2aaad45bd0
I013,R02,image-c5d3c6e6c4114bc10dac96892725a11231c81f98,1702.1405775848966,5908.118051588097,931.0,442.0,0fd53d6c694c074322280186bd54ab342b394bbceab97f3127d73f8f3a723cdb
I014,R02,image-3b956fd956121f462f10d58d83674d50c2e31338,1670.9738295380216,6363.951425611534,964.0,245.0,c99fc8e68cf8b6e21452d76cb8dcad3a34777b9e4a6aa51d6a9602c919198411
I015,R02,image-97eccd3bde0d8379f21c64db22d25592966b1cae,1695.9211274830636,6777.295175611534,919.0,482.0,ae6df72a1d0b0b778ad9caa900da992a46f9aea211958c167a218c5de264d33c
I016,R02,image-113619e79bfd450e04dac8771561921f90d3a62b,1686.6318887293696,7258.628427564659,823.0,482.0,17ae86a74f480d91ced918cce7886251aa33a22539d059c11245e447706f4cc1
I017,R03,image-b680deface91af84e36b566499f84dce71f8480e,1757.709688313891,7906.2699035235255,727.0,430.0,883ee279567c1c539fe088dd9006722fda0f87fe4e34b9970561f2525e5b951f
I018,R03,image-66592cbd607cdcb8eb2fa923f5008b9cd2adfc20,1699.7133828951714,8348.388965674761,1009.0,241.0,2dbf6a31d169cd2b105042e0f5405c869b810374fcb353cd6c32a6ed2363316f
I019,R03,image-597e9ae92b03459fde61db0c8ec5362fefb7db7e,1652.3543794718366,8836.225900529504,1443.0,192.0,88a1e2ef0786655dc3689bfde3b780d08d811b6b9572792ca1c99fc97cf94481
I020,R03,image-e356ab08f93162f91d93671a7581cc481b97253d,1715.1889616010062,9099.600803946347,824.0,482.0,15e423be23fbdcfa89bdda8a4e43f91ebdb0cc332a7f0d387418207dcd026e13
I021,R03,image-e1caccc9a8576f1e7ee8d5c6bd361a5af69a2a0b,270.7172958555243,8759.084675745527,651.0,283.0,5d3778c349abad262184dc695eca520d08527851769f3bdf7df8c6bc3896dcba
I022,R03,image-dd4b29867f3f3795fa385e6f23d64230b85ef0cd,215.16032680325543,9051.333216714656,904.0,482.0,f044f0ac37ea346415c9ef7450d43941d8b19fcad56242ae2b7ee3bd3625319f
I023,R03,image-51759afc171ad5b6bc40e1fca1cb9e293ce57978,238.1834811459289,9683.852863385384,960.0,451.0,adb0e44bc74949b1a0e98ee24a6ceed3bf685c5d63a6fd85348650e53843aced
I024,R03,image-4f43b6a739306fb29f7522a0b8829714dd686e82,215.22232771094377,10213.287214449125,1056.0,246.0,119cd1f60424b9a33a940ae2df94ad28a26b8022921bb3999e26d50407b5aaab
I025,R03,image-2ef3f837e8fcc94d209546a2eebaf9500a8dbed5,219.4455393984822,10650.929362102323,1002.0,476.0,c7b036b7baaf5f8a66fa7d611a92aed96ddf3b2a31d01b9d93d6facb680dc9f9
I026,R03,image-3d6b551be7b227a1cf33752e04ce8f52f78bb68f,200.82417931325517,11191.399022081021,935.0,309.0,6e57b36aa3649c7f6785b23fdd4fc284688031a224c539501b6abf8fe9e7d20e
