source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-008,8,082dd3001acc11cd2a06bf046bff4c21e1ccd61b,082dd3001a,3866.236,5651.95,7234.0,420.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-006: Parameter model base | L-004: Action model | L-007: Property model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-009,9,d511c90e1b1d5ac1d66646da812575cd4808ecca,d511c90e1b,3876.011,6166.793,7605.0,596.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-005: Parameter model | L-007: Property model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-010,10,8f81d2ad6ff3dd00af3a4040e5b8a04dc7bbca45,8f81d2ad6f,3941.182,6839.675,8192.0,587.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-007: Property model | L-005: Parameter model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-011,11,010d97e3ca79f9aab5e83abd5890b30f5c45eaff,010d97e3ca,2153.135,2605.025,874.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-002: app model | L-003: Controller model | L-004: Action model | L-019: in outer convention,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-012,12,55a6e19eafe260513d3d7a06c7d954f10f47d80b,55a6e19eaf,2162.04,3203.914,713.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-003: Controller model | L-004: Action model | L-002: app model | L-019: in outer convention,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-013,13,615a08178d75d2acd2d8bf8bc634a9958fdefb32,615a08178d,2158.639,3691.641,888.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-004: Action model | L-003: Controller model | L-002: app model | L-005: Parameter model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-014,14,2580d0d76c6abe7a7340575304e52eb62a81734f,2580d0d76c,2168.156,4363.156,898.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-004: Action model | L-005: Parameter model | L-003: Controller model | L-002: app model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-015,15,910038d952b7c244e2680cc6e8300e15a5c177a5,910038d952,2157.531,4872.161,965.0,434.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-004: Action model | L-003: Controller model | L-006: Parameter model base,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-016,16,b4dec86139e05669a2e9bf77cd3d92940eb35270,b4dec86139,2158.97,5337.767,950.0,264.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-004: Action model | L-006: Parameter model base | L-007: Property model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
S-017,17,59f9adc480bf65a5704725d3c98fd3536454b933,59f9adc480,2134.32,5770.429,827.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-006: Parameter model base | L-007: Property model | L-004: Action model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: convention interfaces for app/controller/action/parameter/Razor Pages.,R02,no-for-r02-v001
