source_id,region,decision,reason
S-001,R01,included-in-r01-v001,R01 main theory road after boundary review
S-002,R01,included-in-r01-v001,R01 main theory road after boundary review
S-003,R01,included-in-r01-v001,R01 main theory road after boundary review
S-004,R01,included-in-r01-v001,R01 main theory road after boundary review
S-005,R01,included-in-r01-v001,R01 main theory road after boundary review
S-006,R01,included-in-r01-v001,R01 main theory road after boundary review
S-007,R01,included-in-r01-v001,R01 main theory road after boundary review
S-008,R01,included-in-r01-v001,R01 main theory road after boundary review
S-009,R01,included-in-r01-v001,R01 main theory road after boundary review
S-010,R01,included-in-r01-v001,R01 main theory road after boundary review
S-011,R01,included-in-r01-v001,R01 main theory road after boundary review
S-012,R01,included-in-r01-v001,R01 main theory road after boundary review
S-013,R01,included-in-r01-v001,R01 main theory road after boundary review
S-014,R01,included-in-r01-v001,R01 main theory road after boundary review
S-015,R01,included-in-r01-v001,R01 main theory road after boundary review
S-016,R01,included-in-r01-v001,R01 main theory road after boundary review
S-017,R01,included-in-r01-v001,R01 main theory road after boundary review
S-018,R01,included-in-r01-v001,R01 main theory road after boundary review
S-019,R01,included-in-r01-v001,R01 main theory road after boundary review
S-020,R01,included-in-r01-v001,R01 main theory road after boundary review
S-021,R01,included-in-r01-v001,R01 main theory road after boundary review
S-022,R01,included-in-r01-v001,R01 main theory road after boundary review
S-023,R01,included-in-r01-v001,R01 main theory road after boundary review
S-024,R01,included-in-r01-v001,R01 main theory road after boundary review
S-025,R01,included-in-r01-v001,R01 main theory road after boundary review
S-026,R01,included-in-r01-v001,R01 main theory road after boundary review
S-027,R01,included-in-r01-v001,R01 main theory road after boundary review
S-028,R01,included-in-r01-v001,R01 main theory road after boundary review
S-029,R01,included-in-r01-v001,R01 main theory road after boundary review
S-030,R01,included-in-r01-v001,R01 main theory road after boundary review
S-031,R01,included-in-r01-v001,R01 main theory road after boundary review
S-032,R01,included-in-r01-v001,R01 main theory road after boundary review
S-033,R01,included-in-r01-v001,R01 main theory road after boundary review
S-034,R01,included-in-r01-v001,R01 main theory road after boundary review
S-035,R01,included-in-r01-v001,R01 main theory road after boundary review
S-036,R01,included-in-r01-v001,R01 main theory road after boundary review
S-037,R01,included-in-r01-v001,R01 main theory road after boundary review
S-038,R01,included-in-r01-v001,R01 main theory road after boundary review
S-039,R01,included-in-r01-v001,R01 main theory road after boundary review
S-040,R01,included-in-r01-v001,R01 main theory road after boundary review
S-041,R01,included-in-r01-v001,R01 main theory road after boundary review
S-042,R01,included-in-r01-v001,R01 main theory road after boundary review
S-043,R01,included-in-r01-v001,R01 main theory road after boundary review
S-044,R01,included-in-r01-v001,R01 main theory road after boundary review
S-045,R01,included-in-r01-v001,R01 main theory road after boundary review
S-046,R01,included-in-r01-v001,R01 main theory road after boundary review
S-047,R01,included-in-r01-v001,R01 main theory road after boundary review
S-048,R01,included-in-r01-v001,R01 main theory road after boundary review
S-049,R01,included-in-r01-v001,R01 main theory road after boundary review
S-050,R01,included-in-r01-v001,R01 main theory road after boundary review
S-051,R01,included-in-r01-v001,R01 main theory road after boundary review
S-052,R01,included-in-r01-v001,R01 main theory road after boundary review
S-053,R01,included-in-r01-v001,R01 main theory road after boundary review
S-054,R01,included-in-r01-v001,R01 main theory road after boundary review
S-055,R01,included-in-r01-v001,R01 main theory road after boundary review
S-056,R01,included-in-r01-v001,R01 main theory road after boundary review
S-057,R01,included-in-r01-v001,R01 main theory road after boundary review
S-058,R01,included-in-r01-v001,R01 main theory road after boundary review
S-059,R01,included-in-r01-v001,R01 main theory road after boundary review
S-060,R01,included-in-r01-v001,R01 main theory road after boundary review
S-061,R01,included-in-r01-v001,R01 main theory road after boundary review
S-062,R01,included-in-r01-v001,R01 main theory road after boundary review
S-063,R01,included-in-r01-v001,R01 main theory road after boundary review
S-064,R01,included-in-r01-v001,R01 main theory road after boundary review
S-065,R01,included-in-r01-v001,R01 main theory road after boundary review
S-066,R01,included-in-r01-v001,R01 main theory road after boundary review
S-067,R01,included-in-r01-v001,R01 main theory road after boundary review
S-068,R01,included-in-r01-v001,R01 main theory road after boundary review
S-069,R01,included-in-r01-v001,R01 main theory road after boundary review
S-070,R01,included-in-r01-v001,R01 main theory road after boundary review
