source_id,image_use_id,fileId_short,sha256_12,x,y,width,height,candidate_region,status,notes
S-001,IU-001,d9789eb595,fcdcba7f11bf,7827.76254139244,1072.1408675049151,764.0,482.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-002,IU-002,efc5596eee,6c1f61979aa5,10984.165862077418,1493.8602276272122,914.0,403.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-003,IU-003,f945cb9a0d,917b8dbf4cc7,5760.992608347029,1508.8962841328303,700.0,482.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-004,IU-004,ea24b8a52c,37d31569241c,12802.874644212912,1540.0111349593517,1034.0,456.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-005,IU-005,39c3d89aae,8d5a0c8efcf5,17185.2079903411,1542.5192934624865,867.0,482.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-006,IU-006,1ecd99c56b,0bc7ca7a1b04,7826.069985325659,1653.4347278041587,893.0,338.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-007,IU-007,411ddc616d,ba4b8bcd14b1,14928.517336477707,1686.421477286529,665.0,340.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-008,IU-008,eaa39a2898,f6d50d1202a0,11008.649297136013,1916.4262168036348,772.0,482.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-009,IU-009,bf19582a92,c2fe17547122,20617.325230991148,1941.9924494911465,740.0,482.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-010,IU-010,3a622f325d,d3db066d4dd0,12862.710285992736,1998.808056198106,885.0,482.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-011,IU-011,2f96c09680,ce06053a6598,7816.469145987026,2009.2784167690024,771.0,482.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-012,IU-012,7c90afcf95,d6ea2afe3923,19240.206820831103,2014.674883400592,843.0,482.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-013,IU-013,140dd9344f,f36d3a057339,14912.8505367857,2042.7162982187638,963.0,461.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-014,IU-014,7d735c5a37,56d37ae8eae7,17191.269026139402,2055.119987906939,976.0,426.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-015,IU-015,4267b69757,cb0e5c4c52b3,5767.885003025853,2123.3858928974714,934.0,270.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-016,IU-016,06a17cda32,35f5407c0188,5770.55177141778,2404.941414544597,942.0,358.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-017,IU-017,e746b55e73,bf6c594ffc14,10990.142310795723,2418.0928955804393,951.0,482.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-018,IU-018,a5e350e97e,d15243009307,19276.529009331556,2503.0444540873796,786.0,380.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-019,IU-019,5e6b284e29,04bd6e4af1cf,14974.89375445299,2520.393406983412,856.0,482.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-020,IU-020,336b482684,578b715430cb,17215.120832780027,2524.768181266314,952.0,423.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-021,IU-021,c7328c4ff3,95c2aee6e001,12904.378443958374,2544.956907600852,774.0,311.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-022,IU-022,1cbae51148,80cf7dd51367,20616.229599180904,2583.673308549267,998.0,217.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-023,IU-023,b9096a7d35,86a439b9108d,7785.2894684450785,2607.945073263143,860.0,482.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-024,IU-024,357c4c77db,6748221317fe,20661.57829317355,2830.1113695537133,948.0,482.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-025,IU-025,58b50a96b2,2ec2a6ee24c7,12878.100632272177,2873.1791467772746,971.0,319.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-026,IU-026,1c6cc04838,cac23e96cd0d,11057.4544309677,2932.13803446933,867.0,352.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-027,IU-027,4c8baa5a8a,8f6b3f5c4979,19301.325924352197,2937.290226614765,833.0,208.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-028,IU-028,650157708c,62f3d35cb6a4,17214.073271861133,2985.455934852849,996.0,313.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-029,IU-029,79cdb382de,95f772551bc8,14995.73949349143,3045.4942523203263,971.0,219.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-030,IU-030,67402ce0be,9847653a571c,19328.263205711206,3154.094486062175,697.0,275.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-031,IU-031,36e7cd5b51,6e4115c897c8,12910.656153919312,3199.4569584634773,917.0,462.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-032,IU-032,c4cf42cfbb,100267b21ad0,20629.334759284244,3273.361846317588,762.0,354.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-033,IU-033,b6189c89d4,50dd27627c25,15096.255594178125,3289.2718278586017,666.0,447.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-034,IU-034,356ea07613,03d12685fe2e,7786.0644670914935,3293.2784778041587,885.0,482.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-035,IU-035,aa799b420f,02286505fe9f,11068.602624327075,3302.8787299988307,821.0,292.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-036,IU-036,2717c44c8a,4176eefdb469,19325.802528771623,3450.2395957104964,785.0,328.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-037,IU-037,66b9f6e6fc,b0ab22b9993e,11093.589250643734,3601.7965766785182,833.0,482.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-038,IU-038,9dd74351b4,950135defd92,20712.6881878328,3678.5457872816114,783.0,438.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-039,IU-039,35c87ac24e,511bad35c0ba,12943.267400664103,3686.068001757743,1014.0,411.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-040,IU-040,b5e8e330c2,77bb64bdf221,15095.774067485416,3771.197798995743,824.0,135.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-041,IU-041,552f0b5d2d,ca3340ce0142,7778.810723240698,3925.404106805361,934.0,437.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-042,IU-042,eaa6d504e6,ba2327778ece,11084.973039908673,4128.471286422426,1001.0,258.0,R02,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-043,IU-043,5cc7b17cdd,356780cb4a6c,20711.38176736547,4134.68827477724,977.0,398.0,R01,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-044,IU-044,5e46cc4de3,961faf90010b,1484.1149682410542,4225.7839313997365,976.0,355.0,R03,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
S-045,IU-045,2a3cbc5ad4,a58a93244dc4,1519.1839501790928,4626.088727296589,884.0,482.0,R04,closed-by-stage1-final-coverage-v001,Visually/semantically covered by combined R01+R02+R03+R04 transcript; preserved source image remains authoritative for exact code punctuation.
