source_id,image_use_id,region_candidate,x,y,width,height,rotation,fileId_short,sha256_12,source_image_path,symbol_id
S-001,IU-001,R03,7827.76254139244,1072.1408675049151,764.0,482.0,0.0,d9789eb595,fcdcba7f11bf,source/images/fcdcba7f11bf.png,image-d9789eb595677f3f6eb3db8baf1c8ec939d96392
S-002,IU-002,R02,10984.165862077418,1493.8602276272122,914.0,403.0,0.0,efc5596eee,6c1f61979aa5,source/images/6c1f61979aa5.png,image-efc5596eee7e10d1597f374c0a80c4a519ed8edd
S-003,IU-003,R03,5760.992608347029,1508.8962841328303,700.0,482.0,0.0,f945cb9a0d,917b8dbf4cc7,source/images/917b8dbf4cc7.png,image-f945cb9a0d752590137a0dbe1963199d18a7984d
S-004,IU-004,R02,12802.874644212912,1540.0111349593517,1034.0,456.0,0.0,ea24b8a52c,37d31569241c,source/images/37d31569241c.png,image-ea24b8a52c718e00bfc10e4ec2c790f9a740202c
S-005,IU-005,R01,17185.2079903411,1542.5192934624865,867.0,482.0,0.0,39c3d89aae,8d5a0c8efcf5,source/images/8d5a0c8efcf5.png,image-39c3d89aae19b9e50dcf2e2c555371d09f9b3ce7
S-006,IU-006,R03,7826.069985325659,1653.4347278041587,893.0,338.0,0.0,1ecd99c56b,0bc7ca7a1b04,source/images/0bc7ca7a1b04.png,image-1ecd99c56b2da73d750e631c6dc9537322fa589f
S-007,IU-007,R02,14928.517336477707,1686.421477286529,665.0,340.0,0.0,411ddc616d,ba4b8bcd14b1,source/images/ba4b8bcd14b1.png,image-411ddc616df09dc44e2e04ec2a408250a1878d18
S-008,IU-008,R02,11008.649297136013,1916.4262168036348,772.0,482.0,0.0,eaa39a2898,f6d50d1202a0,source/images/f6d50d1202a0.png,image-eaa39a28983d8e665f3b58a562951bf573e28278
S-009,IU-009,R01,20617.325230991148,1941.9924494911465,740.0,482.0,0.0,bf19582a92,c2fe17547122,source/images/c2fe17547122.png,image-bf19582a92f5d602aa44b9b01a1a166f9b4cf4bb
S-010,IU-010,R02,12862.710285992736,1998.808056198106,885.0,482.0,0.0,3a622f325d,d3db066d4dd0,source/images/d3db066d4dd0.png,image-3a622f325df3110e4709d4edf2ccd95341ae82da
S-011,IU-011,R03,7816.469145987026,2009.2784167690024,771.0,482.0,0.0,2f96c09680,ce06053a6598,source/images/ce06053a6598.png,image-2f96c09680e910417c3d4248ea1ec2926495b3f9
S-012,IU-012,R01,19240.206820831103,2014.674883400592,843.0,482.0,0.0,7c90afcf95,d6ea2afe3923,source/images/d6ea2afe3923.png,image-7c90afcf95229cbc9fa74b551bed6528bf1bd8a3
S-013,IU-013,R02,14912.8505367857,2042.7162982187638,963.0,461.0,0.0,140dd9344f,f36d3a057339,source/images/f36d3a057339.png,image-140dd9344fbe186f4b7386635d864d16f01ca1f2
S-014,IU-014,R01,17191.269026139402,2055.119987906939,976.0,426.0,0.0,7d735c5a37,56d37ae8eae7,source/images/56d37ae8eae7.png,image-7d735c5a371bf6d6f5c29a7421cdee1602eba174
S-015,IU-015,R03,5767.885003025853,2123.3858928974714,934.0,270.0,0.0,4267b69757,cb0e5c4c52b3,source/images/cb0e5c4c52b3.png,image-4267b697579fb6c724ac093cc14d29f129043ea7
S-016,IU-016,R03,5770.55177141778,2404.941414544597,942.0,358.0,0.0,06a17cda32,35f5407c0188,source/images/35f5407c0188.png,image-06a17cda32c76e9633091066c248d924db0dc5de
S-017,IU-017,R02,10990.142310795723,2418.0928955804393,951.0,482.0,0.0,e746b55e73,bf6c594ffc14,source/images/bf6c594ffc14.png,image-e746b55e73ca41776850a2316f9633b30dbae7b1
S-018,IU-018,R01,19276.529009331556,2503.0444540873796,786.0,380.0,0.0,a5e350e97e,d15243009307,source/images/d15243009307.png,image-a5e350e97e16cffb49c367fda2c1797716991541
S-019,IU-019,R02,14974.89375445299,2520.393406983412,856.0,482.0,0.0,5e6b284e29,04bd6e4af1cf,source/images/04bd6e4af1cf.png,image-5e6b284e293067881c76de44f4030a25669b03cb
S-020,IU-020,R01,17215.120832780027,2524.768181266314,952.0,423.0,0.0,336b482684,578b715430cb,source/images/578b715430cb.png,image-336b48268435a3a1a19040c74acc66668dc585e9
S-021,IU-021,R02,12904.378443958374,2544.956907600852,774.0,311.0,0.0,c7328c4ff3,95c2aee6e001,source/images/95c2aee6e001.png,image-c7328c4ff37e9a90daeac69edcd6d8b30dcfc82a
S-022,IU-022,R01,20616.229599180904,2583.673308549267,998.0,217.0,0.0,1cbae51148,80cf7dd51367,source/images/80cf7dd51367.png,image-1cbae511481c9988a57e68d6179feb8b307d058c
S-023,IU-023,R03,7785.2894684450785,2607.945073263143,860.0,482.0,0.0,b9096a7d35,86a439b9108d,source/images/86a439b9108d.png,image-b9096a7d354662bdf36272f13e04cbfb9c7f1f00
S-024,IU-024,R01,20661.57829317355,2830.1113695537133,948.0,482.0,0.0,357c4c77db,6748221317fe,source/images/6748221317fe.png,image-357c4c77dba472a9751547bd20d9e2818901fc42
S-025,IU-025,R02,12878.100632272177,2873.1791467772746,971.0,319.0,0.0,58b50a96b2,2ec2a6ee24c7,source/images/2ec2a6ee24c7.png,image-58b50a96b232e219876e1f32f902232c60f89301
S-026,IU-026,R02,11057.4544309677,2932.13803446933,867.0,352.0,0.0,1c6cc04838,cac23e96cd0d,source/images/cac23e96cd0d.png,image-1c6cc04838f86cf1b43ecb5209100dc1bc14a7a0
