use_id,region,symbol_id,x,y,width,height,sha256
I001,R01,image-5abc491535fd6308c3f7fb1de792aff844e3aac7,1339.2725967979518,1174.6080602483426,881.0,213.0,ea4c55ead5e27d775dde335f23a6c1d6ed7fe6ccdd68a5796acc007d8cefa988
I002,R01,image-3e62f52341ad96a4db15ed1bca9412cdacf8d18b,1350.0375367993752,652.5272738777285,826.0,482.0,9f040e61f15fdaf9d00ce3a31bb7c42c97d185d75c287767815916cf718877e3
I003,R02,image-638639b17abe7173a3eabc1ce60975ae25384ee0,4104.678230700979,766.4666308261139,827.0,482.0,eb649fb47ea31c2b1932a40def9d00617bd8b0c23f74ff0c9c43609fb8baa241
I004,R02,image-587a8dfd81cff1bd5b7fb7f58ba9ea1e3549389d,2799.803380711304,2286.249094131029,806.0,448.0,256b2db482c841113e8cc3e564750350eb6b5f004ec2527d29b44cf8def374f2
I005,R02,image-1e30828f5554f1733e72e986ac29b6fc4006d621,2807.2275861445423,1851.9763113717972,796.0,422.0,16361e43fa70499a1ed1c1b42eab088a67df2ce664540246889cc4997ee55cd6
I006,R02,image-f84068229edaaaccdba0841178f9f4c6dc0b53b0,2759.2579261658493,1507.021765917253,938.0,341.0,bb1e0dc5ab4e4356e466601fae3359632d998728f7e46aeefa122cc503ec7b5f
I007,R02,image-c8228648440da9bb9ed8eae09f7138b049ebf250,2785.9699733959633,1184.8096632006318,727.0,343.0,e3250929a0128c7ee94efecdaeefe06d1bc9edce48badeaf1be724c80c260566
I008,R02,image-64c7de57cb43044d787056e9ffa4dc4853275a28,2726.409404326361,740.3400032219406,834.0,478.0,add5bea12ac2a78cfdf2fbef665b13fe9dc9027e5777ac2094ff6f1924afc78f
I009,R03,image-c45404583735bb28fd794295e587862a7c0d0b38,5458.398562599418,3543.7149814086706,827.0,410.0,fd9d56b276651307225efb6d74c5741eebf01c2322b0f03fe637439fefb4ab72
I010,R03,image-2c77e9eab1f9f32fc8a72da202bfb8fa076ee32f,5490.841982747299,2937.1885192776,753.0,482.0,87bcee927a2c50a18279d2aea6f8b837db902872f62bd18d90bb76b9251ee1c6
I011,R03,image-baaac2e8ae4bfafe00ad991a070de758aec0c562,5458.955766379658,2390.5216491604124,737.0,482.0,acc3ecbca3317b89d53f9259abd4aacbc844b1ebb4b176c974c9aa40b3a9d38f
I012,R03,image-9d9f8bb3ab7a4213ba8d0d704b0ba1133e5c6840,5484.277510694045,1998.5113342190061,753.0,346.0,5a8970c0ef1d5484c7847289dbfc109ed4050305502f7a5384bee2f427d4c8b3
I013,R03,image-56b13bf7992665323ec4825054ea300314c9c3ef,5526.686414302124,1437.1882141018186,602.0,482.0,91249b95418627b4e46e91fcdd3d07262988845a3b3167c5aafd1478e739b858
I014,R03,image-2f831bc422cc17c4b125a5219fb7c4a6e9959303,5460.787451488307,1006.3447692775999,880.0,384.0,d0260ef029ddd10fc486276e66b6c8f7bb4fec075ca5584e2452e3c82bd0ff52
I015,R03,image-bff84c293097b95486294434a75bc92a5d88843a,5436.0493509544995,451.03450097331097,729.0,482.0,ee819e0dc2e57ba2e85c49a3af88471177815e05af7feb8d430b1e1b79b9d756
I016,R03,image-054f4a8cbca117d126a40f3581fb7d536eee97dc,6895.714334797315,358.49444366506305,854.0,467.0,8f2c5907a2433d9c74e63e0d99567a41c27ee735e6d9630fce064224ac38e2c1
I017,R03,image-1a37d93d7da42ddef3362a799456f5480007781b,7963.684967021651,313.8011792336265,834.0,482.0,4e88f3254d7a66b4e2701f12c533554f52ac014c700444961fb8edad2ac5e151
I018,R03,image-47a6fcada87e2260dc9a5dacb5b84327f4d53905,8019.772221218826,832.3196864493302,707.0,482.0,c048221a027c431ba38226b18483a70ef6a6e3e1a30d35483f7be05178cd7a1e
I019,R02,image-8628ff93bff4029670a7068964a56bd15fd40f01,4058.8737212859833,1797.8187455952093,779.0,424.0,2da2aedc42b1e46d52e46f008884f387b3c237c2bd08a01b204cb8bd1bde2f71
I020,R01,image-30e7809bc580802f62bfac618dd254fcfc2ab1cb,247.75715325634428,3493.9957780659124,729.0,482.0,c57215dbfe01270565f8d629443f63d9eef4c7d385fdb3628ec4882a4e2db194
