text_id,region,x,y,text,font_size
T-001,R02,3372.708,3529.392,public class RequestTimingMiddleware,20px
T-002,R02,3372.708,3554.392,{,20px
T-003,R02,3372.708,3579.392,private readonly RequestDelegate _next;,20px
T-004,R02,3372.708,3604.392,private readonly ILogger<RequestTimingMiddleware> _log;,20px
T-005,R02,3372.708,3654.392,"public RequestTimingMiddleware(RequestDelegate next, ILogger<RequestTimingMiddleware> log)",20px
T-006,R02,3372.708,3679.392,{,20px
T-007,R02,3372.708,3704.392,_next = next;,20px
T-008,R02,3372.708,3729.392,_log = log;,20px
T-009,R02,3372.708,3754.392,},20px
T-010,R02,3372.708,3804.392,public async Task InvokeAsync(HttpContext context),20px
T-011,R02,3372.708,3829.392,{,20px
T-012,R02,3372.708,3854.392,var sw = Stopwatch.StartNew();,20px
T-013,R02,3372.708,3879.392,await _next(context);,20px
T-014,R02,3372.708,3904.392,sw.Stop();,20px
T-015,R02,3372.708,3954.392,"context.Response.Headers[""X-Elapsed-ms""] = sw.ElapsedMilliseconds.ToString();",20px
T-016,R02,3372.708,3979.392,"_log.LogInformation(""Elapsed: {ms}ms"", sw.ElapsedMilliseconds);",20px
T-017,R02,3372.708,4004.392,},20px
T-018,R02,3372.708,4029.392,},20px
T-019,R01,2501.634,1260.859,ORDER,57.925922309027804px
T-020,R01,2501.634,1333.266,______,57.925922309027804px
T-021,R01,2501.634,1405.674,theory,57.925922309027804px
T-022,R02,2396.332,2896.428,1 INHERITANCE,20px
T-023,R02,2396.332,2921.428,2 DI GOTCHA MIDDLEWARE + SCOPED MIDDLEWARE,20px
T-024,R02,2048.377,2885.478,1 SHORT CIRCUIT,20px
T-025,R02,2048.377,2910.478,2 ASYNC TIPS,20px
T-026,R02,2048.377,2935.478,3 DEBUGGING TIPS,20px
T-027,R02,2048.377,2960.478,4 COMMON PATTERNS,20px
T-028,R01,3382.609,1445.931,all SERVICED,40.26666666666661px
T-029,R01,2372.596,76.173,EXAMPLE,75.11110432942692px
T-030,R01,3369.929,1204.605,FEATURES-->,35.99999999999999px
T-031,R01,4152.084,1577.159,CAN GET EXCEPTION,20px
T-032,R01,165.353,2167.95,what is brunch here,20px
T-033,R01,3228.595,820.686,to write json in non mvc land :,138.51855468750014px
T-034,R01,1172.931,768.948,METHODS,93.90760633680544px
