image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,3bb89d5f6e81,image-76fdcfaef5d6cc62dcae2dc43d7be81c1fbdfca8,975.7465817276043,582.2081891064165,462.0,170.0,462,170,source/images/3bb89d5f6e81.png
S-002,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,4292b58dc33b,image-66bfc63160d409021879b1d29e7902ff50fa7a16,4316.54152891885,612.7463152134089,860.0,277.0,860,277,source/images/4292b58dc33b.png
S-003,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,bd200d61d77d,image-57f08429591107228907aafea5918e0b0c826017,2171.3561380225838,626.820413588511,846.0,207.0,846,207,source/images/bd200d61d77d.png
S-004,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,98bf5c272abe,image-c9282d4f9b6c3b29806a1d89f5de5547a3b0b2d3,3216.9117274865594,627.6537045363268,856.0,214.0,856,214,source/images/98bf5c272abe.png
S-005,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,c8ce0b60ebf9,image-a875e1cb09ca7aa9390973adfc32df337cdcf4ae,12775.125347579458,744.9831830522483,940.0,363.0,940,363,source/images/c8ce0b60ebf9.png
S-006,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,d2d2ca12368b,image-d58d114ab0fd74c3e134a02cfbb6e5c71b3177b8,7687.763109014392,757.1664428710938,919.0,411.0,919,411,source/images/d2d2ca12368b.png
S-007,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,f49a838effff,image-5e0d684aa16cbd2533a05c4506065dcc39e516d1,8656.430040166735,782.8331146240234,869.0,365.0,869,365,source/images/f49a838effff.png
S-008,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,b0febe07522e,image-8efec378b42830e1f70b871bbf904f7397fe26b0,11243.671754140332,823.526886434078,1287.0,408.0,1287,408,source/images/b0febe07522e.png
S-009,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,d3fbdeb136c4,image-c57f45056c7d6a4e7ae718be87977093aed02972,2191.659372149568,855.0901347256633,797.0,482.0,867,525,source/images/d3fbdeb136c4.png
S-010,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,c4f8acbecc7b,image-8682653ec012213ece8b6e3410162c7d322a1bbe,3182.0486969482567,885.4974545363268,894.0,482.0,895,483,source/images/c4f8acbecc7b.png
S-011,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,c364d9260fb9,image-c08bda73dc6e0014ba06f548313d8208bcc1dc19,959.8043552802174,899.8560236593996,573.0,194.0,573,194,source/images/c364d9260fb9.png
S-012,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,5e41eb69a280,image-c641334d62d6d9ea7e6eca32773dd7ff1fb0324f,4335.671113337254,921.4130496969167,881.0,433.0,881,433,source/images/5e41eb69a280.png
S-013,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,26f8201c7a53,image-a9718d5f9e22112d0fd7b4abcf471189c32eb916,12791.145529210571,1243.7284730405765,945.0,472.0,945,472,source/images/26f8201c7a53.png
S-014,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,0a8160d78a40,image-a71becc01cecb38dba40298f47a45ecdec668727,8308.763109014391,1289.4998168945312,645.0,333.0,645,333,source/images/0a8160d78a40.png
S-015,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,a8e806674c09,image-3eb077759c9061203ce50feabba4b6f2f7cc69bd,2200.6151712257088,1358.894442451355,826.0,171.0,826,171,source/images/a8e806674c09.png
S-016,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,7e1ac644f218,image-086854d48aa6491ffe7baf408955eb9fc5650d7b,4322.208059951837,1389.2093007819833,902.0,410.0,902,410,source/images/7e1ac644f218.png
S-017,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,043c266b2fc7,image-1a9ac7c5c7d056225eea0b1bb1d2c3b3a623ac99,3238.7444805243595,1392.1640805128893,754.0,482.0,861,551,source/images/043c266b2fc7.png
S-018,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,81636c6a7412,image-0b6cffdeca8cc4a9c15a9cffdcaa27512ae49adb,2201.602632219876,1555.8308302551752,786.0,482.0,842,517,source/images/81636c6a7412.png
S-019,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,f4c37af8a65f,image-e4a1837c77b997efa4561b005e1913485d7aa437,8283.429857061266,1633.8331909179688,957.0,455.0,957,455,source/images/f4c37af8a65f.png
S-020,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,12da7caecede,image-d2a985b66b9bc2051e4ef406201f7e9af1526755,12779.82726971128,1748.1527020555834,944.0,278.0,944,278,source/images/12da7caecede.png
S-021,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,f9544f6646d8,image-1944f7b671dee0550b3bfbfdc87ba2d72e89cce5,4305.133895455308,1816.875899631815,868.0,248.0,868,248,source/images/f9544f6646d8.png
S-022,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,078f64718cbd,image-9fd89ce950fa9217d3c8ac8a2af70b7e2653df09,12814.620984631478,2015.3905186060977,807.0,482.0,903,540,source/images/078f64718cbd.png
S-023,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,388e3ace21f8,image-3a0cb085f4eeea51c755ad6f2818b21d4fce3cfc,4302.04152891885,2079.783397461678,889.0,457.0,889,457,source/images/388e3ace21f8.png
S-024,R01,AsSingleQuery versus AsSplitQuery and SQL-query shape,recovered_missing,processed,ffcd3d89d030,image-061bf5fce1eea9c005d32fb377a87cc477aacba5,2180.5598869375144,2101.9315246996275,795.0,279.0,795,279,source/images/ffcd3d89d030.png
S-025,R02,cartesian row-count formulas and graph shapes,recovered_missing,processed,6f2a6e1dfef4,image-2f3a38aeca16e8375cddbbb4b9c35ff3875472e8,8261.250158131463,2122.8435668945312,815.0,482.0,902,534,source/images/6f2a6e1dfef4.png
S-026,R04,"selection guide, projection and performance trade-offs",recovered_missing,processed,e2189ad67ce5,image-935cf1f6e72ffa449ddda6469130d799d7aea0f4,8259.763109014391,2603.8331909179688,807.0,179.0,807,179,source/images/e2189ad67ce5.png
S-027,R04,"selection guide, projection and performance trade-offs",recovered_missing,processed,cc1544cde065,image-a035bba35ef81dcc22e928b7a8e0eecc90518ee6,8256.221756102746,2806.8436279296875,766.0,482.0,791,498,source/images/cc1544cde065.png
S-028,R03,"buffering, explicit loading, retries, MARS and consistency",recovered_missing,processed,e4db78a707f2,image-a122f8f580a3556e03d95cce2b40278fe4af4eb0,5597.883122959847,3202.52490199325,793.0,398.0,793,398,source/images/e4db78a707f2.png
S-029,R03,"buffering, explicit loading, retries, MARS and consistency",recovered_missing,processed,2c4f2c9d5722,image-1cfc63e73b6f89c9c6815626f8ffcb84a2c54f29,2513.5482131932354,3284.9769504229234,814.0,428.0,814,428,source/images/2c4f2c9d5722.png
S-030,R04,"selection guide, projection and performance trade-offs",recovered_missing,processed,9bbfad8981eb,image-64f91830fd401f5ea938acf7f5aca8d9aea11eae,8233.597708528026,3309.51025390625,662.0,482.0,840,612,source/images/9bbfad8981eb.png
S-031,R03,"buffering, explicit loading, retries, MARS and consistency",recovered_missing,processed,9eeae157ad68,image-4d46d957d9319d551641711959427e69b0d933e5,4048.704955173586,3340.083051719089,827.0,391.0,827,391,source/images/9eeae157ad68.png
S-032,R03,"buffering, explicit loading, retries, MARS and consistency",recovered_missing,processed,014fe509d202,image-f8934319d1ff560fa2db75cb607b411663c01582,392.5122666890675,3370.066860860864,799.0,482.0,928,560,source/images/014fe509d202.png
S-033,R03,"buffering, explicit loading, retries, MARS and consistency",recovered_missing,processed,c04c301551c7,image-24baf0d3e2b1d3a891364c6cae1d3fd8a2b3af96,5601.716558018441,3619.024978287195,812.0,365.0,812,365,source/images/c04c301551c7.png
