use_id,image_id,filename,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-2cf14f9a0c4180f3549ec3f82f5a72f819d34c44,image-2cf14f9a0c4180f3549ec3f82f5a72f819d34c44.png,R08,13677.580977865391,5333.423318007839,819.0,481.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-002,image-df818d2b4be55bf8fa39211de993710cb99f26d4,image-df818d2b4be55bf8fa39211de993710cb99f26d4.png,R08,13675.493627837488,5829.804154131352,400.0,173.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-003,image-b759977b23e37950db3b08a1819d62ac91bab62a,image-b759977b23e37950db3b08a1819d62ac91bab62a.png,R08,13743.624564297766,1143.8860955081564,1278.0,369.0,1.0,,T-001|T-002|T-003,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|TaskWailtAll,pending_transcript
IU-004,image-b38216939b7990b42fdc259d02346ed10358ab0d,image-b38216939b7990b42fdc259d02346ed10358ab0d.png,R08,13795.642265581868,1849.857685006873,948.0,66.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-005,image-ac6a7329164d65b0635aa8efd61095fe217559a0,image-ac6a7329164d65b0635aa8efd61095fe217559a0.png,R08,13894.798114462206,1953.145209155491,842.0,369.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-006,image-74b9ecf77014f93aa7d0a0592c1b45b3e5ab7f58,image-74b9ecf77014f93aa7d0a0592c1b45b3e5ab7f58.png,R08,13956.806035426122,2393.556953149595,581.0,159.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-007,image-4c21eed33681496dc424fea84f143b02cfc86138,image-4c21eed33681496dc424fea84f143b02cfc86138.png,R08,13848.088961515961,2632.1575593968537,866.0,369.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-008,image-82585d315816f3b898705ac984f3cb40eda94830,image-82585d315816f3b898705ac984f3cb40eda94830.png,R08,13666.73837467139,3152.527971431593,1275.0,369.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-009,image-ea85f947de6583bc26cccb56ca82355aee512564,image-ea85f947de6583bc26cccb56ca82355aee512564.png,R08,13832.145650726969,3697.2235721178386,826.0,85.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-010,image-4e6f53ee6b892ab5ff26b6a7c83c19e10ba02f7d,image-4e6f53ee6b892ab5ff26b6a7c83c19e10ba02f7d.png,R08,13845.688874193067,3871.0463926988687,727.0,369.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-011,image-dca5f2aae1e4fb837f5cb77f2ae153cfbf98f9d0,image-dca5f2aae1e4fb837f5cb77f2ae153cfbf98f9d0.png,R08,13809.559170692246,4303.155648984082,765.0,204.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-012,image-e60cb177cb907810b562b2d1b7f60bfef066e0b2,image-e60cb177cb907810b562b2d1b7f60bfef066e0b2.png,R08,13783.917270735652,4560.877909058918,799.0,133.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-013,image-d0a4155e095cd0468b8880afecbf8ec71b54985d,image-d0a4155e095cd0468b8880afecbf8ec71b54985d.png,R08,13741.71353700382,4825.564846653442,976.0,368.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-014,image-0a3f99585bd136ab5e325687677c4fbadec666e3,image-0a3f99585bd136ab5e325687677c4fbadec666e3.png,R08,13745.49136903507,5230.842597781311,324.0,53.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-015,image-162e9398ae526e4874b8a8f7bd3b07053667ceb9,image-162e9398ae526e4874b8a8f7bd3b07053667ceb9.png,R08,13671.162396297339,8905.690154050297,707.0,482.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-016,image-19e832e380236c9896dbf9a58990e12778939738,image-19e832e380236c9896dbf9a58990e12778939738.png,R08,13631.02690978404,9415.143799610605,826.0,80.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-017,image-483797004a3ffe50dd39ddeaf24812120e757285,image-483797004a3ffe50dd39ddeaf24812120e757285.png,R08,13618.84509160222,9537.371016851373,814.0,461.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-018,image-15ea5b59b4d3f3049cc89e7e7e531cb4f1ee2393,image-15ea5b59b4d3f3049cc89e7e7e531cb4f1ee2393.png,R08,13599.277286232797,7348.560442320626,725.0,304.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-019,image-29244fe99c9f1c56b463bc5dce2cad4091995c87,image-29244fe99c9f1c56b463bc5dce2cad4091995c87.png,R08,13612.552016241989,7674.138926350957,719.0,349.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-020,image-df103b2d7b2409317e47ca690ae0665ba7b39e6c,image-df103b2d7b2409317e47ca690ae0665ba7b39e6c.png,R08,13624.501954718551,8048.8159893392385,724.0,482.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-021,image-909b56ab031d5db85989b638a298767f26bd6720,image-909b56ab031d5db85989b638a298767f26bd6720.png,R08,13621.885298712692,8550.138911092168,737.0,215.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-022,image-4e14917829d9ba86497808923e84b4a1de0ee7cb,image-4e14917829d9ba86497808923e84b4a1de0ee7cb.png,R08,13551.872518889973,6256.395163674426,782.0,109.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-023,image-aae82d07f15fb184628455ffec3b5b73b46c1909,image-aae82d07f15fb184628455ffec3b5b73b46c1909.png,R08,13576.473112158628,6866.046483104417,760.0,463.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-024,image-e1c73c868f089c157f1dc625a3ab76bbc08ae47f,image-e1c73c868f089c157f1dc625a3ab76bbc08ae47f.png,R08,13531.017837081066,6387.072155430107,826.0,463.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-025,image-f47276c5f8546e6a6e980c422c5423eafa48c8b6,image-f47276c5f8546e6a6e980c422c5423eafa48c8b6.png,R08,14534.668924779562,7113.254299122529,772.0,152.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-026,image-13f11adb8098ae1a64f415f2d5b3f14e80a9a02c,image-13f11adb8098ae1a64f415f2d5b3f14e80a9a02c.png,R08,14512.161028569903,6399.3421282639265,812.0,371.0,1.0,,T-001|T-002|T-004,For demo purposes reverse results order(performing some operations with when all operations completed)|Can be used on a client but cant be used on a server|THread is being blocked,pending_transcript
IU-027,image-721f3c929d10f3afd4909cebee182a9d424dfbd2,image-721f3c929d10f3afd4909cebee182a9d424dfbd2.png,R07,11043.119854904508,1001.2856538622818,1140.0,369.0,1.0,,T-002|T-003|T-004,Can be used on a client but cant be used on a server|TaskWailtAll|THread is being blocked,pending_transcript
IU-028,image-43c2a6f2041f45cd5615de4a975d27b1e8dc6e96,image-43c2a6f2041f45cd5615de4a975d27b1e8dc6e96.png,R07,11035.358083576488,1456.3454672557928,1031.0,286.0,1.0,,T-002|T-004|T-003,Can be used on a client but cant be used on a server|THread is being blocked|TaskWailtAll,pending_transcript
IU-029,image-fcab3613dcde5b0340bbf2d5eafc83baf4f9d49c,image-fcab3613dcde5b0340bbf2d5eafc83baf4f9d49c.png,R06,9406.191541096017,894.6188930467688,1214.0,369.0,1.0,,T-002|T-003|T-004,Can be used on a client but cant be used on a server|TaskWailtAll|THread is being blocked,pending_transcript
