text_id,text,x,y,status
T-001,For demo purposes reverse results order(performing some operations with when all operations completed),13729.713698144504,4774.997940129876,pending_transcript
T-002,Can be used on a client but cant be used on a server,9644.413198322582,864.5211043504797,pending_transcript
T-003,TaskWailtAll,8049.968787786556,1264.5324663567737,pending_transcript
T-004,THread is being blocked,8049.968787786556,1399.9028141215306,pending_transcript
T-005,Parallel.Foreach,6883.301917669369,337.86590141536743,pending_transcript
T-006,"for parallel work,",6883.301917669369,473.2362491801243,pending_transcript
T-007,not parallel lack of work in case,6883.301917669369,608.6065969448812,pending_transcript
T-008,of db calls,6883.301917669369,743.976944709638,pending_transcript
T-009,Parallel.Foreachasync,5334.968482610775,911.1993364739611,pending_transcript
T-010,"PARALLEL.FOREACH NEED FOR MULTIPLE THREADS WORKING,",3620.79620526882,746.518128852923,pending_transcript
T-011,"IN I/O CALLS THERE IS NO WORK, SO THREADS ARE BEING BLOCKED",3620.79620526882,771.518128852923,pending_transcript
T-012,Sumary,3679.5152779814052,443.13662500770806,pending_transcript
T-013,NEED TO USE SEMAPHORESLIM + WHENALL                        NEED TO USE PARALLEL.FOREACHASYNC,3672.705015339201,890.7072736951478,pending_transcript
T-014,1 IF YOU NEED TO PRESERVE TASK ORDER,3568.5420420819864,996.6499823967271,pending_transcript
T-015,2 IF YOU NEED SIMPLE COLLECTION OF RESULTS OF PAR TASKS,3568.5420420819864,1021.6499823967271,pending_transcript
T-016,3 IF YOU WANT BEST EFFORT(NO CANCELLATOIN OF FURTHER TASKS ON,3568.5420420819864,1046.649982396727,pending_transcript
T-017,FAIL),3568.5420420819864,1071.649982396727,pending_transcript
T-018,4 IF THE NUMBER OF TASKS NOT TOO LARGE(ALLOCATES EACH TASK),3568.5420420819864,1096.649982396727,pending_transcript
T-019,1 IF YOU DONT NEED TO PRESERVE ORDER,4380.979061188476,1011.6866487835315,pending_transcript
T-020,2 IF YOU DONT NEED COLLECTION OF RESULTS,4380.979061188476,1036.6866487835314,pending_transcript
T-021,(YOU MIGHT NEED THREAD SAFE COLLECTION OF RESULTS IF YOU NEED ),4380.979061188476,1061.6866487835314,pending_transcript
T-022,3 IF YOU NEED TO RUN A LOT OF TASKS,4380.979061188476,1086.6866487835314,pending_transcript
T-023,4 IF YOU NEED CANCEL FURTHER TASKS ON FIRST FAIL,4380.979061188476,1111.6866487835314,pending_transcript
T-024,Sepaphoreslim,2605.3948963307575,696.2887069855148,pending_transcript
T-025,parallel calls,2605.3948963307575,774.0664932403976,pending_transcript
T-026,when does the work,1212.182815808741,607.8038048637114,pending_transcript
T-027,for tasks start?,1212.182815808741,685.5815911185942,pending_transcript
T-028,create collection with,1150.364633990559,805.379543943967,pending_transcript
T-029,some async code inside (Task inside),1150.364633990559,883.1573301988498,pending_transcript
T-030,started in foreach,1186.1466208386973,1742.5803419590825,pending_transcript
