source_id,fileId_short,decision,target_region,initial_subregion,reason
S-299,d395b86f3c,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
S-300,a82a739377,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
S-020,17852964fb,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-001,66dd53e7f8,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
S-021,1a94998582,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-037,9860304323,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,special/request handlers and HandleRequestAsync short-circuit
S-039,7d74582b40,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,special/request handlers and HandleRequestAsync short-circuit
S-035,98308754b2,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,special/request handlers and HandleRequestAsync short-circuit
S-022,6b9e77f242,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-002,89edc9a877,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
S-038,00c04ce2d4,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,special/request handlers and HandleRequestAsync short-circuit
S-036,dc7d9b7c5b,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,special/request handlers and HandleRequestAsync short-circuit
S-003,e4a50dea2a,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
S-031,37383f13b0,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-030,6a9f996bc0,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-004,58d7299b32,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,UseAuthentication / AuthenticationMiddleware entry point
