source_id,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,nearest_labels_for_search_only,decision,target_region
S-203,266b142cb6,25739.329,1222.026,946.0,357.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-096: OnsigningIn | L-110: Cookie | L-109: summary | L-097: OnSignedIn | L-108: signingInContext,included-in-r02-v001,R02
S-204,92d1b8e4cf,25729.02,1595.378,914.0,424.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-096: OnsigningIn | L-110: Cookie | L-097: OnSignedIn | L-108: signingInContext | L-109: summary,included-in-r02-v001,R02
S-205,50b04a40dc,25721.204,2208.086,1010.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-096: OnsigningIn | L-097: OnSignedIn | L-110: Cookie | L-103: ONValidatePrincipal | L-108: signingInContext,included-in-r02-v001,R02
S-206,fd05f17053,25727.886,2685.662,789.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-097: OnSignedIn | L-096: OnsigningIn | L-103: ONValidatePrincipal | L-107: signedInContext | L-108: signingInContext,included-in-r02-v001,R02
S-207,1cf0b29a4f,25725.211,3375.728,566.0,324.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-097: OnSignedIn | L-103: ONValidatePrincipal | L-096: OnsigningIn | L-107: signedInContext | L-106: ValidatePrincipalContext,included-in-r02-v001,R02
S-208,05dbbd258a,25737.423,3706.864,944.0,469.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-103: ONValidatePrincipal | L-097: OnSignedIn | L-106: ValidatePrincipalContext | L-096: OnsigningIn | L-107: signedInContext,included-in-r02-v001,R02
S-209,2a04f5019d,25748.377,4384.864,893.0,233.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-103: ONValidatePrincipal | L-097: OnSignedIn | L-104: OnSignigOut | L-106: ValidatePrincipalContext | L-107: signedInContext,included-in-r02-v001,R02
S-210,4e59e8f2ed,25747.249,4632.329,677.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-103: ONValidatePrincipal | L-104: OnSignigOut | L-097: OnSignedIn | L-106: ValidatePrincipalContext | L-105: SingingOutContext,included-in-r02-v001,R02
S-211,da130bb541,25730.804,5124.45,872.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-104: OnSignigOut | L-103: ONValidatePrincipal | L-098: OnRedirectToLogin (Challenge) | L-105: SingingOutContext | L-106: ValidatePrincipalContext,included-in-r02-v001,R02
S-212,a059f1e03e,25734.13,5588.693,958.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge) | L-103: ONValidatePrincipal | L-105: SingingOutContext | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-213,4c416e3fa2,25756.029,6208.243,548.0,322.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge) | L-099: OnRedirectToAccDenied (Forbid) | L-105: SingingOutContext | L-087: cookieredirectcontext,included-in-r02-v001,R02
S-214,10b2c7157c,25760.484,6537.212,910.0,338.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-098: OnRedirectToLogin (Challenge) | L-104: OnSignigOut | L-099: OnRedirectToAccDenied (Forbid) | L-105: SingingOutContext | L-100: OnRedirectToLogOut,included-in-r02-v001,R02
S-215,de2b226641,25752.211,7206.571,792.0,291.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-098: OnRedirectToLogin (Challenge) | L-099: OnRedirectToAccDenied (Forbid) | L-104: OnSignigOut | L-100: OnRedirectToLogOut | L-101: OnRedirectToReturnUrl,included-in-r02-v001,R02
S-216,d67bd02b55,25760.509,7508.491,906.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-099: OnRedirectToAccDenied (Forbid) | L-098: OnRedirectToLogin (Challenge) | L-100: OnRedirectToLogOut | L-101: OnRedirectToReturnUrl | L-104: OnSignigOut,included-in-r02-v001,R02
