source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,region_decision,coverage_status,nearest_labels_for_search_only,review_note
S-110,a56a81d70b5843e28eeab250e8d8b2d9c9bec6a1,a56a81d70b,17704.932,19635.835,668.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-071: HandleAuthentiicateflow | L-069: Set token manually | L-070: OnMessageReceived | L-068: Stop auth early, set result | L-067: Auth Header lookup",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-111,fe6aabb78f4dc465239ef8e408d1356cfb5a85a7,fe6aabb78f,17700.056,20126.735,664.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-071: HandleAuthentiicateflow | L-069: Set token manually | L-068: Stop auth early, set result | L-070: OnMessageReceived | L-067: Auth Header lookup",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-112,e6cf9ef69786c3292059169c8c0f4cf0bfd11984,e6cf9ef697,17688.612,20598.53,859.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-067: Auth Header lookup | L-068: Stop auth early, set result | L-071: HandleAuthentiicateflow | L-069: Set token manually | L-070: OnMessageReceived",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-113,8401273c668bf05b26924838966d5499eec46d1b,8401273c66,16875.66,19549.393,663.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-069: Set token manually | L-070: OnMessageReceived | L-071: HandleAuthentiicateflow | L-068: Stop auth early, set result | L-067: Auth Header lookup",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-114,b87e0d84c2042a21714cb87d399af91e311c1549,b87e0d84c2,16735.183,20165.114,774.0,477.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-069: Set token manually | L-068: Stop auth early, set result | L-070: OnMessageReceived | L-071: HandleAuthentiicateflow | L-067: Auth Header lookup",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-115,038f76aba4324a3ec805b430665a0516b47a61af,038f76aba4,16680.578,20668.815,942.0,467.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-068: Stop auth early, set result | L-069: Set token manually | L-067: Auth Header lookup | L-070: OnMessageReceived | L-071: HandleAuthentiicateflow",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-116,95ffb850a55493b2ff683301fd8e8567cb7bd8a9,95ffb850a5,16705.317,21288.57,867.0,429.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-068: Stop auth early, set result | L-067: Auth Header lookup | L-069: Set token manually | L-070: OnMessageReceived | L-071: HandleAuthentiicateflow",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-117,bf9c31f696e7dece2bbe8ca678ad609e4283aec1,bf9c31f696,16680.666,21728.013,944.0,442.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-067: Auth Header lookup | L-068: Stop auth early, set result | L-066: Setup Token Validation params | L-069: Set token manually | L-070: OnMessageReceived",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-118,fdea00b57d332b20180f1b1f2b4d6ebc15c469ed,fdea00b57d,17851.729,22351.085,756.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-067: Auth Header lookup | L-066: Setup Token Validation params | L-068: Stop auth early, set result | L-065: Token Validation | L-069: Set token manually",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-119,ff883332c0d338b0697c896f146e6d657c1fbb0b,ff883332c0,17863.041,22835.014,866.0,254.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-066: Setup Token Validation params | L-067: Auth Header lookup | L-068: Stop auth early, set result | L-065: Token Validation | L-069: Set token manually",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-120,25a2576633164faf096a2eeede17407b56dc32a4,25a2576633,17892.66,23164.916,673.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-066: Setup Token Validation params | L-067: Auth Header lookup | L-065: Token Validation | L-068: Stop auth early, set result | L-049: ontokenValidated/Succes path",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
