source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,region_decision,coverage_status,nearest_labels_for_search_only,review_note
S-077,dcbb9c9d0ae9ec516a2abd5605a3cc7cb3089fc6,dcbb9c9d0a,6101.311,18301.034,996.0,357.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-025: sign out | L-023: session handlingsign in/out AuthneitcationHandler | L-008: they impliauthenticationsign in/out handler | L-026: sign in | L-024: forbid,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-078,075bb93c1e8123b1e3163c42fdc0f3e572854df7,075bb93c1e,5489.737,19670.738,951.0,345.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-026: sign in | L-008: they impliauthenticationsign in/out handler | L-025: sign out | L-023: session handlingsign in/out AuthneitcationHandler | L-024: forbid,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-079,0a0f66784a74bfe2e9f596ad80121c541ac23b95,0a0f66784a,5514.913,20019.848,915.0,482.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-026: sign in | L-025: sign out | L-008: they impliauthenticationsign in/out handler | L-023: session handlingsign in/out AuthneitcationHandler | L-012: oidc shit,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-080,6cd9a6b2b362074bbc0ce7605f7761df8bd2e1cb,6cd9a6b2b3,5541.941,20534.848,821.0,482.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-026: sign in | L-025: sign out | L-008: they impliauthenticationsign in/out handler | L-023: session handlingsign in/out AuthneitcationHandler | L-012: oidc shit,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-081,d2741d4082274b6b5655c08162cfd6a7602c3daf,d2741d4082,5533.678,21040.005,964.0,382.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-026: sign in | L-025: sign out | L-008: they impliauthenticationsign in/out handler | L-012: oidc shit | L-023: session handlingsign in/out AuthneitcationHandler,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-082,d651c3f7a8fb788d5a3a74652f558e5b9eba8531,d651c3f7a8,5504.845,21466.838,955.0,275.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-012: oidc shit | L-026: sign in | L-025: sign out | L-008: they impliauthenticationsign in/out handler | L-137: compact one,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-083,ffd0aac27cbb42c57791af0aa3fcedb5b56daf22,ffd0aac27c,6658.441,19668.181,874.0,482.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-025: sign out | L-026: sign in | L-008: they impliauthenticationsign in/out handler | L-023: session handlingsign in/out AuthneitcationHandler | L-024: forbid,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-084,831c21e7790421fa2dd8f76d233d2e88abd07e8d,831c21e779,6660.904,20184.848,903.0,482.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-025: sign out | L-026: sign in | L-008: they impliauthenticationsign in/out handler | L-023: session handlingsign in/out AuthneitcationHandler | L-012: oidc shit,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-085,5d4e81cec5c33742c9299109808a0094fa475fe9,5d4e81cec5,6636.178,20690.671,1009.0,364.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-025: sign out | L-026: sign in | L-008: they impliauthenticationsign in/out handler | L-023: session handlingsign in/out AuthneitcationHandler | L-012: oidc shit,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
S-086,32140d5d9332062314464f811953fae41108d650,32140d5d93,6650.345,21082.338,954.0,244.0,R04-oidc-flow-pkce-signin-challenge,R04,P04-R03B-R04-oidc-and-outcomes-tail,R04,processed-in-r04-v001,L-025: sign out | L-026: sign in | L-008: they impliauthenticationsign in/out handler | L-012: oidc shit | L-023: session handlingsign in/out AuthneitcationHandler,Included in R04 during Stage3 large combined JWT/OIDC pass after local boundary review.
