source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,p01_boundary_decision,p01_boundary_note
S-020,20,5ce23dc3c5795719a3ad286dea3dfc6573963e73,5ce23dc3c5,7451.797,1583.129,1042.0,376.0,0.0,1,R01,apicontroller-automatic-modelstate-filter-and-default-problemdetails,P01-R01-R02,"ApiController automatic ModelState invalid response, modelstate filter, implicit required for non-nullable refs and default ProblemDetails behavior.",L-019: implicit required for non nullable reference types | L-018: modelstate filter | L-017: APICONTROLLER  AND | L-005: for system.text.json patch(we write modelstate errors manually),processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: ApiController automatic ModelState invalid response, implicit required and default validation ProblemDetails.",R01,no-for-r01-v001,include-r01,Included in P01 after visual/semantic boundary review.
S-021,21,7b13533841d09fe7695b0faeb118af3d550de7d0,7b13533841,7413.703,1032.875,1096.0,482.0,0.0,1,R01,apicontroller-automatic-modelstate-filter-and-default-problemdetails,P01-R01-R02,"ApiController automatic ModelState invalid response, modelstate filter, implicit required for non-nullable refs and default ProblemDetails behavior.",L-019: implicit required for non nullable reference types | L-018: modelstate filter | L-017: APICONTROLLER  AND | L-005: for system.text.json patch(we write modelstate errors manually),processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: ApiController automatic ModelState invalid response, implicit required and default validation ProblemDetails.",R01,no-for-r01-v001,include-r01,Included in P01 after visual/semantic boundary review.
S-022,22,51e45dd051b96e80374811045d99bb89eb16484a,51e45dd051,7402.6,2759.22,1217.0,309.0,0.0,1,R01,apicontroller-automatic-modelstate-filter-and-default-problemdetails,P01-R01-R02,"ApiController automatic ModelState invalid response, modelstate filter, implicit required for non-nullable refs and default ProblemDetails behavior.",L-019: implicit required for non nullable reference types | L-018: modelstate filter | L-017: APICONTROLLER  AND | L-005: for system.text.json patch(we write modelstate errors manually),processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: ApiController automatic ModelState invalid response, implicit required and default validation ProblemDetails.",R01,no-for-r01-v001,include-r01,Included in P01 after visual/semantic boundary review.
S-023,23,8cf739f2a71d7bba20f849fe5f0855e46a2f7777,8cf739f2a7,7433.362,3118.782,1215.0,159.0,0.0,1,R01,apicontroller-automatic-modelstate-filter-and-default-problemdetails,P01-R01-R02,"ApiController automatic ModelState invalid response, modelstate filter, implicit required for non-nullable refs and default ProblemDetails behavior.",L-019: implicit required for non nullable reference types | L-018: modelstate filter | L-017: APICONTROLLER  AND | L-005: for system.text.json patch(we write modelstate errors manually),processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: ApiController automatic ModelState invalid response, implicit required and default validation ProblemDetails.",R01,no-for-r01-v001,include-r01,Included in P01 after visual/semantic boundary review.
S-024,24,e4822953ea345b5858850f0cc83b6174db325fb4,e4822953ea,7399.996,2266.668,1275.0,454.0,0.0,1,R01,apicontroller-automatic-modelstate-filter-and-default-problemdetails,P01-R01-R02,"ApiController automatic ModelState invalid response, modelstate filter, implicit required for non-nullable refs and default ProblemDetails behavior.",L-019: implicit required for non nullable reference types | L-018: modelstate filter | L-017: APICONTROLLER  AND | L-005: for system.text.json patch(we write modelstate errors manually),processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: ApiController automatic ModelState invalid response, implicit required and default validation ProblemDetails.",R01,no-for-r01-v001,include-r01,Included in P01 after visual/semantic boundary review.
S-001,1,41ee41a1ab3ad121878f27b9e62f6332ecc9e268,41ee41a1ab,2719.796,1173.468,678.0,482.0,0.0,1,R02,invalidmodelstateresponsefactory-manual-response-helper,P01-R01-R02,"InvalidModelStateResponseFactory callback, building current-config invalid modelstate responses manually with ActionContext.","L-014: CREATE PD FROM MODELSTATE | L-013: HELPER FOR MANUAL VALIDATOIN | L-015: NOT RELATED, ABOUT PATCH VALIDATION | L-007: AUTO RESPONSE ON INVALID MODELSTATE,",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: InvalidModelStateResponseFactory callback and manual response helper with ActionContext.,R02,no-for-r02-v001,include-r02,Included in P01 after visual/semantic boundary review.
S-002,2,fdb9f4cb5c8df27df6dbf342340e3e2bbe170729,fdb9f4cb5c,2755.601,1685.939,749.0,447.0,0.0,1,R02,invalidmodelstateresponsefactory-manual-response-helper,P01-R01-R02,"InvalidModelStateResponseFactory callback, building current-config invalid modelstate responses manually with ActionContext.","L-014: CREATE PD FROM MODELSTATE | L-013: HELPER FOR MANUAL VALIDATOIN | L-015: NOT RELATED, ABOUT PATCH VALIDATION | L-004: need to check if jsonpatchdoc valid first",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: InvalidModelStateResponseFactory callback and manual response helper with ActionContext.,R02,no-for-r02-v001,include-r02,Included in P01 after visual/semantic boundary review.
S-003,3,a352fc31fc571883ead751102d86968bad9d868a,a352fc31fc,2762.034,2179.394,775.0,482.0,0.0,1,R02,invalidmodelstateresponsefactory-manual-response-helper,P01-R01-R02,"InvalidModelStateResponseFactory callback, building current-config invalid modelstate responses manually with ActionContext.","L-014: CREATE PD FROM MODELSTATE | L-015: NOT RELATED, ABOUT PATCH VALIDATION | L-013: HELPER FOR MANUAL VALIDATOIN | L-004: need to check if jsonpatchdoc valid first",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: InvalidModelStateResponseFactory callback and manual response helper with ActionContext.,R02,no-for-r02-v001,include-r02,Included in P01 after visual/semantic boundary review.
S-004,4,65843b420f82573d18728170c965a12ed50d3f94,65843b420f,1773.694,1210.717,858.0,343.0,0.0,1,R02,invalidmodelstateresponsefactory-manual-response-helper,P01-R01-R02,"InvalidModelStateResponseFactory callback, building current-config invalid modelstate responses manually with ActionContext.","L-007: AUTO RESPONSE ON INVALID MODELSTATE, | L-014: CREATE PD FROM MODELSTATE | L-009: SO WE CAN GET IT AND EXECUTE | L-006: WHEN YOU HAVE SOME RULES, THAT CAN MAKE MODELSTATE INVALID AND YOU DIDNT REMOVE",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: InvalidModelStateResponseFactory callback and manual response helper with ActionContext.,R02,no-for-r02-v001,include-r02,Included in P01 after visual/semantic boundary review.
S-005,5,de5be712a22d58f9ce3b8ad5e2ed8f3e2cd6732e,de5be712a2,1797.824,1574.31,709.0,451.0,0.0,1,R02,invalidmodelstateresponsefactory-manual-response-helper,P01-R01-R02,"InvalidModelStateResponseFactory callback, building current-config invalid modelstate responses manually with ActionContext.",L-009: SO WE CAN GET IT AND EXECUTE | L-010: IT WITH OUR ACTIONCONTEXT TO | L-011: DO MANUAL VALIDATION BUT WITH | L-012: CURRENT CONFIG,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: InvalidModelStateResponseFactory callback and manual response helper with ActionContext.,R02,no-for-r02-v001,include-r02,Included in P01 after visual/semantic boundary review.
