text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,"import axios, { AxiosError, AxiosInstance, AxiosRequestConfig, AxiosResponse } from ""axios"";",8594.781976570423,1584.5897481240745,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-002,npm i axios,8674.875621454321,1386.90467596695,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-003,# or,8706.16559185227,1421.90467596695,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-004,pnpm add axios,8654.085635797583,1456.90467596695,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-005,UPLOAD/DOWNLOAD PROGRESS,5550.781712480431,5837.8326609145015,R03,closed,03-transcript-R03-fetch-adapter-ndjson-streaming-and-progress.md,07-full-combined-final-transcript.md
T-006,revomoving interseptors,11110.772004924862,1559.8242651397163,R05,closed,05-transcript-R05-interceptor-lifecycle-and-ejection.md,07-full-combined-final-transcript.md
T-007,typed api,8999.943461427722,1905.393599462696,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-008,typed request object,6188.276743898424,2738.265603216358,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-009,params serialization,8918.276743898423,7111.869610723683,R04,closed,04-transcript-R04-typed-clients-typed-requests-files-and-params-serialization.md,07-full-combined-final-transcript.md
T-010,!!!,13750.211848625147,2211.0875871264143,R06,closed,06-transcript-R06-requestresponse-interceptors-validatestatus-and-token-refresh.md,07-full-combined-final-transcript.md
T-011,interceptors,14066.337524510767,1165.3588396261457,R06,closed,06-transcript-R06-requestresponse-interceptors-validatestatus-and-token-refresh.md,07-full-combined-final-transcript.md
T-012,"streaming, ndjson",4785.418288197663,1078.1398454156645,R03,closed,03-transcript-R03-fetch-adapter-ndjson-streaming-and-progress.md,07-full-combined-final-transcript.md
T-013,fetch adapter,4785.418288197663,1193.1398454156645,R03,closed,03-transcript-R03-fetch-adapter-ndjson-streaming-and-progress.md,07-full-combined-final-transcript.md
T-014,axios options,968.8237571088157,206.16940502929685,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-015,"url,method,baseurl",432.38151647616723,1539.5215203959349,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-016,allowabsoluteurls,1697.048203487886,1507.5216119486693,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-017,headers,1713.7147684292922,1977.5216119486693,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-018,paramsSerializer,1747.048203487886,2424.1883294779664,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-019,params,357.048203487886,2470.8548944193726,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-020,data,417.048203487886,2954.1883294779664,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-021,timeout,1753.7147684292922,2997.52176453656,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-022,withCredentials,440.3813333706985,3367.52176453656,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-023,auth,1747.048203487886,3350.8550470072632,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-024,transformRequest,474.38200475741723,6990.855291147888,R02,closed,02-transcript-R02-transforms-cancellation-progress-and-interceptor-boundaries.md,07-full-combined-final-transcript.md
T-025,signal,1780.3813333706985,4384.1883294779645,R02,closed,02-transcript-R02-transforms-cancellation-progress-and-interceptor-boundaries.md,07-full-combined-final-transcript.md
T-026,validateStatus,1807.048203487886,4854.1883294779645,R02,closed,02-transcript-R02-transforms-cancellation-progress-and-interceptor-boundaries.md,07-full-combined-final-transcript.md
T-027,validatestatus and,3703.048203487886,4856.8550775248395,R03,closed,03-transcript-R03-fetch-adapter-ndjson-streaming-and-progress.md,07-full-combined-final-transcript.md
T-028,response interseptors,3703.048203487886,4956.5218255717145,R03,closed,03-transcript-R03-fetch-adapter-ndjson-streaming-and-progress.md,07-full-combined-final-transcript.md
T-029,transformResponse,1871.0480203824172,7045.744298716246,R02,closed,02-transcript-R02-transforms-cancellation-progress-and-interceptor-boundaries.md,07-full-combined-final-transcript.md
T-030,responseType,450.38163854647973,3880.8550470072632,R01,closed,01-transcript-R01-axios-request-configuration-options.md,07-full-combined-final-transcript.md
T-031,cancelToken,407.048203487886,5007.521764536558,R02,closed,02-transcript-R02-transforms-cancellation-progress-and-interceptor-boundaries.md,07-full-combined-final-transcript.md
