source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-012,12,7871ad7bfaa8ee1ae2ac30f077a572c2245e9f15,7871ad7bfa,2069.747,10.0,786.0,440.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-013,13,b5ea95e89f6ec09227006f0e51b77d81a8114d84,b5ea95e89f,2045.932,459.944,812.0,377.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-014,14,a14a102e72d4d529679a090202bf759c731e9bea,a14a102e72,2093.21,842.889,853.0,440.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-015,15,6ff8129ccdf1673690f099d8b0ace377463fb2a0,6ff8129ccd,2043.821,1323.5,794.0,401.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-016,16,d6530c1ab77d1faad2f1fbc656322d924083eefa,d6530c1ab7,2051.169,1740.622,768.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-017,17,55f797c6ac506386bd1ffa1cdbefbfe8adfb83ae,55f797c6ac,2034.497,2233.717,812.0,436.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-018,18,606861dc7d3c6896298cba3d34ed3652335ea65d,606861dc7d,2051.44,2678.339,705.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-019,19,11d33025785cee27af4fe7b99987f2aa473b7d1b,11d3302578,2005.775,3149.217,685.0,465.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-020,20,31d4ca20464dd784a7670103682d83c7f9fbfa84,31d4ca2046,1973.664,3677.384,687.0,382.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-021,21,fd280e3ed446b80be817e88f64a7aa0609074811,fd280e3ed4,1951.249,4075.376,695.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
S-022,22,9f9deb002863ecc4f5375b51363d6932ae668b41,9f9deb0028,1887.683,4562.279,782.0,427.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-002: cache tag helper | L-004: tempdata viewdata viewbag | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: base MVC/Razor Products app, views, layouts, models, view models, partials and view components.",R01,no-for-r01-v001
