source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-030,30,a43f30d8061fb73394430fbf0c0730f91cab4ebb,a43f30d806,750.638,2245.518,702.0,482.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-029,29,9a7dbd701feab665c4718d5b22fd3bc976088d76,9a7dbd701f,733.208,2756.202,860.0,419.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-031,31,a1f6d3f5a77d39cded33c609c8f1f5ceac359f5e,a1f6d3f5a7,3190.3,2793.307,771.0,210.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-035,35,da008cadb6734760014c9ea01459a029e32885c7,da008cadb6,665.012,3669.794,806.0,463.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-036,36,6708b06ad20152ea541d67c4314d67fe7f6d8d0c,6708b06ad2,675.368,3282.415,822.0,267.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-034,34,fb66430395c1f1da12b7f4f60d19d8e8cd327a62,fb66430395,684.988,4148.294,862.0,183.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-028,28,039619cc9682442b48a1dcdec21e46382b808ad5,039619cc96,743.52,7008.429,811.0,402.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-027,27,5e759d648ad0209ce09ebd623b5390e424f03909,5e759d648a,799.001,7423.862,617.0,402.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-026,26,df2535d309733cb1fd9a2e7c81087d028c61c0b4,df2535d309,2973.512,9055.786,744.0,352.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-001: shows validation errors | L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
S-039,39,e5c5f6ebfeacaa573fb7b30d7f89b2a0e2ea1407,e5c5f6ebfe,2704.18,5077.169,867.0,205.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ViewData, ViewBag, TempData, PRG messages and validation flow.",R02,no-for-r02-v001
