use_id,image_id,filename,sha256_12,region_id,nearest_heading,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-72023c7685fb2fc306563b9f0e82f99363bee998,44c029505e2f.png,44c029505e2f,R03,"basics,responsecaching,setting cache control headers",4225.794396126548,316.10683507471276,949.0,428.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-002,image-a718cc1b42df13c497c23c2881179a13701f3074,5b43be68e6fb.png,5b43be68e6fb,R03,"basics,responsecaching,setting cache control headers",4229.127892220298,778.051272737478,809.0,457.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-003,image-9f7bbd114f661cdeb33393f519f01ea36528373c,ee1006f1c9db.png,ee1006f1c9db,R03,"basics,responsecaching,setting cache control headers",4241.294396126548,1265.5513337726343,686.0,434.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-004,image-bccf124c46b32cda5a2017503764bdbf6de4ac5c,0ad0201e7ce6.png,0ad0201e7ce6,R03,"basics,responsecaching,setting cache control headers",4256.627892220298,1752.5513948077905,714.0,436.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-005,image-fc8a27fc6f6857e62ddb3c65b425d56c9fb749ea,20d3b5069d21.png,20d3b5069d21,R03,"basics,responsecaching,setting cache control headers",4219.127770149986,2285.384707796072,829.0,373.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-006,image-e7d3eb85832894cdbbbde6b886bb6d7c1de04978,3f51234d6972.png,3f51234d6972,R03,"basics,responsecaching,setting cache control headers",4256.739098274987,2993.3687383834013,712.0,195.0,1.0,,T-002|T-008|T-001,"basics,responsecaching,setting cache control headers|response cache attr vary|vary",pending_transcript
IU-007,image-6dd646caea6b0f9b31b5ab4893c08603a802e06d,9a60cda08ccb.png,9a60cda08ccb,R07,when you dont need response caching,4238.901215851707,5642.5117596077735,726.0,220.0,1.0,,T-006|T-005|T-002,"when you dont need response caching|when you may need server response caching|basics,responsecaching,setting cache control headers",pending_transcript
IU-008,image-97d1d2b70fbbbe287c287e843e06bb97701011ef,82e41c7bc20f.png,82e41c7bc20f,R07,when you dont need response caching,4233.399325864781,4988.723806837891,665.0,377.0,1.0,,T-006|T-005|T-002,"when you dont need response caching|when you may need server response caching|basics,responsecaching,setting cache control headers",pending_transcript
IU-009,image-9f2d8b638b260d43b66a29c9a3758e6b06114d4b,b8d88abeaeb8.png,b8d88abeaeb8,R07,when you dont need response caching,4192.08106636549,4784.39049384961,704.0,159.0,1.0,,T-006|T-005|T-002,"when you dont need response caching|when you may need server response caching|basics,responsecaching,setting cache control headers",pending_transcript
IU-010,image-977a6647f5e3c866a271a391612ea9a11014d11f,2e3fc9d201cb.png,2e3fc9d201cb,R07,when you dont need response caching,4215.065874160235,4548.026757610268,731.0,199.0,1.0,,T-006|T-005|T-002,"when you dont need response caching|when you may need server response caching|basics,responsecaching,setting cache control headers",pending_transcript
