source_id,symbol_id,sha256,pixel_width,pixel_height,x,y,display_width,display_height,duplicate_of,image_file,module,transcript_status,question_status
S-001,image-72023c7685fb2fc306563b9f0e82f99363bee998,44c029505e2f2688bd029aca221d850c0d38ac5f3ae96980a7341b55d0f04873,949,428,0.0,0.0,949.0,428.0,,source/images/S-001.png,M01-foundations-freshness-validation,covered-by-v002-module,covered-by-v002-question-bank
S-002,image-a718cc1b42df13c497c23c2881179a13701f3074,5b43be68e6fbfa97337c101f1f26628453f1369b71684a42ae369a1afefe1577,809,457,0.0,0.0,809.0,457.0,,source/images/S-002.png,M01-foundations-freshness-validation,covered-by-v002-module,covered-by-v002-question-bank
S-003,image-9f7bbd114f661cdeb33393f519f01ea36528373c,ee1006f1c9db993555a765c6438b1b156ba079d55fa8eb6660a5f60e1510881c,686,434,0.0,0.0,686.0,434.0,,source/images/S-003.png,M01-foundations-freshness-validation,covered-by-v002-module,covered-by-v002-question-bank
S-004,image-bccf124c46b32cda5a2017503764bdbf6de4ac5c,0ad0201e7ce6d1a7bfa4a858f3ba973da33da0d05bad465f683c2f4fe88eca11,714,436,0.0,0.0,714.0,436.0,,source/images/S-004.png,M01-foundations-freshness-validation,covered-by-v002-module,covered-by-v002-question-bank
S-005,image-fc8a27fc6f6857e62ddb3c65b425d56c9fb749ea,20d3b5069d212a4da102e99fe26a5ed8fc1402348d4ea8fc17e6f922a4c2a614,829,373,0.0,0.0,829.0,373.0,,source/images/S-005.png,M01-foundations-freshness-validation,covered-by-v002-module,covered-by-v002-question-bank
S-006,image-e7d3eb85832894cdbbbde6b886bb6d7c1de04978,3f51234d6972e3e9cc9525dc8eb472a22363f4636ac74cd0d98f2c3fd5aca6a6,712,195,0.0,0.0,712.0,195.0,,source/images/S-006.png,M02-aspnet-endpoint-profiles-middleware,covered-by-v002-module,covered-by-v002-question-bank
S-007,image-6dd646caea6b0f9b31b5ab4893c08603a802e06d,9a60cda08ccb3773c4df57547595f786b44762bfd4895c8ce254f57887b7f966,722,219,0.0,0.0,726.0,220.0,,source/images/S-007.png,M02-aspnet-endpoint-profiles-middleware,covered-by-v002-module,covered-by-v002-question-bank
S-008,image-97d1d2b70fbbbe287c287e843e06bb97701011ef,82e41c7bc20f0b359547db2a8b1e30759fd838fd75830007ecefcdc10f3beee1,665,377,0.0,0.0,665.0,377.0,,source/images/S-008.png,M02-aspnet-endpoint-profiles-middleware,covered-by-v002-module,covered-by-v002-question-bank
S-009,image-9f2d8b638b260d43b66a29c9a3758e6b06114d4b,b8d88abeaeb8ead8a95e160f777e26cbd228f0c2a7097effca7b64b6a8d4ae9a,704,159,0.0,0.0,704.0,159.0,,source/images/S-009.png,M02-aspnet-endpoint-profiles-middleware,covered-by-v002-module,covered-by-v002-question-bank
S-010,image-977a6647f5e3c866a271a391612ea9a11014d11f,2e3fc9d201cb7665e7c65cc631c76ec772ca2415ae3364185e1783d15e443e50,731,199,0.0,0.0,731.0,199.0,,source/images/S-010.png,M02-aspnet-endpoint-profiles-middleware,covered-by-v002-module,covered-by-v002-question-bank
