text_id,text,x,y,font_size,text_sha256,region_id,coverage_status,assignment_count
T-001,so we can imagine if there are a lot of work,5570.884411514547,1561.71461854293,20px,b2bc8b7ca62feb90b527f44ceb2fd56152b78cb9b18a38a6e2f6cfc57977d9d0,R03,processed,1
T-002,in the begginning of each loop and before,5570.884411514547,1561.71461854293,20px,d176081942e74747e4b3b4fcfcc4e6beb4f6c1855fface8806083c2bd9916f39,R03,processed,1
T-003,async api thing,5570.884411514547,1561.71461854293,20px,e660d85f19bd6d356fbf829582610c3d76ac587ac3f28557e6812256e0c46473,R03,processed,1
T-004,Operation should be cancelled if user navigates away OR if you cant fetch something from ext api,2484.9876836182266,1353.1391466862115,20px,0d9b51fe4451d939ed7b33b174f37039a512e97b53fd14c62c2a1028d73ed3d8,R02,processed,1
T-005,Have token passed from controller and our source with using,2649.2963141141227,1425.9910279253672,20px,39c3249026fc10a45791ecc1f431810b46c53de69924a5a8206acec4d5678fb6,R02,processed,1
T-006,Creating linked cancellation token source by passing our two tokens,2594.2963141141227,1911.54656140515,20px,8cf1dfaf2250f2ddb0632bbea4f3c55dd3bc2473d890f1f2327f5d0ab1343da2,R02,processed,1
T-007,Note that you can pass one token or more tokens as well,2614.2963141141227,2364.3243281450414,20px,148e01724f3dfec5164b97b974c13fca932abae1af386fb6790e8d705c36ee9f,R02,processed,1
T-008,Passing token from linked source,2583.555652493029,2483.7687674679037,20px,2bc3f85747eec6316b69def4181908cd15e3959a8c2754b57e8cd9c8733c3110,R02,processed,1
T-009,!!!!!!! you are subscribing,3474.78618127731,2152.781495859279,20px,1342eaa91d51f1289f00aef69fca9847c44a70baffc998b3a194f8f743c23dbd,R02,processed,1
T-010,new token source,3474.78618127731,2152.781495859279,20px,31121a774c73607634cdf9c8588e471869d5166f8d5769675fcef2cb068ccd3b,R02,processed,1
T-011,to 2 tokens,3474.78618127731,2152.781495859279,20px,4b116136814de0929fb6aee537a6948189141bb2e17f4cfc67d42c7e54d88359,R02,processed,1
T-012,so produces by this source,3474.78618127731,2152.781495859279,20px,651b428512255c5dfd8088690ca6cdece86974e1d49289ae4896b1d140879732,R02,processed,1
