source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,r01_boundary_decision,r01_boundary_note
S-037,37,a1aad7f8bc39e467a778fdfd01c340547eec550f,a1aad7f8bc,5348.991,1089.43,820.0,482.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-012: querytrackingbehavior | L-011: autodetectchangesenabled | L-010: clear | L-015: !!! | L-009: detectchanges,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-038,38,ce104a49e0a810a006ec0412549aa7f17886a542,ce104a49e0,5347.018,1606.192,609.0,482.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-015: !!! | L-012: querytrackingbehavior | L-011: autodetectchangesenabled | L-010: clear | L-009: detectchanges,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-039,39,84be6985df31b4ea9758f915208286c96d07fbcb,84be6985df,5314.807,2131.681,849.0,426.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-015: !!! | L-012: querytrackingbehavior | L-011: autodetectchangesenabled | L-010: clear | L-009: detectchanges,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-040,40,0f3c1873f99139d7d426462acefc85bf55d48c5a,0f3c1873f9,5298.537,2588.858,794.0,482.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-015: !!! | L-006: common tasks | L-012: querytrackingbehavior | L-011: autodetectchangesenabled | L-016: clear,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-041,41,8bdfb4c28b4780be8a7273f8c24d738a753db14e,8bdfb4c28b,5296.026,3068.859,724.0,482.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-015: !!! | L-016: clear | L-017: after savechanges | L-018: entities are still tracked | L-006: common tasks,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-042,42,0df22bef2b296486a2b1cffff239fd09324ef1a8,0df22bef2b,5281.307,3608.015,852.0,452.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-015: !!! | L-018: entities are still tracked | L-017: after savechanges | L-016: clear | L-023: autodetect,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-043,43,45c7135996ae043e93538f5a7089a72074e93bb8,45c7135996,5276.474,4065.181,635.0,415.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-023: autodetect | L-024: cahnges | L-018: entities are still tracked | L-017: after savechanges | L-016: clear,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-044,44,d6b4a82dc1b33a4c5c6b57298ca05cd9738987ec,d6b4a82dc1,5293.474,4431.681,649.0,442.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-023: autodetect | L-024: cahnges | L-018: entities are still tracked | L-017: after savechanges | L-016: clear,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-045,45,a1af1a5641143a17bed93827b6626733f04f05cd,a1af1a5641,5294.807,4900.348,849.0,390.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-023: autodetect | L-024: cahnges | L-021: querytacking | L-022: behavior | L-096: full entity entry list,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
S-046,46,d8e9cb05bf062bc993966acddcc8e9b11b4dbb8f,d8e9cb05bf,5302.355,5408.443,854.0,194.0,0.0,1,R01-changetracker-core-methods-detection-cascade-debugview,P01-R01-changetracker-core-methods-detection-cascade-debugview,"ChangeTracker itself: HasChanges, DetectChanges, Clear, AutoDetectChangesEnabled, QueryTrackingBehavior, cascade/delete timings, AcceptAllChanges, DebugView.",L-023: autodetect | L-024: cahnges | L-021: querytacking | L-022: behavior | L-096: full entity entry list,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to ChangeTracker core methods/properties/detection/cascade/debug behavior.
