text_id,dom_group_index,x,y,group_x,group_y,rotation,font_size,fill,text
T-001,28,6036.785029965713,4408.964052582036,6036.785029965713,4367.067612917322,0.0,47.55555013020871px,#d3d3d3,about await foreach
T-002,28,6036.785029965713,4468.408490244797,6036.785029965713,4367.067612917322,0.0,47.55555013020871px,#d3d3d3,and possible sync reading/writing
T-003,28,6036.785029965713,4527.852927907557,6036.785029965713,4367.067612917322,0.0,47.55555013020871px,#d3d3d3,and async awaiting
T-004,28,6036.785029965713,4646.741803233079,6036.785029965713,4367.067612917322,0.0,47.55555013020871px,#d3d3d3,valuetask
T-005,38,760.1420572479892,2559.801549205812,760.1420572479892,2460.4970253551496,0.0,112.71796123798231px,#d3d3d3,trycomplete
T-006,45,3413.176158334848,6112.226778453882,3413.176158334848,6060.463138789168,0.0,58.75555013020859px,#d3d3d3,waitto...
T-007,45,3413.176158334848,6185.671216116642,3413.176158334848,6060.463138789168,0.0,58.75555013020859px,#d3d3d3,tryread/trywrite
T-008,51,3547.180481214803,4903.049573434017,3547.180481214803,4818.473555510025,0.0,96.0000203450526px,#d3d3d3,singlereader
T-009,51,3547.180481214803,5023.049598865332,3547.180481214803,4818.473555510025,0.0,96.0000203450526px,#d3d3d3,singlewriter
T-010,54,2438.0433874491982,6115.745510946067,2438.0433874491982,6076.511651448996,0.0,44.533325195312514px,#d3d3d3,examples when it can make sense
T-011,59,2468.812727374435,6148.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,1 may need to do something when you processed currently avalable chunk and
T-012,59,2468.812727374435,6173.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,the stream isnt ended yet
T-013,59,2468.812727374435,6198.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,2 batch processing of sync available at the moment items
T-014,59,2468.812727374435,6223.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,you add to batch if there is some available and dont wait automatically
T-015,59,2468.812727374435,6248.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,like you will do with readallasync
T-016,59,2468.812727374435,6273.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,3 may want to give up after some count of attempts or
T-017,59,2468.812727374435,6298.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,"after some time of waiting start, after losed race"
T-018,59,2468.812727374435,6323.030683579383,2468.812727374435,6130.410683579383,0.0,20px,#d3d3d3,and not wait forever
T-019,83,10731.156782550219,2626.8979251703568,10731.156782550219,2134.712627685005,0.0,558.6666259765626px,#d3d3d3,websockets example
T-020,84,2377.7056850674517,265.85403012242864,2377.7056850674517,177.32686557164743,0.0,100.48486328124996px,#d3d3d3,unbounded channel
T-021,85,2387.4027287464287,947.0661328390481,2387.4027287464287,858.5389682882669,0.0,100.48486328124996px,#d3d3d3,bounded channel
T-022,86,2059.6046877840167,96.5335565737693,2059.6046877840167,10.0,0.0,98.22197113935222px,#d3d3d3,channeltypes and their options
T-023,87,2510.1034074941863,1547.6149943188918,2510.1034074941863,1472.4989536542853,0.0,85.2622482004614px,#d3d3d3,fullmodeoptions
T-024,88,4790.49965644787,1117.6148417310012,4790.49965644787,1042.4988010663947,0.0,85.2622482004614px,#d3d3d3,channelreader
T-025,89,4783.388572463495,1543.3925923820432,4783.388572463495,1468.2765517174366,0.0,85.2622482004614px,#d3d3d3,channelreader
T-026,90,4804.502174315743,2039.216784974119,4804.502174315743,1964.1007443095125,0.0,85.2622482004614px,#d3d3d3,write
T-027,91,4845.527846641464,2546.909092666426,4845.527846641464,2471.79305200182,0.0,85.2622482004614px,#d3d3d3,read
T-028,92,4849.704860118598,3032.8350363304585,4849.704860118598,2957.718995665852,0.0,85.2622482004614px,#d3d3d3,readallasync
T-029,93,4908.616129643429,4156.016737842988,4908.616129643429,4056.3084241882934,0.0,113.17629245708787px,#d3d3d3,async waiting
T-030,94,4696.120761281989,228.78565839476806,4696.120761281989,122.20421705362241,0.0,120.97779947916646px,#d3d3d3,channelwriter/reader
T-031,95,4705.570275241556,410.92443407400697,4705.570275241556,351.1493373860303,0.0,67.84914493527427px,#d3d3d3,readasync/writeasync/readallasync/complete
T-032,95,4705.570275241556,495.73586524309974,4705.570275241556,351.1493373860303,0.0,67.84914493527427px,#d3d3d3,and try versions
T-033,96,4010.237084323587,1078.924434074007,4010.237084323587,1019.1493373860303,0.0,67.84914493527427px,#d3d3d3,create and get
T-034,96,4010.237084323587,1163.7358652430999,4010.237084323587,1019.1493373860303,0.0,67.84914493527427px,#d3d3d3,reader or writer
T-035,98,1308.9468894861866,6650.633455558413,1308.9468894861866,6602.210945150384,0.0,54.963121916037416px,#d3d3d3,read group of items
T-036,98,1308.9468894861866,6719.33735795346,1308.9468894861866,6602.210945150384,0.0,54.963121916037416px,#d3d3d3,until there is nothing to read
T-037,98,1308.9468894861866,6788.0412603485065,1308.9468894861866,6602.210945150384,0.0,54.963121916037416px,#d3d3d3,and process the whole group
