source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,U-001,3f489f49ce004e8ab59fa8703a94a6727429620e,10.0,164.10535275026768,851.0,248.0,R01,unprocessed,
S-002,U-002,5f30ff37bfda076969946fd0cc2e63b9afd43031,1117.0351100112457,220.93354618362446,964.0,340.0,R01,unprocessed,
S-003,U-003,12f8c0d943cb56ae6c3afdee5314ea780592a9c1,2203.5431478006867,263.3932006293189,914.0,463.0,R02,unprocessed,
S-004,U-004,3f7773d66b9a82d35288f8d1a660726be8adec0e,4497.8578490610125,268.2243058350937,968.0,482.0,R03,unprocessed,
S-005,U-005,bcd59e21931949039a5b71f4341ea2d6969ca658,3226.9578031344763,268.69366356862065,963.0,252.0,R02,unprocessed,
S-006,U-006,e865e7a7a4404ace9d9c104182ebf6ab706f4701,3206.0488601893994,585.2542881247277,943.0,311.0,R02,unprocessed,
S-007,U-007,3c5b513b554d40151398095d4d6bb837f70fbc62,1103.1362249201002,694.7113763653247,972.0,228.0,R01,unprocessed,
S-008,U-008,9b1f2465707499c4dea93c867ef8b3425bc587b2,3179.1699983286035,935.9209640391468,941.0,143.0,R02,unprocessed,
S-009,U-009,ced652fbb02070fe90988b88a665485cd9c69c4c,4528.653700218918,1026.5652482179062,919.0,296.0,R03,unprocessed,
S-010,U-010,233b3092409b98d3f5b37ab30321c1417152d7ef,1112.3045341269235,1077.8581381728532,806.0,482.0,R01,unprocessed,
S-011,U-011,b926d9c3b21fb83207fa59798ce20cf439d57c31,3194.3453627176586,1181.1473974352098,797.0,482.0,R02,unprocessed,
S-012,U-012,6695cb8ac852553faac13ca1245afb754eefef06,4535.199262192413,1386.5737244752304,896.0,135.0,R03,unprocessed,
S-013,U-013,650d948d51145dc1eda092a116c847e6a6e1ef42,4532.291367455571,1601.7820832398788,1022.0,376.0,R03,unprocessed,
S-014,U-014,904d12b18c0151466821acbcfe94a3bbec39165b,3145.850654723601,1724.1370824938035,969.0,159.0,R02,unprocessed,
S-015,U-015,c0d92f31b51a821207e7b53d06f491ec1f39c096,1112.6774809866238,1831.7974997451201,861.0,482.0,R01,unprocessed,
S-016,U-016,cbc8bc2e05465ffd9d631764d9bec26d0f01dc35,4547.365903427764,1979.5737244752304,1045.0,209.0,R03,unprocessed,
S-017,U-017,0b7c52976ae992c481a14fa49c9ad2a989facc4d,4559.088137517934,2349.46264812025,931.0,175.0,R03,unprocessed,
S-018,U-018,36e513d709f99ffadad89c79afc646c02459a691,4462.5564966022885,3038.740436312758,1082.0,300.0,R03,unprocessed,
S-019,U-019,951f97ac1a1af2f0476125e5b6441e6d17fb1220,4519.889779072992,3401.407153842055,944.0,108.0,R03,unprocessed,
