symbol_id,mime_type,sha1,intrinsic_width,intrinsic_height
image-58ad19c4c874e577dae6bbe92dca3f75adde5517,image/png,283c46950e59bf04db5bbdf9e0dfffec36fff985,100.0,100.0
image-0fcd4ed1a69cc3d0b35a83627f4c40bbd56e403b,image/png,b76385110f9bf1cbf061a17e2e6790d69e37028a,100.0,100.0
image-2dbe04c755e768a22ba84afe5f0d43e8868ab248,image/png,fe0b9df72e1087f11c0229cb29858dba7dd5ed1f,100.0,100.0
image-aea9355d0bb7341b6bc07fe27fc6c0835beecbad,image/png,eae807940928938b1cecd930931768f0868ec969,100.0,100.0
image-e1ba33d597b0c5513f9dc8e561306492ebb44c42,image/png,1d14988a5b7d4ce5696c58dc2fc2a45da4d5bb1e,100.0,100.0
image-0fb0f1559aa647eac9dd24024255cfbd759ff37a,image/png,f07f6a23f4a282d148d60129b5bad269635c5baf,100.0,100.0
image-13af665d83d0c2650b47be333ef61cf1a8645e93,image/png,841031c58a794223d9f5f1fcf0681ae49a4f8e65,100.0,100.0
image-1db52d41367aa7f918d3c63ad741524c72bb1275,image/png,dcf1c7cca4ecbe8d11697c7ee8108998e9fa8fd1,100.0,100.0
image-269fa79a1afedad81ab4f1afcc79d3ed8d203d1c,image/png,154bc170202164c5d3f12cd0323e3dacd52b3620,100.0,100.0
image-db1c200852ec883546f7419bfe77f99559b33d00,image/png,2561aca01b639280b438e53a842f73d60a24eded,100.0,100.0
image-32ed691619bda9b9708023e7e95ec261ec7eddf8,image/png,1e8a3ddf55804624cfabaeaaca52a58e672b5123,100.0,100.0
image-6ac81017324e8de593c1fd8021aad7a52616f5cd,image/png,66400009abf1eba7b0c6339c50c8eb0e62709aed,100.0,100.0
image-0016f4c0786d9239d1b4c10e3ff6a4592e1a3d5d,image/png,04ed203634681c553a4063f67f92f815395a18f5,100.0,100.0
image-b6ee9ebe39ec7327bc93d8efe3f9f4f6188ee97b,image/png,1414a5e4b8398e2bffaa7a2c26846742d522db6f,100.0,100.0
image-1fa4289ebe2fa82d592e13cb4ed842a6c12e9a2a,image/png,f038dc5150f267915621c03946f3e45798ba4432,100.0,100.0
image-a3c864d243fe59d736524987eb2611685b314f33,image/png,152ec8d7c70409491b72f80bcb5a9dee09397720,100.0,100.0
image-f6a403fb4864260683c9a048ae71550ad34e5f6e,image/png,0af1f49c31046a524cdd0330d9f632711580ceee,100.0,100.0
image-acdfd5d9c5d1cf3ab70d294ac542e24b77921055,image/png,5dffbd963a24c954fdcea865b75d2a56837b04ae,100.0,100.0
image-d20b8120607c2a14b91a07c1e8e32253fb2ffa08,image/png,fd52aa4d58eb771282df9af7b329c8ae30fc4cc4,100.0,100.0
