source_id,image_use,symbol_id,x,y,width,height,asset_sha1,region,status,transcript
S-001,U-001,image-7035d4966dedbf6662dbd304fd11372402fcca72,7506.540910497525,593.2743330815028,766.0,305.0,aa4b301f8b5af5b44f60dc48c13dd9a278d2e322,R01,reviewed,regions/R01.md
S-002,U-002,image-cb065eefb946c7ba2ac3776fdb0795d42fc56d28,7502.525795973378,925.971265787437,711.0,379.0,b698166eb6c3c6eee725da3a5ae99b2ecab49e8e,R01,reviewed,regions/R01.md
S-003,U-003,image-5506c4f626ee247a8a89ec68810187e655abf3d6,7435.616594091275,1362.5016058087376,823.0,352.0,2ddbe3258319980c6f06c4b09a97c690c11a5af0,R01,reviewed,regions/R01.md
S-004,U-004,image-a1f38712aeed6fd83f60f7570dc9b5ccfb33ee4c,4581.037544427966,3474.9866052105635,859.0,444.0,849a26b8050d199c7e2da8ab13eed5ea0e0b7e61,R01,reviewed,regions/R01.md
S-005,U-005,image-e4e2a781ead2e449519fbcd5304178d3f3c4f049,4465.259008181595,16085.837260400978,632.0,346.0,bff6d1852239e830fa947184c73c343b838e85b5,R03,reviewed,regions/R03.md
S-006,U-006,image-8043397ddfc11798cd58de4738578753dc8e6f1d,4481.616325424898,16452.81350900589,645.0,233.0,43d24f5a90a6062a8694df7e52dc8911fb531ba2,R03,reviewed,regions/R03.md
S-007,U-007,image-ff7a65552b334fa86cd2b6bf6abada3c743d3a97,4525.487988276812,3956.2669305917834,618.0,194.0,baee1379a70665644a6e3717af8cf549206af3d2,R01,reviewed,regions/R01.md
S-008,U-008,image-6fe72c698352d1e9ecb174538877b6dce79f2ff5,4547.635432876618,4583.930586917358,749.0,306.0,58503e3acbf25a6a637d045e16620ee422e9b2e2,R01,reviewed,regions/R01.md
S-009,U-009,image-ecb07f1568d2705c00b08e38b0a71f852f44d8a2,4537.74657789615,6479.526292948786,971.0,247.0,311bc5427edc77662dbfa10c7bfacf8fc07aa999,R02,reviewed,regions/R02.md
S-010,U-010,image-2870682f58598a5a37c6ff3837b52bd35ade9285,4536.983333419619,5974.462661376364,835.0,482.0,d3986d5cdddda09d7101b6c6b129a35c769ab2bb,R02,reviewed,regions/R02.md
S-011,U-011,image-ecd95c25fa4f34e4ddb272408ec3c816330b290d,4549.484615005525,5431.978659368985,818.0,464.0,190aa380a92d2dc4efbc58b9405ff9a2dcb93975,R02,reviewed,regions/R02.md
S-012,U-012,image-ef7939097cd097aef5e78452a3343948c0c10d93,4554.570994239593,4935.20321642814,808.0,482.0,45976ec2a2d5bee355841a9358c0aa2ea0d8b232,R02,reviewed,regions/R02.md
