label_id,text,status
L-001,attributes,processed-near-literal-v002
L-002,app model,processed-near-literal-v002
L-003,Controller model,processed-near-literal-v002
L-004,Action model,processed-near-literal-v002
L-005,Parameter model,processed-near-literal-v002
L-006,Parameter model base,processed-near-literal-v002
L-007,Property model,processed-near-literal-v002
L-008,selector model,processed-near-literal-v002
L-009,selector model,processed-near-literal-v002
L-010,api explorer model,processed-near-literal-v002
L-011,binding info,processed-near-literal-v002
L-012,App Model Convention,processed-near-literal-v002
L-013,IController Model Convention,processed-near-literal-v002
L-014,IAction Model Convention,processed-near-literal-v002
L-015,IParameter Model Convention,processed-near-literal-v002
L-016,Razor Pages interfaces,processed-near-literal-v002
L-017,use or not,processed-near-literal-v002
L-018,can access nested models in outer convention,processed-near-literal-v002
