label_id,text,x,y,font_size,fill
L-001,attributes,998.091,163.657,97.57577237215958px,#d3d3d3
L-002,app model,2204.232,2529.79,97.57577237215958px,#d3d3d3
L-003,Controller model,2175.141,3145.548,97.57577237215958px,#d3d3d3
L-004,Action model,2127.868,4258.275,97.57577237215958px,#d3d3d3
L-005,Parameter model,2156.959,5714.033,97.57577237215958px,#d3d3d3
L-006,Parameter model base,2154.535,7086.154,97.57577237215958px,#d3d3d3
L-007,Property model,2083.02,7715.245,97.57577237215958px,#d3d3d3
L-008,selector model,2060.417,8256.421,97.57577237215958px,#d3d3d3
L-009,selector model,2093.801,9233.98,97.57577237215958px,#d3d3d3
L-010,api explorer model,2086.158,10313.425,97.57577237215958px,#d3d3d3
L-011,binding info,2076.096,11172.358,97.57577237215958px,#d3d3d3
L-012,App Model COnvention,218.485,2097.927,97.57577237215958px,#d3d3d3
L-013,icontroller Model COnvention,151.818,3694.29,97.57577237215958px,#d3d3d3
L-014,iaction Model COnvention,119.091,5300.351,97.57577237215958px,#d3d3d3
L-015,iparameter Model COnvention,134.848,6891.866,97.57577237215958px,#d3d3d3
L-016,razor pages interfaces,10.0,8533.078,97.57577237215958px,#d3d3d3
L-017,use or not,3298.697,95.964,97.57577237215958px,#d3d3d3
L-018,can access nested models,2070.549,1103.372,97.57577237215958px,#d3d3d3
L-019,in outer convention,2070.549,1225.341,97.57577237215958px,#d3d3d3
