source_id,image_use,symbol_id,x,y,width,height,asset_sha,asset_file,pixel_width,pixel_height,region,canonical_file,status,review,transcript_file
S-001,U-001,image-03fdc7c6e324206aca2d54a6be1a6ad25c561f83,709.4966956387216,841.6393222181941,858.0,329.0,f7ae7f3082cc7767273c5bad124a7b5af7ac0832,image-03fdc7c6e324206aca2d54a6be1a6ad25c561f83__f7ae7f3082.png,858,329,R02,source/images/S-001__image-03fdc7c6e324206aca2d54a6be1a6ad25c561f83__f7ae7f3082.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-002,U-002,image-cb887b7d39205597889f03317b13548f1d02d631,2246.1559976531053,893.4859857379265,840.0,427.0,fc1515cb7190e1d6beb4bc33cd8160718cf5bac9,image-cb887b7d39205597889f03317b13548f1d02d631__fc1515cb71.png,840,427,R02,source/images/S-002__image-cb887b7d39205597889f03317b13548f1d02d631__fc1515cb71.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-003,U-003,image-1d390a1754757e4d7ed6474aa9b83dcd59720bcd,3919.6375910807283,1038.804858116128,729.0,482.0,6d81b072116052eba2959ceafc146e0c0d640a68,image-1d390a1754757e4d7ed6474aa9b83dcd59720bcd__6d81b07211.png,840,556,R02,source/images/S-003__image-1d390a1754757e4d7ed6474aa9b83dcd59720bcd__6d81b07211.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-004,U-004,image-e722135e886c3d8e282fa52c4c69fde450053aa9,700.4966956387216,1182.306009229913,844.0,317.0,2436f08f6f0fb2adf2743c01039e876984a030b8,image-e722135e886c3d8e282fa52c4c69fde450053aa9__2436f08f6f.png,844,317,R02,source/images/S-004__image-e722135e886c3d8e282fa52c4c69fde450053aa9__2436f08f6f.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-005,U-005,image-2bd2bf10099b3918118994527837d7445eda54e8,2233.0370662914975,1330.223935654219,771.0,304.0,32fdec3a051d93b9a75885fd5a4b6eda9c7755b7,image-2bd2bf10099b3918118994527837d7445eda54e8__32fdec3a05.png,771,304,R02,source/images/S-005__image-2bd2bf10099b3918118994527837d7445eda54e8__32fdec3a05.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-006,U-006,image-76e7391f3a981ced2f9833cabf8e77cd3b5cb584,690.1634436855966,1522.4726352064754,822.0,258.0,fa7f398eef7d7ac11fe4842767a89cadea1c07b3,image-76e7391f3a981ced2f9833cabf8e77cd3b5cb584__fa7f398eef.png,822,258,R02,source/images/S-006__image-76e7391f3a981ced2f9833cabf8e77cd3b5cb584__fa7f398eef.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-007,U-007,image-89506d1f64375cd47162c93035a8451ab68a3245,3832.9693002237627,1612.2391424290258,833.0,295.0,afde395604a5b7ee3f0920b0f2dec4886e6f524b,image-89506d1f64375cd47162c93035a8451ab68a3245__afde395604.png,833,295,R02,source/images/S-007__image-89506d1f64375cd47162c93035a8451ab68a3245__afde395604.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-008,U-008,image-3991f26ae0bd035b0a70654bbdb62f08d51270e4,2230.279787007001,1656.305897149759,777.0,482.0,3afc763cd7cfd0f9b234f5563dd67831b7481862,image-3991f26ae0bd035b0a70654bbdb62f08d51270e4__3afc763cd7.png,871,541,R02,source/images/S-008__image-3991f26ae0bd035b0a70654bbdb62f08d51270e4__3afc763cd7.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-009,U-009,image-54318c65356cf9f900d384384713fc3a9385632e,3838.3980460384946,1925.953340950226,845.0,399.0,facb4990ce814e747796a92e5bf95de1a901a538,image-54318c65356cf9f900d384384713fc3a9385632e__facb4990ce.png,845,399,R02,source/images/S-009__image-54318c65356cf9f900d384384713fc3a9385632e__facb4990ce.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-010,U-010,image-61ce33e4f8b19a989739eae8d550725ea68cc0f8,2254.6320718718544,2161.985898544844,644.0,210.0,d63533ae8ec3123a3cb3d28463c4dd4010128d95,image-61ce33e4f8b19a989739eae8d550725ea68cc0f8__d63533ae8e.png,644,210,R02,source/images/S-010__image-61ce33e4f8b19a989739eae8d550725ea68cc0f8__d63533ae8e.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
