text_id,text,x,y,font_size,region,status,evidence
T-001,using System.Security.Claims;,9705.877420036639,2687.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-002,using Microsoft.AspNetCore.Authentication;,9705.877420036639,2712.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-003,using Microsoft.AspNetCore.Authentication.Cookies;,9705.877420036639,2737.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-004,using Microsoft.AspNetCore.Mvc;,9705.877420036639,2762.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-005,,9705.877420036639,2787.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-006,public class AccountController : Controller,9705.877420036639,2812.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-007,{,9705.877420036639,2837.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-008,[HttpGet],9705.877420036639,2862.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-009,public IActionResult Login(string? returnUrl = null),9705.877420036639,2887.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-010,{,9705.877420036639,2912.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-011,"ViewData[""ReturnUrl""] = returnUrl ?? Url.Action(""Index"", ""Home"");",9705.877420036639,2937.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-012,return View();,9705.877420036639,2962.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-013,},9705.877420036639,2987.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-014,,9705.877420036639,3012.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-015,[HttpPost],9705.877420036639,3037.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-016,[ValidateAntiForgeryToken],9705.877420036639,3062.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-017,"public async Task<IActionResult> Login(string username, string password, string? returnUrl)",9705.877420036639,3087.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-018,{,9705.877420036639,3112.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-019,// Demo auth check (replace with DB/Identity),9705.877420036639,3137.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-020,"if (username != ""alice"" || password != ""pass123"")",9705.877420036639,3162.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-021,{,9705.877420036639,3187.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-022,"ModelState.AddModelError("""", ""Invalid credentials"");",9705.877420036639,3212.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
T-023,"ViewData[""ReturnUrl""] = returnUrl;",9705.877420036639,3237.898452248454,20px,R03,closed,physical SVG text node reviewed and included in regional transcript/ledger
