label_id,text,x,y,font_size,region
T-001,cookies auth probmem details returning,10.0,63.64306331380219,60.888834635416785px,R01
T-002,using Microsoft.AspNetCore.Mvc;,1132.7042613795604,691.9914412144649,20px,R01
T-003,options.Events.OnRedirectToLogin = async ctx =>,1132.7042613795604,741.9914412144649,20px,R01
T-004,{,1132.7042613795604,766.9914412144649,20px,R01
T-005,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",1132.7042613795604,791.9914412144649,20px,R01
T-006,{,1132.7042613795604,816.9914412144649,20px,R01
T-007,ctx.Response.Redirect(ctx.RedirectUri);,1132.7042613795604,841.9914412144649,20px,R01
T-008,return;,1132.7042613795604,866.9914412144649,20px,R01
T-009,},1132.7042613795604,891.9914412144649,20px,R01
T-010,ctx.Response.StatusCode = StatusCodes.Status401Unauthorized;,1132.7042613795604,941.9914412144649,20px,R01
T-011,var http = ctx.HttpContext;,1132.7042613795604,991.9914412144649,20px,R01
T-012,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,1132.7042613795604,1016.9914412144649,20px,R01
T-013,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,1132.7042613795604,1041.9914412144649,20px,R01
T-014,var pd = factory.CreateProblemDetails(,1132.7042613795604,1091.9914412144649,20px,R01
T-015,"httpContext: http,",1132.7042613795604,1116.9914412144649,20px,R01
T-016,"statusCode: StatusCodes.Status401Unauthorized,",1132.7042613795604,1141.9914412144649,20px,R01
T-017,"title: ""Unauthorized"",",1132.7042613795604,1166.9914412144649,20px,R01
T-018,"type: ""https://httpstatuses.com/401"",",1132.7042613795604,1191.9914412144649,20px,R01
T-019,"detail: ""Authentication is required to access this resource."",",1132.7042613795604,1216.9914412144649,20px,R01
T-020,instance: http.Request.Path);,1132.7042613795604,1241.9914412144649,20px,R01
T-021,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",1132.7042613795604,1291.9914412144649,20px,R01
T-022,};,1132.7042613795604,1316.9914412144649,20px,R01
T-023,options.Events.OnRedirectToAccessDenied = async ctx =>,1132.7042613795604,1366.9914412144649,20px,R01
T-024,{,1132.7042613795604,1391.9914412144649,20px,R01
T-025,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",1132.7042613795604,1416.9914412144649,20px,R01
T-026,{,1132.7042613795604,1441.9914412144649,20px,R01
T-027,ctx.Response.Redirect(ctx.RedirectUri);,1132.7042613795604,1466.9914412144649,20px,R01
T-028,return;,1132.7042613795604,1491.9914412144649,20px,R01
T-029,},1132.7042613795604,1516.9914412144649,20px,R01
T-030,ctx.Response.StatusCode = StatusCodes.Status403Forbidden;,1132.7042613795604,1566.9914412144649,20px,R01
T-031,var http = ctx.HttpContext;,1132.7042613795604,1616.9914412144649,20px,R01
T-032,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,1132.7042613795604,1641.9914412144649,20px,R01
T-033,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,1132.7042613795604,1666.9914412144649,20px,R01
T-034,var pd = factory.CreateProblemDetails(,1132.7042613795604,1716.9914412144649,20px,R01
T-035,"httpContext: http,",1132.7042613795604,1741.9914412144649,20px,R01
T-036,"statusCode: StatusCodes.Status403Forbidden,",1132.7042613795604,1766.9914412144649,20px,R01
T-037,"title: ""Forbidden"",",1132.7042613795604,1791.9914412144649,20px,R01
T-038,"type: ""https://httpstatuses.com/403"",",1132.7042613795604,1816.9914412144649,20px,R01
T-039,"detail: ""You do not have permission to access this resource."",",1132.7042613795604,1841.9914412144649,20px,R01
T-040,instance: http.Request.Path);,1132.7042613795604,1866.9914412144649,20px,R01
T-041,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",1132.7042613795604,1916.9914412144649,20px,R01
T-042,};,1132.7042613795604,1941.9914412144649,20px,R01
T-043,WITH TRYWRITEASYNC,249.17221840549882,1801.3716383722447,20px,R01
