symbol_id,file_sha256_12,x,y,width,height,rotation,source_id,image_use_id,candidate_region,source_image_path
image-e6ce888105cb93b76043566b2ec08dc8ee96e26f,901a2e2bbd2e,218.93183488773548,556.2086834754459,983.0,430.0,0.0,S-001,IU-001,R01,source/images/901a2e2bbd2e.png
image-da0a266fa1235c929f1def82ee15f8d75cdd54a1,f2bddec7563e,3561.065774131665,742.555388864509,913.0,333.0,0.0,S-002,IU-002,R01,source/images/f2bddec7563e.png
image-3eabec73be7fc6a5954af25e430a1295ff507dca,d47193b871e4,2033.8211242706202,752.7348149072168,960.0,314.0,0.0,S-003,IU-003,R01,source/images/d47193b871e4.png
image-8845ee09def0fe2093061855c9b5b34034c231e8,dea6ca5b4e2a,260.0898489635042,1035.3992105285529,994.0,414.0,0.0,S-004,IU-004,R01,source/images/dea6ca5b4e2a.png
image-7fbf92fbf051d9a835da509ec6f1d1cd56c62bc2,2c90dff2a743,3589.055518826664,1102.321518429253,900.0,482.0,0.0,S-005,IU-005,R01,source/images/2c90dff2a743.png
image-32cd525d725fe07899f151fecaa7399b1cee37a4,6c20e047f30d,2029.495292297991,1152.4143413767924,971.0,266.0,0.0,S-006,IU-006,R01,source/images/6c20e047f30d.png
image-7f9fef8f1de8cc0d394842ad853d1a8fb4bd0d82,d78b34441657,247.20957539118353,1478.6505210906848,938.0,473.0,0.0,S-007,IU-007,R01,source/images/d78b34441657.png
image-fe68bf66ebb975dc4c5aa03df10926567db62c32,a6e980537bec,2041.0322415272576,1540.5785649072168,802.0,482.0,0.0,S-008,IU-008,R02,source/images/a6e980537bec.png
image-311c3ef60b1f231bb0612902b450b58ae0c1a152,2ce55542c433,3591.6688104619593,1587.0622546488712,762.0,482.0,0.0,S-009,IU-009,R02,source/images/2ce55542c433.png
image-a3683f7a25cd142a86d8b3f15b448708fe1c2af9,643c596c2647,5031.770809107268,1618.8762851516535,1094.0,386.0,0.0,S-010,IU-010,R02,source/images/643c596c2647.png
image-80c18f27a494466c2fd5f0379c32320888986f27,dcc93c3a0a5a,237.91204283205525,2030.7518459675225,967.0,295.0,0.0,S-011,IU-011,R02,source/images/dcc93c3a0a5a.png
image-9e8250408af005755008d1d1667dbaa996a7d828,4c22fcb5c286,2050.65462036437,2054.568127895498,609.0,193.0,0.0,S-012,IU-012,R02,source/images/4c22fcb5c286.png
image-3b66d293db3224234cb2a7c93394843ec63ebdc0,481feae78158,5047.1930369572765,2061.8311293085544,734.0,482.0,0.0,S-013,IU-013,R02,source/images/481feae78158.png
image-63ae8bad9f4a5c2ce81a522d84d347097e927042,ba889f5f6f25,3575.253274550016,2072.1629321391056,941.0,281.0,0.0,S-014,IU-014,R02,source/images/ba889f5f6f25.png
image-9b3d9a9f312f4bb0dddeb6a706eb8f0a7aadfd60,50e16c846492,283.063457579417,2355.139320919328,947.0,458.0,0.0,S-015,IU-015,R02,source/images/50e16c846492.png
image-e6b97beae494b5352494da9d79d6751d7630e2bf,4bf6c05320f8,5055.329110025676,2579.6088901321223,602.0,482.0,0.0,S-016,IU-016,R03,source/images/4bf6c05320f8.png
image-42e5e3145394ee0ed38cfaa84ece8138b91d8193,92322137685f,399.3730976463812,2908.3059294572745,642.0,205.0,0.0,S-017,IU-017,R03,source/images/92322137685f.png
image-3dc1305e4d35a7b5514b02bbaa74b4f404590d40,04ce26b0a767,385.682563327186,3156.424948011961,917.0,444.0,0.0,S-018,IU-018,R03,source/images/04ce26b0a767.png
image-ad65c02532ec043a2a4b9bffa6205f24c52be618,348bb7b81d66,404.5634575794179,3626.0203023646413,944.0,381.0,0.0,S-019,IU-019,R03,source/images/348bb7b81d66.png
image-45b1f6b4f792f4bd111ec52448158dc85d052c00,9f4e82456623,422.4206004365601,4037.782090869105,954.0,247.0,0.0,S-020,IU-020,R03,source/images/9f4e82456623.png
