source_id,region,decision,reason
S-042,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-035,R03,included-in-r03r04r05-final-v001,R03 policy builder origins/API method road
S-036,R03,included-in-r03r04r05-final-v001,R03 policy builder origins/API method road
S-043,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-037,R03,included-in-r03r04r05-final-v001,R03 policy builder origins/API method road
S-044,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-038,R03,included-in-r03r04r05-final-v001,R03 policy builder origins/API method road
S-045,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-039,R03,included-in-r03r04r05-final-v001,R03 policy builder origins/API method road
S-046,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-040,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-047,R03,included-in-r03r04r05-final-v001,R03 policy builder headers/methods road
S-041,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-048,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-052,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-049,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-050,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-053,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-091,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-051,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-105,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-092,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-106,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-107,R03,included-in-r03r04r05-final-v001,R03 policy builder exposed headers/max-age road
S-093,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-094,R03,included-in-r03r04r05-final-v001,R03 policy builder credentials road
S-080,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-082,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-081,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-083,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-085,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-084,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-087,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-086,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-088,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-089,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-095,R04,included-in-r03r04r05-final-v001,R04 preflight cache/Vary behavior road
S-090,R04,included-in-r03r04r05-final-v001,R04 Access-Control header reference road
S-096,R04,included-in-r03r04r05-final-v001,R04 preflight cache/Vary behavior road
S-097,R04,included-in-r03r04r05-final-v001,R04 preflight cache/Vary behavior road
S-098,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-099,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-100,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-116,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-101,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-117,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-118,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-102,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-119,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-103,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-104,R04,included-in-r03r04r05-final-v001,R04 credential failure/network-error road
S-014,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-015,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-017,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-013,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-010,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-012,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-011,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-016,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-018,R05,included-in-r03r04r05-final-v001,R05 middleware/preflight mechanics road
S-120,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-121,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-019,R05,included-in-r03r04r05-final-v001,R05 middleware implementation road
S-020,R05,included-in-r03r04r05-final-v001,R05 middleware implementation road
S-122,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-123,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-021,R05,included-in-r03r04r05-final-v001,R05 middleware implementation road
S-124,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-125,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
S-126,R05,included-in-r03r04r05-final-v001,R05 multiple origins/cache correctness road
