source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-001,e372e25659,2394.083,69.447,542.0,53.0,"using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | { | public static byte[] CreateSecretBytes(int byteLength = 20) | => RandomNumberGenerator.GetBytes(byteLength); | explaining bits, bytes in base32 | public static string ToBase32(byte[] secretBytes) | => Base32Encoding.ToString(secretBytes); | }"
S-002,2,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-002,af235edcff,1216.629,293.804,976.0,482.0,using System.Security.Cryptography; | using OtpNet; | public static class TotpSecret | { | // 20 bytes = 160 bits (common standard; plenty for TOTP) | public static string CreateBase32Secret(int byteLength = 20) | byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength); | return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry | }
S-003,3,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-003,6a38860e29,3135.132,297.238,703.0,482.0,"using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | { | public static byte[] CreateSecretBytes(int byteLength = 20) | => RandomNumberGenerator.GetBytes(byteLength); | public static string ToBase32(byte[] secretBytes) | => Base32Encoding.ToString(secretBytes); | } | explaining bits, bytes in base32 | creating base32 secret"
S-004,4,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-004,63646802a6,2290.463,298.242,708.0,401.0,using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | { | public static byte[] CreateSecretBytes(int byteLength = 20) | => RandomNumberGenerator.GetBytes(byteLength); | public static string ToBase32(byte[] secretBytes) | => Base32Encoding.ToString(secretBytes); | } | public static class TotpSecret
S-005,5,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-005,3e32384479,5377.752,459.581,937.0,378.0,"creating base32 secret | explaining bits, bytes in base32 | using OtpNet; | public static class TotpSecretBytes | using System.Security.Cryptography; | { | public static byte[] CreateSecretBytes(int byteLength = 20) | => RandomNumberGenerator.GetBytes(byteLength); | public static string ToBase32(byte[] secretBytes) | => Base32Encoding.ToString(secretBytes); | } | why 5 bits for one base 32"
S-006,6,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-006,d143beb145,1180.153,709.605,1017.0,413.0,"} | return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry | byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength); | { | public static string CreateBase32Secret(int byteLength = 20) | // 20 bytes = 160 bits (common standard; plenty for TOTP) | public static class TotpSecret | using OtpNet; | using System.Security.Cryptography; | entropy, bitconverter unsigned int"
S-007,7,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-007,2deb847856,2259.52,727.698,752.0,287.0,} | => Base32Encoding.ToString(secretBytes); | using System.Security.Cryptography; | public static string ToBase32(byte[] secretBytes) | using System.Text; | => RandomNumberGenerator.GetBytes(byteLength); | public static class TotpSecretCourseStyle | public static byte[] CreateSecretBytes(int byteLength = 20) | { | // Base32 alphabet (classic): A-Z and 2-7 | public static class TotpSecretBytes
S-008,8,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-008,2a85d9c8eb,5407.393,877.44,849.0,451.0,"creating base32 secret | } | => Base32Encoding.ToString(secretBytes); | public static string ToBase32(byte[] secretBytes) | explaining bits, bytes in base32 | => RandomNumberGenerator.GetBytes(byteLength); | public static byte[] CreateSecretBytes(int byteLength = 20) | { | public static class TotpSecretBytes | using OtpNet; | using System.Security.Cryptography; | why 5 bits for one base 32"
S-009,9,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-009,bb7d428777,2256.853,1066.672,786.0,479.0,"using System.Security.Cryptography; | using System.Text; | public static class TotpSecretCourseStyle | { | // Base32 alphabet (classic): A-Z and 2-7 | private static readonly char[] Alphabet = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ234567"".ToCharArray(); | public static string CreateSecret(int length = 16) | // Generate plenty of random bytes so every character pick is random | byte[] random = RandomNumberGenerator.GetBytes(length * 4); | var sb = new StringBuilder(length); | for (int i = 0; i < length; i++)"
S-010,10,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-010,e72b9df5c9,5409.624,1343.081,863.0,371.0,"creating base32 secret | why 5 bits for one base 32 | } | => Base32Encoding.ToString(secretBytes); | public static string ToBase32(byte[] secretBytes) | explaining bits, bytes in base32 | => RandomNumberGenerator.GetBytes(byteLength); | public static byte[] CreateSecretBytes(int byteLength = 20) | { | public static class TotpSecretBytes | using OtpNet; | using System.Security.Cryptography;"
S-011,11,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-011,c0f0d81876,299.707,1580.94,930.0,481.0,"entropy, bitconverter unsigned int | } | using System.Security.Cryptography; | using System.Text; | return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry | byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength); | public static class TotpSecretCourseStyle | { | public static string CreateBase32Secret(int byteLength = 20) | // Base32 alphabet (classic): A-Z and 2-7"
S-012,12,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,b32sec-r01-secret-generation-candidate-stage0,candidate-not-final-stage0-boundary-only,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",IU-012,fca73d7345,278.108,2062.485,821.0,342.0,"entropy, bitconverter unsigned int | uint val = BitConverter.ToUInt32(random, i * 4); | // Read 4 bytes as an unsigned int (0..2^32-1) | // Convert to an index inside Alphabet | { | sb.Append(Alphabet[val % (uint)Alphabet.Length]); | for (int i = 0; i < length; i++) | } | var sb = new StringBuilder(length); | return sb.ToString(); | byte[] random = RandomNumberGenerator.GetBytes(length * 4);"
