source_id,region,x,y,width,height,symbol_id,sha256,file
I001,R01,389.25809294587543,217.15110251254464,874.0,482.0,image-0768e8760f32ac4a046918a6dfebc8be450ed96b,d8ad3479144fdc87e18e75209def6f1391c91f4f84f320f52727bc572159911e,source/images/image-0768e8760f32ac4a046918a6dfebc8be450ed96b.png
I002,R04,7945.935955027062,425.4279687377866,792.0,354.0,image-862f64b86318bbfb47d84beaf39558524d83ebf4,a1a865f3536ea1f37b2c27216e160e303c139bcd81e0bf3f1f20e0c2e849b394,source/images/image-862f64b86318bbfb47d84beaf39558524d83ebf4.png
I003,R02,1973.7934382305493,426.24597633122266,783.0,482.0,image-111d59d17f7da51b35c7a6dc06fc8c7176d32645,81852eecaf11423138f7b11cdc9a946f9c49c35952fa416fb5f0a1c9d5dc497f,source/images/image-111d59d17f7da51b35c7a6dc06fc8c7176d32645.png
I004,R02,3251.1632415271033,499.75864374707,833.0,477.0,image-33c0cb13368408ec069b2d5f7bb39512824ceb03,9b83b3aa4f2f6ee3ae0e21156eb4bcf9525b7318572300ac5097b426e6d1eb0b,source/images/image-33c0cb13368408ec069b2d5f7bb39512824ceb03.png
I005,R03,6038.603422187796,511.9171859562766,799.0,482.0,image-d2d2cb880900647ad316b4165a65f18aff385148,aae517018632c097826997569de0da6ced96a98f84598f4136caf8610632cd00,source/images/image-d2d2cb880900647ad316b4165a65f18aff385148.png
I006,R03,4526.589124141497,540.3321866865144,826.0,348.0,image-f3d777a1ce705da50e420f168174142578b6832b,47acc67bc356372f5c17794574c6c0a314e057b271e8051be5158b7ccad890f4,source/images/image-f3d777a1ce705da50e420f168174142578b6832b.png
I007,R01,407.6165165642806,713.8178200418415,865.0,482.0,image-e7858708a8c11fc4117d6d7b625d273674d133af,136c40df9014de29b165e222caf1bf032d1396ad82fc72cd31700ee31bdfed46,source/images/image-e7858708a8c11fc4117d6d7b625d273674d133af.png
I008,R04,7942.242482223028,794.0722400348113,715.0,252.0,image-867c28fa9b3fca75dc17f85a79efb855d4646258,f7a112371eedc49cca943779e1561ea064ef0f68b79f9fdfc984d8ed734bec63,source/images/image-867c28fa9b3fca75dc17f85a79efb855d4646258.png
I009,R03,4505.237317500872,895.5729839412879,845.0,319.0,image-1dea6dbfafeafd63ddeb97cee414b9b69b5fb8fb,2fb91f392e2bdc8b3e5d2b205778ef3c21ad1e60c8d52a69e897b15cc3f047cd,source/images/image-1dea6dbfafeafd63ddeb97cee414b9b69b5fb8fb.png
I010,R02,1995.7593727182666,903.9816592274292,813.0,417.0,image-382102833af406814b30013765515bb7aabe713f,dd20c05d99c743526bb12fb1fa29f6a1d7df7629a71e383634b54492311880bb,source/images/image-382102833af406814b30013765515bb7aabe713f.png
