source_id,image_use_id,region,symbol_id,file_sha256,file_id,image_file,x,y,width,height,theme,stage0_status,notes
S-001,IU-001,R01,image-e4f5b02ab4c6a499b2f023891f7786015bcb30a9,48f3b5392bfd39c3c2804fdde83dfd6db2a95ca5b47a255fd7ac2c31a9f1b6cb,48f3b5392b,source/images/48f3b5392b.png,130.533,217.141,742.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-002,IU-002,R01,image-b734b375178981fddaa5b1a185e94a31a808ed21,54e067fd4b2469e5b98275c044e99a0495c9ab2ff0f319aa47630935c1c87d43,54e067fd4b,source/images/54e067fd4b.png,2458.236,259.01,776.0,639.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-003,IU-003,R01,image-d1dffdb81f4f30005d5c76331cdbaf6da4a77c08,a3f3fd97fe88161fb456571c5c74f809ea052714b272a6699b65fea26d9395b1,a3f3fd97fe,source/images/a3f3fd97fe.png,1357.467,401.297,702.0,330.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-004,IU-004,R01,image-538045d2a1c6b6e4e7fed651e2cb7c7c03ac4087,07b3b02729f133a722927dd8a375d762a630b5483abc43bdf364c36ce1ca290f,07b3b02729,source/images/07b3b02729.png,109.683,720.474,790.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-005,IU-005,R01,image-acd4a66930e11de3912d73c5e63fbc16fc9705f5,3e85541656987a0415ebf341a36b8875bfda268018b5e4c72d8cbd87348f538e,3e85541656,source/images/3e85541656.png,1341.3,755.963,825.0,394.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-006,IU-006,R01,image-5868250983716aa68de01f0f46738ea857b4524b,dde43c26a07748375509296bb27465a1b2473c493f9f8e55ad7a27c526818c47,dde43c26a0,source/images/dde43c26a0.png,1328.958,1176.029,683.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-007,IU-007,R01,image-1ac956717f6a59cdea75485e1900d1ba77fdf7a7,b37ec0730d86e3318288dd7639162febdea099375090bfd969b798a0d069a3e6,b37ec0730d,source/images/b37ec0730d.png,110.222,1209.363,707.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-008,IU-008,R01,image-c16e52fa640f157391eeed0dd92e1df0e3cab502,3730c7e5075b4477ed3df2b3123e1d7a666107d3e23925c1ef1f104c38702525,3730c7e507,source/images/3730c7e507.png,1311.551,1678.252,696.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-009,IU-009,R01,image-8b5e25106bdd5c29f74e97c1b85ac3d793a6ec7f,b9832b620bb9db67a8163c2b7b14d6108d243397f15c35b0ce2a3f329c102da5,b9832b620b,source/images/b9832b620b.png,120.911,1699.352,388.0,249.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-010,IU-010,R01,image-7bdd3b66785f60c9c681dd3aa9c3bb33534608af,f22fceae717a4f46e26269ae1b1303e7af76335cbb2745737c00a03e16cbd564,f22fceae71,source/images/f22fceae71.png,6013.354,1934.401,914.0,482.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
S-011,IU-011,R01,image-390fdd1ea808219b60c3c0ef23e01030d1df8c32,6e9c6638c8444e702184fd19925f340af5febd3c795476bce3c0a7784dce4548,6e9c6638c8,source/images/6e9c6638c8.png,3553.456,1947.349,1095.0,161.0,query syntax basics / from-where-select,open-for-transcript,Inventory row only; not source of truth until visual/semantic transcript pass.
