check,passed,detail
Source SVG exists,True,"/mnt/data/data shaping,expando.svg"
Source copy hash matches,True,39485ba7e12ab8f326f7f81700e5b9c3bc34a79d98dd77163228b86fd6b76b59
Embedded asset count,True,67
Extracted image file count,True,67
Image use count,True,72
All image hrefs resolved,True,all resolved
Unique image hashes,True,67
Duplicate placement groups,True,5
Duplicate asset-content groups,True,0
Physical text node count,True,74
Non-empty text node count,True,63
Empty text node count,True,11
Every image use assigned once,True,72/72
Every text node assigned once,True,74/74
No unreviewed image uses,True,0
No unreviewed non-empty text nodes,True,0
Empty text nodes explicitly recorded,True,11/11
Region image total,True,72
Region text total,True,74
Regional transcript files exist,True,4/4
Contact sheets exist,True,19
Source-to-transcript map rows,True,146
All map transcript files exist,True,all exist
No missing extracted image files,True,all exist
